1,2,3,4,5,6,7,8,9,10,11,12,13
,,Battagram Lower,20010111,,,,0,422,422,,,
,,,0,921,921,,,,,,,
27,Govt. Girls Degree College Battagram P.S 4,Battagram Lower,20010103,,,,0,690,690,0,1,1
,,,0,690,690,,,,,,,
28,Government High School No.2 Thai Battagram,Battagram Proper,20010104,,,,613,0,613,3,0,3
,,Battagram Proper,20010105,,,,620,0,620,,,
,,,1233,0,1233,,,,,,,
29,Government Girls Primary School Battagram,Battagram Proper,20010106,,,,680,499,1179,1,1,2
,680,499,1179,,,,,,,,,
Battagram Proper,20010104,,,,0,444,444,,,,,
,Battagram Proper,20010105,,,,0,449,449,,,,
,,0,893,893,,,,,,,,
31,"Government Primary School Colony RasoolKhan",Battagram Proper,20010107,,,,798,0,798,1,0,1
,,798,0,798,,,,,,,,
32,Basic Health Unit Battagram,Battagram Proper,20010107,,,,0,546,546,0,1,1
,,0,546,546,,,,,,,,
33,Government Primary School Battamori Shamali,Battamori Shamali,20010801,,,,715,503,1218,2,1,3
,,715,503,1218,,,,,,,,
34,Basic Health Unit Battamori,Battamori Shamali,20010802,,,,452,296,748,1,1,2
,Battamori Shamali,20010803,,,,337,343,680,,,,
,,789,639,1428,,,,,,,,
35,Government Girls Primary School Kakarhshang,Kakarshang,20010807,,,,567,0,567,2,0,2
,Kakarshang,20010808,,,,266,0,266,,,,
,Kakarshang,20010809,,,,133,0,133,,,,
,,,,,,966,0,966,,,,
36,Government Primary School Shingri,Kakarshang,20010807,,,,0,380,380,0,1,1
,Kakarshang,20010808,,,,0,230,230,,,,
,Kakarshang,20010809,,,,0,76,76,,,,
,,,,,,0,686,686,,,,
37,Government Primary School Iqbal Abad,Battamori Janobi,20010804,,,,327,200,527,1,1,2
,,,,,,327,200,527,,,,
38,Government High School Battamori,Battamori Janobi,20010805,,,,291,212,503,1,1,2
,Battamori Janobi,20010806,,,,324,239,563,,,,
,,,,,,615,451,1066,,,,
39,Government Middle School Rajmera,Rajmera,20011001,,,,320,211,531,1,1,2
,Rajmera,20011005,,,,378,253,631,,,,
,,,,,,698,464,1162,,,,
40,Basic Health Unit Joze,Rajmera,20011002,,,,479,335,814,1,1,2
,Rajmera,20011004,,,,317,215,532,,,,
,,,,,,796,550,1346,,,,
41,Governmnet Primary School Joze,Rajmera,20011003,,,,414,258,672,1,1,2
,,,,,,414,258,672,,,,
42,Government Primary School Kadlay,Khadly,20011006,,,,429,284,713,1,1,2
,Khadly,20011007,,,,222,150,372,,,,
,,,,,,651,434,1085,,,,
43,"Government Gils Primary School ChamkaatSultan",Khadly,20011008,,,,702,426,1128,1,1,2
,,,,,,702,426,1128,,,,
44,Government Primary School Jesol,Jesol Bazar,20010902,,,,490,314,804,1,1,2
,Jesol Bazar,20010903,,,,281,187,468,,,,
,,,,,,771,501,1272,,,,
45,Government Priary School Bazargai,Jesol Bazar,20010901,,,,466,360,826,1,1,2
,,,,,,466,360,826,,,,
46,Government Primary School Chitta Batta P.S 1,Chitta Batta,20010905,,,,349,219,568,1,1,2
,Chitta Batta,20010906,,,,225,131,356,,,,
,,,,,,574,350,924,,,,
47,Government Primary School Chitta Batta P.S2,Chitta Batta,20010904,,,,387,243,630,1,1,2
,,,,,,387,243,630,,,,
48,Government Primary School Habib Banda,Habib Banda,20010907,,,,210,124,334,2,1,3
Habib Banda,20010908,,,,210,140,350,,,,,
Habib Banda,20010909,,,,421,278,699,,,,,
,,,,,841,542,1383,,,,,
49,Government Middle School Chham Meerani,Habib Banda,20010910,,,,429,268,697,1,1,2
,,,,,,429,268,697,,,,
50,Government High School Shamlai,Shamlai,20010701,,,,336,0,336,3,0,3
,Shamlai,20010702,,,,216,0,216,,,,
,Shamlai,20010704,,,,260,0,260,,,,
,Shamlai,20010705,,,,291,0,291,,,,
,,,,,,1103,0,1103,,,,
51,Government Girls High School Shamlai,Shamlai,20010701,,,,0,233,233,0,1,1
,Shamlai,20010702,,,,0,166,166,,,,
,Shamlai,20010704,,,,0,176,176,,,,
,Shamlai,20010705,,,,0,168,168,,,,
,,,,,,0,743,743,,,,
52,Government Primary School Shamlai,Shamlai,20010703,,,,460,326,786,1,1,2
