1,2,3,4,5,6,7,8,9,10,11,12,13
"",,Naryab,047010109,,,,,310,,,,
"",,Naryab,047010118,,,,,162,,,,
"",,Naryab,047010119,,,,,401,,,,
"",,Naryab,047010120,,,,,0,,,,
17,Govt:Primary School Sangirh Naryab.(c),"SANGIRH RIHMATABADNARYAB",047010110,,,,322,145,"2,133",2,2,4
"",,"SANGIRH RIHMATABADNARYAB",047010121,,,,315,302,,,,
"",,"SANGIRH RIHMATABADNARYAB",047010122,,,,272,244,,,,
"",,"SANGIRH RIHMATABADNARYAB",047010123,,,,310,223,,,,
18,Govt:Primary School Maroofi Banda(C ),MAROFI BANDA NARYAB,047010111,,,,690,542,"2,355",2,2,4
"",,MAROFI BANDA NARYAB,047010124,,,,412,278,,,,
"",,MAROFI BANDA NARYAB,047010125,,,,187,194,,,,
"",,MAROFI BANDA NARYAB,047010126,,,,0,0,,,,
"",,MAROFI BANDA NARYAB,047010127,,,,31,21,,,,
19,Govt:Primary School Sra Ghundi(C ),SRA GHUNDI KARBOGHA,047010501,,,,475,306,"1,971",2,2,4
"",,SRA GHUNDI KARBOGHA,047010513,,,,339,255,,,,
"",,SRA GHUNDI KARBOGHA,047010514,,,,357,239,,,,
20,"Govt:Primary School Sharqi KarboghaSharif(C )",SHARQI KARBOGHA SHARIF,047010504,,,,"1,268",949,"2,217",2,2,4
21,"Govt: Middle School Shamal din (M)(PS-1)",CHAPRI KARBOGHA SHARIF,047010502,,,,548,,"1,925",4,0,4
"",,CHAPRI KARBOGHA SHARIF,047010515,,,,"1,377",,,,,
22,"Govt: Middle School Shamal Din(M) (PS-2)",Mazrin Karbogha Sharif,047010503,,,,"1,111",,"1,111",2,0,2
23,Govt: Primary School Shamal din (F),CHAPRI KARBOGHA SHARIF,047010502,,,,,313,"2,066",0,3,3
"",,CHAPRI KARBOGHA SHARIF,047010515,,,,,"1,074",,,,
"",,MAZRIN KARBOGHA SHARIF,047010503,,,,,679,,,,
24,"Govt. Primary School No.1 KarboghaSharif (C)","BAR KILLI  KARBOGHASHARIF",047010505,,,,903,624,"1,527",3,1,4
25,"Govt:Primary School No.2 KarboghaSharif (C )","M.B.KHEL  KARBOGHASHARIF",047010506,,,,804,524,"1,328",2,1,3
26,"Govt:High School Karbogha Sharif(PS-1)(M )",KOOZ KILLI KARBOGHA,047010507,,,,452,,"2,338",4,0,4
"",,KOOZ KILLI KARBOGHA,047010516,,,,313,,,,,
"",,KOOZ KILLI KARBOGHA,047010508,,,,901,,,,,
"",,HIGH SCHOOL KARBOGHA,047010509,,,,672,,,,,
27,"Govt:High School Karbogha Sharif (PS-2)(F )",KOOZ KILLI KARBOGHA,047010507,,,,,281,"1,397",0,3,3
"",,KOOZ KILLI KARBOGHA,047010516,,,,,171,,,,
"",,KOOZ KILLI KARBOGHA,047010508,,,,,547,,,,
"",,HIGH SCHOOL KARBOGHA,047010509,,,,,398,,,,
28,Govt:High School Dershai (C ),DARSHAI,047010510,,,,387,287,"2,118",2,2,4
"",,HASAN KHEL DARSHAI,047010511,,,,854,590,,,,
29,Govt:Primary School Matu Khel(C ),MATHU KHEL,047010512,,,,263,220,483,1,1,2
30,"Govt:Primary School Torawarai No.1 (PS1)( M)",TORAWARI,047010301,,,,"1,404",,"1,404",2,0,2
31,"Govt:Primary School Torawarai No.1 (PS2)(M )",TORAWARI,047010302,,,,"2,101",,"2,101",3,0,3
32,Govt: Girls Primary School Torawarai (F ),TORAWARI,047010301,,,,,"1,164","2,573",0,3,3
"",,TORAWARI,047010302,,,,,"1,409",,,,
33,Govt. Primary School Sial Talab (C),KHADO KHEL TORAWARI,047010303,,,,771,566,"1,337",2,1,3
34,Govt. Girls Primary School Sial Talab (C),ITHEHAD BANDA TORAWARI,047010304,,,,629,466,"1,095",2,1,3
35,Govt: Middle School Wazir Abad(C ),QADIM BANDA TORAWARI,047010305,,,,643,493,"1,991",2,2,4
"",,QADIM BANDA TORAWARI,047010309,,,,555,300,,,,
36,Govt:Primary School Tora Ghundi (C ),JADID BANDA TORAWARAI,047010306,,,,"1,034",790,"1,824",2,2,4
37,"Govt:Primary School MianzakiTorawarai(C )",MINZAKI TORAWARAI,047010307,,,,334,250,"1,217",2,1,3
"",,MINZAKI TORAWARAI,047010308,,,,397,236,,,,
38,Govt: Middle School Saro Khel (M ),SPIN JAMAAT DARSAMAND,047010401,,,,700,,"2,340",4,0,4
"",,SPIN JAMAAT DARSAMAND,047010402,,,,117,,,,,
"",,SPIN JAMAAT DARSAMAND,047010413,,,,372,,,,,
