"",73,,GPS No.1 Kot Pathan,,گورنمنٹ پرائمری سکول نمبر١کوٹ پٹھان,,Kot Pathan,,M,,062020605,,405,,0,,405,,4,,0,,4,,Male,
"",,,,Kot Pathan,,M,,062020606,,1241,,0,,1241,,,,,,,,,,,,
"",,,,Toran Kohna,,"#",,062020902,,0,,29,,29,,,,,,,,,,,,
"",Toran Nau,,"#",,062020903,,0,,432,,432,,,,,,,,,,,,,,,
"",Audal,,,,062020904,,0,,56,,56,,,,,,,,,,,,,,,
"",,,,Sheren,,,,062020907,,0,,179,,179,,,,,,,,,,,,
"",,,,,,,Noor Chiri,,"S ZZ ZZ#",,062020908,,0,,59,,59,,,,,,,,,
"",75,,GHS Touran Nau,,گورنمٹ ہائی سکول توران نو,,Toran Kohna,,"#",,062020902,,34,,0,,34,,3,,0,,3,,Male,
"",,,,,,,Toran Nau,,"#",,062020903,,519,,0,,519,,,,,,,,,
"",,,,,,,Audal,,,,062020904,,74,,0,,74,,,,,,,,,
"",,,,,,,Sheren,,,,062020907,,232,,0,,232,,,,,,,,,
"",,,,,,,Noor Chiri,,"S ZZ ZZ#",,062020908,,65,,0,,65,,,,,,,,,
"",76,,GPS Azami,,گورنمنٹ پرائمری سکول اعظمی,,Khanu,,¡¢,,062020905,,164,,120,,284,,2,,1,,3,,Combined,
"",,,,,,,Azami,,£,,062020906,,290,,251,,541,,,,,,,,,
"",77,,GGMS Ranwal,,گورنمٹ گرلز مڈل سکول رنوال,,Rakh Ranwal,,"#¤ #",,062020801,,0,,1,,1,,0,,3,,3,,Female,
"",,,,,,,Ranwal,,"#",,062020802,,0,,398,,398,,,,,,,,,
"",,,,,,,Ranwal,,"#",,062020803,,0,,579,,579,,,,,,,,,
"",,,,,,,Thathairi Malook,,"¥¦S§"""" """"  ̈ ̈©",,062020804,,0,,75,,75,,,,,,,,,
"",78,,GHS Ranwal,,گورنمٹ ہائی سکول رنوال,,Rakh Ranwal,,"#¤ #",,062020801,,2,,0,,2,,4,,0,,4,,Male,
"",,,,,,,Ranwal,,"#",,062020802,,513,,0,,513,,,,,,,,,
"",,,,,,,Ranwal,,"#",,062020803,,752,,0,,752,,,,,,,,,
"",,,,,,,Thathairi Malook,,"¥¦S§"""" """"  ̈ ̈©",,062020804,,90,,0,,90,,,,,,,,,
"",79,,GGHS Shahbaz,,گورنمٹ گرلز ہائی سکول شہباز,,Shahbaz,,-«,,062020703,,0,,396,,396,,0,,3,,3,,Female,
"",,,,,,,Shahbaz (Mohalla Shorian),,"9¡"""" """"#¬=-«",,062020704,,0,,316,,316,,,,,,,,,
"",,,,,,,Shahbaz (Mohalla Naseer Abad),,9­=-«,,062020705,,0,,462,,462,,,,,,,,,
"",80,,GHS Shahbaz,,گورنمٹ ہائی سکول شہباز,,Shahbaz,,-«,,062020703,,556,,0,,556,,5,,0,,5,,Male,
"",,,,,,,Shahbaz (Mohalla Shorian),,"9¡"""" """"#¬=-«",,062020704,,419,,0,,419,,,,,,,,,
"",,,,,,,Shahbaz (Mohalla Naseer Abad),,9­=-«,,062020705,,654,,0,,654,,,,,,,,,
"",81,,GPS Diyal Jamal,,گورنمنٹ پرائمری سکول ڈيال جمال,,Jamal Kurai,,> #M®,,062030201,,90,,67,,157,,1,,1,,2,,Combined,
"",,,,,,,Diyal,,""""" """"0",,062030202,,165,,115,,280,,,,,,,,,
"",82,,GGPS Bara Khel,,گورنمنٹ گرلز پرائمری سکول بره خيل,,Doulat Khan,,",",,062030203,,0,,118,,118,,0,,2,,2,,Female,
"",,,,,,,Bara Khel,,',,062030204,,0,,374,,374,,,,,,,,,
"",,,,,,,Gandi Bara Khel,,'S°,,062030205,,0,,208,,208,,,,,,,,,
"",83,,GMS Bara Khel,,گورنمنٹ مڈل سکول بره خيل,,Doulat Khan,,",",,062030203,,212,,0,,212,,3,,0,,3,,Male,
"",,,,,,,Bara Khel,,',,062030204,,428,,0,,428,,,,,,,,,
"",,,,,,,Gandi Bara Khel,,'S°,,062030205,,293,,0,,293,,,,,,,,,
"",84,,GPS Gul Din Koroona,,گورنمنٹ پرائمری سکول گل دين کورونہ,,Bhagwal,,±,,062021005,,143,,103,,246,,2,,2,,4,,Combined,
"",,,,Manjhi Khel,,'2],,062030102,,481,,274,,755,,,,,,,,,,,,
"",,,,Kot ALLAH daad,,3M,,062030103,,257,,241,,498,,,,,,,,,,,,
"",Khair Awan,,́,,062030104,,28,,19,,47,,,,,,,,,,,,,,,
"",,,,Mashoqa,,μ¶,,062030105,,4,,2,,6,,,,,,,,,,,,
"",,,,,,,Habib Watoo,,"·,",,062030106,,0,,0,,0,,,,,,,,,
"",,,,,,,Muharam,,~ ̧,,062030101,,226,,178,,404,,,,,,,,,
"",86,,GMS Cheena,,گورنمنٹ مڈل سکول چھينہ,,Sarfaraz,,- 1,,062021001,,0,,0,,0,,1,,1,,2,,Combined,
