"",,Maira Mada Khail,522011019,,,,65,55,120,,,
"",,Maira Mada Khail,522011020,,,,203,163,366,,,
"",,,,,,,407,335,742,,,
107,Government  Primary School Prinjal Mada Khali,Mohabra Mada Khail,522011002,,,,198,156,354,1,1,2
"",,,,,,,198,156,354,,,
108,Government Girls Primary School Mohabra,Mohabra Mada Khail,522011001,,,,42,40,82,1,1,2
"",,Mohabra Mada Khail,522011003,,,,21,34,55,,,
"",,Mohabra Mada Khail,522011004,,,,37,39,76,,,
"",,,,,,,100,113,213,,,
109,Government Primary School Dilo Bala Mada Khail,Dilo Mada Khail,522011106,,,,24,26,50,1,1,2
"",,Dilo Mada Khail,522011107,,,,34,34,68,,,
"",,Dilo Mada Khail,522011108,,,,88,99,187,,,
"",,Dilo Mada Khail,522011109,,,,74,52,126,,,
"",,Dilo Mada Khail,522011110,,,,58,49,107,,,
"",,,,,,,278,260,538,,,
110,Government Primary School Tetai,Tetai,522011111,,,,40,27,67,1,1,2
"",,Tetai,522011112,,,,50,30,80,,,
"",,Tetai,522011113,,,,54,43,97,,,
"",,Tetai,522011114,,,,41,27,68,,,
"",,Tetai,522011115,,,,16,13,29,,,
"",,Tetai,522011116,,,,111,77,188,,,
"",,,,,,,312,217,529,,,
111,Government Primary School Badar,Badar,522010821,,,,121,112,233,1,1,2
"",,Badar,522010822,,,,122,84,206,,,
"",,,,,,,243,196,439,,,
112,Government Primary School Gawandla,Doga Mada Khail,522011005,,,,1,2,3,1,1,2
"",,Chamgah,522011006,,,,5,0,5,,,
"",,Gawandla,522011101,,,,260,191,451,,,
"",,Gawandla,522011102,,,,50,38,88,,,
"",,Gawandla,522011103,,,,67,63,130,,,
"",,Gawandla,522011104,,,,149,108,257,,,
"",,Gawandla,522011105,,,,74,50,124,,,
"",,,,,,,606,452,1058,,,
