Sr. No,No. and name of polling Station,In case of rural areas,In case of urban areas,"Serial No. ofvoterson theelectoral rollin caseelectoralarea isbifurcated","Number of voters assigned topolling station","Number of pollingbooths",,,,,,
"","Name of electoralarea","Censusblock code","Name ofelectoral area","Census blockcode",Male,Female,Total,Male,Female,Total,,
125,"Govt Girls Primary School, Chak No.98/M (Comb) (P)",Chak No.95/M,217041001,,,,335,226,561,2,2,4
125,,Chak No.96/M,217041002,,,,245,155,400,,,
125,,Chak No.98/M,217041003,,,,563,416,979,,,
Total,,,,,,,1143,797,1940,2,2,4
126,"Basic Health Unit ,Chhamb Kulyar (Comb) (P)",Chak No.91/M,217040103,,,,255,176,431,2,1,3
126,,Chhamb Kulyar,217040301,,,,476,363,839,,,
Total,,,,,,,731,539,1270,2,1,3
127,"Govt.High School, Chhamb Kulyar Part-I (Male) (P)",Chhamb Kulyar,217040302,,,,1264,0,1264,4,0,4
127,,Chhamb Kulyar,217040303,,,,,,0,,,
127,,Chhamb Kulyar,217040304,,,,,,0,,,
127,,Chhamb Kulyar,217040305,,,,344,0,344,,,
Total,,,,,,,1608,0,1608,4,0,4
128,"Govt.High School, Chhamb Kulyar Part-II (Female) (P)",Chhamb Kulyar,217040302,,,,0,1111,1111,0,3,3
128,,Chhamb Kulyar,217040303,,,,,,0,,,
128,,Chhamb Kulyar,217040304,,,,,,0,,,
128,,Chhamb Kulyar,217040305,,,,0,325,325,,,
Total,,,,,,,0,1436,1436,0,3,3
129,"Govt. Girls Middle School,Chhamb Kulyar (Comb) (P)",Chhamb Kulyar,217040306,,,,947,834,1781,2,2,4
129,,Chhamb Kulyar,217040307,,,,,,,,,
Total,,,,,,,947,834,1781,2,2,4
130,"Govt Boys Elementary School,Jagir Hora (Comb) (P)",Jageer Hora,217041101,,,,555,494,1049,2,2,4
130,,Jageer Hora,217041102,,,,407,317,724,,,
Total,,,,,,,962,811,1773,2,2,4
131,"Govt Boys Primary School , Lal Kamal (Comb) (P)",Lal Kamal,217041103,,,,560,457,1017,2,2,4
131,,Jageer Kikri,217041104,,,,210,173,383,,,
Total,,,,,,,770,630,1400,2,2,4
132,"Govt Girls Primary School, Pathan wala (Comb) (P)",Rajapur East,217020102,,,,1238,0,1238,3,0,3
132,,Rajapur East,217020103,,,,,,0,,,
132,,Rajapur East,217020104,,,,340,0,340,,,
Total,,,,,,,1578,0,1578,3,0,3
133,,Rajapur East,217020103,,,,,,0,,,
133,,Rajapur East,217020104,,,,0,272,272,,,
Total,,,,,,,0,1205,1205,0,2,2
134,"Govt Boys Primary School, Bukhari wala (Male) (P)",Rajapur East,217020105,,,,884,664,1548,2,2,4
134,,Rajapur East,217020106,,,,,,0,,,
Total,,,,,,,884,664,1548,2,2,4
135,"Govt Girls Primary School,Basti Rahuja (Female) (P)",Rajapur East,217020101,,,,644,488,1132,2,2,4
135,,Rajapur East,217020107,,,,428,309,737,,,
Total,,,,,,,1072,797,1869,2,2,4
136,"Govt.Boys Elementary School, Raja Pur Part-I (Male)(P)",Rajapur West,217020201,,,,324,222,546,1,1,2
136,,Rajapur West,217020207,,,,,,0,,,
Total,,,,,,,324,222,546,1,1,2
137,"Govt.Boys Elementary School, Raja Pur Part-II(Female) (P)",Rajapur West,217020202,,,,356,294,650,1,1,2
Total,,,,,,,356,294,650,1,1,2
138,"Basic Health Unit, Rajapur (Comb) (P)",Rajapur West,217020203,,,,179,0,179,3,0,3
138,,Rajapur West,217020204,,,,677,0,677,,,
138,,Rajapur West,217020205,,,,402,0,402,,,
138,,Rajapur West,217020206,,,,397,0,397,,,
Total,,,,,,,1655,0,1655,3,0,3
139,"Govt Girls Primary School, Rajapur (Comb) (P)",Rajapur West,217020203,,,,0,159,159,0,3,3
139,,Rajapur West,217020204,,,,0,594,594,,,
139,,Rajapur West,217020205,,,,0,313,313,,,
139,,Rajapur West,217020206,,,,0,278,278,,,
Total,,,,,,,0,1344,1344,0,3,3
140,"Govt.Boys High School, Kotla Ali Dasti Part-I (Male) (P)",Kotla Ali Dasti,217020501,,,,521,0,521,3,0,3
140,,Kotla Ali Dasti,217020502,,,,293,0,293,,,
140,,Kotla Ali Dasti,217020503,,,,409,0,409,,,
140,,Kotla Ali Dasti,217020504,,,,246,0,246,,,
Total,,,,,,,1469,0,1469,3,0,3
141,"Govt.Boys High School, Kotla Ali Dasti Part-II (Female)(P)",Kotla Ali Dasti,217020501,,,,0,390,390,0,2,2
141,,Kotla Ali Dasti,217020502,,,,0,245,245,,,
141,,Kotla Ali Dasti,217020503,,,,0,292,292,,,
141,,Kotla Ali Dasti,217020504,,,,0,259,259,,,
Total,,,,,,,0,1186,1186,0,2,2
142,"Govt Girls Primary School,Kotla Ali Dasti (Comb) (P)",Kotla Ali Dasti,217020505,,,,491,362,853,2,2,4
142,,Kotla Ali Dasti,217020511,,,,,,0,,,
142,,Kotla Ali Dasti,217020506,,,,311,219,530,,,
Total,,,,,,,802,581,1383,2,2,4
143,"Basic Health Unit, Rukan pur (Comb) (P)",Rukanpur,217020507,,,,647,482,1129,2,1,3
143,,Rukanpur,217020508,,,,,,0,,,
Total,,,,,,,647,482,1129,2,1,3
144,"Govt Boys Primary School,Rukan pur (Comb) (P)",Rukanpur,217020509,,,,790,561,1351,2,1,3
144,,Rukanpur,217020510,,,,,,0,,,
Total,,,,,,,790,561,1351,2,1,3
145,"Govt. Boys Elementary School, Thathi Samija Part-I(Comb) (P)",Thathi Samija,217021201,,,,351,251,602,1,1,2
146,"Govt.Girls Elementary School, Thathi Samija (Comb)(P)",Thathi Samija,217021202,,,,437,368,805,2,2,4
146,,Thathi Samija,217021203,,,,468,383,851,,,
Total,,,,,,,905,751,1656,2,2,4
147,"Govt Boys Elementary School Thathi Samija Part-II(Comb) (P)",Thathi Samija,217021204,,,,663,515,1178,2,1,3
Total,,,,,,,663,515,1178,2,1,3
148,"Govt Girls Primary School,Molvi Sikandar (Comb) (P)",Molvi Sikandar,217020705,,,,573,489,1062,1,1,2
Total,,,,,,,573,489,1062,1,1,2
149,"Govt Boys Primary School,Molvi Sikandar (Comb) (P)",Molvi Sikandar,217020706,,,,632,541,1173,2,1,3
Total,,,,,,,632,541,1173,2,1,3
150,"Govt. Boys Primary School, Palloo Wala (Comb) (P)",Paloo Wala,217020701,,,,639,457,1096,2,1,3
150,,Kotla Saeed Qadri,217020702,,,,51,45,96,,,
Total,,,,,,,690,502,1192,2,1,3
151,"Govt.Boys High School, Jalal Abad (Comb) (P)",Jalal Abad,217020703,,,,809,651,1460,2,1,3
151,,Jalal Abad,217020704,,,,94,57,151,,,
Total,,,,,,,903,708,1611,2,1,3
152,"Govt. Elementary School, Bohar Boghey Shah (Comb)(P)",Ali Assar,217020803,,,,74,74,148,1,1,2
152,,Bohar Boghay Shah,217020802,,,,458,364,822,,,
Total,,,,,,,532,438,970,1,1,2
153,"Govt Boys Primary School, Mullan wala (Comb) (P)",Amreek,217020801,,,,688,540,1228,2,1,3
Total,,,,,,,688,540,1228,2,1,3
154,"Govt.Boys High School, Chak Himtta (Male ) Part-I (P)",Chak Himtta,217020804,,,,342,0,342,4,0,4
154,,Chak Himtta,217020805,,,,991,0,991,,,
154,,Chak Himtta,217020806,,,,,,0,,,
154,,Chak Himtta,217020807,,,,507,0,507,,,
Total,,,,,,,1840,0,1840,4,0,4
155,"Govt.Boys High School, Chak Himtta (Female ) Part-II(P)",Chak Himtta,217020804,,,,0,233,233,0,3,3
155,,Chak Himtta,217020805,,,,0,799,799,,,
155,,Chak Himtta,217020806,,,,,,0,,,
155,,Chak Himtta,217020807,,,,0,390,390,,,
Total,,,,,,,0,1422,1422,0,3,3
156,"Govt.Boys Elementary School, Miranpur ( Male )  (P)",Miranpur,217021301,,,,528,0,528,2,0,2
156,,Miranpur,217021302,,,,556,0,556,,,
Total,,,,,,,1084,0,1084,2,0,2
157,"Basic Health Unit, Miranpur ( Female )(P)",Miranpur,217021301,,,,0,403,403,0,2,2
157,,Miranpur,217021302,,,,0,421,421,,,
Total,,,,,,,0,824,824,0,2,2
158,"Govt Girls Middle  School, Railway Station Shahnal(Comb) (P)",Miranpur,217021303,,,,475,330,805,2,2,4
158,,Miranpur,217021304,,,,447,320,767,,,
Total,,,,,,,922,650,1572,2,2,4
159,"Govt Girls Primary School, Ram Kali (Comb) (P)",Miranpur,217021305,,,,619,459,1078,2,1,3
Total,,,,,,,619,459,1078,2,1,3
160,"Govt.Girls Primary  School Youns wala / Hussain walaPart-I (Comb) (P)",Kaloo Wala,217021401,,,,872,726,1598,2,2,4
161,"Govt.Girls Primary  School Youns wala / Hussain walaPart-II (Comb) (P)",Kaloo Wala,217021402,,,,468,366,834,1,1,2
Total,,,,,,,468,366,834,1,1,2
162,"Govt.Middle School, Kaloo Wala (Comb) (P)",Kaloo Wala,217021403,,,,425,292,717,1,1,2
Total,,,,,,,425,292,717,1,1,2
163,"Govt Boys Primary School,Abdullah pur at Summra(Comb) (P)",Summra,217020901,,,,551,404,955,1,1,2
Total,,,,,,,551,404,955,1,1,2
164,"Govt Girls High School,Abdullah pur (Comb) (P)",Summra,217020902,,,,777,613,1390,2,2,4
164,,Summra,217020903,,,,,,0,,,
Total,,,,,,,777,613,1390,2,2,4
165,"Shaheen Higher Secondary School, Adda Parmit 5Marla Scheme (Male) (T) (Private)",Summra,217020904,,,,1053,0,1053,3,0,3
165,,Summra,217020905,,,,,,0,,,
165,,Summra,217020906,,,,144,0,144,,,
Total,,,,,,,1197,0,1197,3,0,3
166,"Govt. Girls Primary School, Ada Parmit 5MarlaScheme A(Female)(P)",Summra,217020904,,,,0,877,877,0,2,2
166,,Summra,217020905,,,,,,0,,,
166,,Summra,217020906,,,,0,117,117,,,
Total,,,,,,,0,994,994,0,2,2
167,Basic Health Unit Dhalai wala (Comb) (P),Summra,217020910,,,,742,620,1362,2,2,4
167,,Summra,217020911,,,,,,0,,,
Total,,,,,,,742,620,1362,2,2,4
168,"Govt Boys Primary School, Pipli wala (Comb) (P)",Summra,217020907,,,,939,775,1714,2,2,4
168,,Summra,217020908,,,,,,0,,,
168,,Summra,217020909,,,,,,0,,,
Total,,,,,,,939,775,1714,2,2,4
169,"Govt Girls Primary School, Adda parmit/Jhok WalaPart-I (Male) (P)",Summra,217020912,,,,1398,0,1398,3,0,3
169,,Summra,217020913,,,,,,0,,,
Total,,,,,,,1398,0,1398,3,0,3
170,"Govt Girls Primary School, Adda parmit/Jhok WalaPart-II (Female)(P)",Summra,217020912,,,,0,1095,1095,0,2,2
170,,Summra,217020913,,,,,,0,,,
Total,,,,,,,0,1095,1095,0,2,2
171,"Govt Boys  Primary School, Jhok wala (Comb) (P)",Summra,217020914,,,,824,713,1537,2,2,4
171,,Summra,217020915,,,,,,0,,,
Total,,,,,,,824,713,1537,2,2,4
172,"Govt Boys Primary School, Rahim Yar wala (Comb) (P)",Kondi,217021101,,,,614,523,1137,2,1,3
Total,,,,,,,614,523,1137,2,1,3
173,Govt Primary School Basti sardar wali (Comb) (P),Kondi,217021102,,,,465,403,868,1,1,2
173,,Kondi,217021103,,,,78,71,149,,,
Total,,,,,,,543,474,1017,1,1,2
174,"Govt Girls Primary School, Kundi wanjaran (Comb) (P)",Kondi,217021104,,,,227,199,426,1,1,2
174,,Kondi,217021105,,,,179,123,302,,,
Total,,,,,,,406,322,728,1,1,2
175,"Govt Boys High School, Kundi kotania wala (Comb) (P)",Kondi,217021106,,,,704,610,1314,2,2,4
Total,,,,,,,704,610,1314,2,2,4
176,,Kondi,217021108,,,,,,0,,,
Total,,,,,,,562,430,992,2,1,3
177,"Govt Boys Primary School, Hassan abad Part-I (Male)(P)",Kondi,217021109,,,,1371,0,1371,3,0,3
177,,Kondi,217021110,,,,,,0,,,
177,,Kondi,217021111,,,,,,0,,,
Total,,,,,,,1371,0,1371,3,0,3
178,"Govt Boys Primary School, Hassan abad Part-II(Female) (P)",Kondi,217021109,,,,0,1084,1084,0,2,2
178,,Kondi,217021110,,,,,,0,,,
178,,Kondi,217021111,,,,,,0,,,
Total,,,,,,,0,1084,1084,0,2,2
179,"Govt Boys Primary School, Bahadar Taheem (Male) (P)",Lalay Wala,217021003,,,,640,0,640,4,0,4
179,,Lalay Wala,217021004,,,,598,0,598,,,
179,,Lalay Wala,217021005,,,,255,0,255,,,
Total,,,,,,,1493,0,1493,4,0,4
180,"Govt Girls Primary School, Bahadar Taheem (Female)(P)",Lalay Wala,217021003,,,,0,555,555,0,3,3
180,,Lalay Wala,217021004,,,,0,467,467,,,
180,,Lalay Wala,217021005,,,,0,204,204,,,
Total,,,,,,,0,1226,1226,0,3,3
181,Basic Health Centre Matrein (Male)(P),Matrein,217021001,,,,630,0,630,2,0,2
181,,Matrein,217021002,,,,452,0,452,,,
Total,,,,,,,1082,0,1082,2,0,2
182,"Govt Boys Middle School, Matrian (Female )(P)",Matrein,217021001,,,,0,486,486,0,2,2
182,,Matrein,217021002,,,,0,366,366,,,
Total,,,,,,,0,852,852,0,2,2
183,"Govt Boys Middle School, Fazal Wala (Comb) (P)",Fazal Wala,217021006,,,,497,424,921,2,2,4
183,,Fazal Wala,217021007,,,,395,263,658,,,
183,,Fazal Wala,217021008,,,,202,149,351,,,
Total,,,,,,,1094,836,1930,2,2,4
184,"Govt Boys Elementary School, Deepay Wala (Comb)(P)",Deepay Wala,217020601,,,,388,278,666,2,2,4
184,,Deepay Wala,217020602,,,,653,551,1204,,,
184,,Deepay Wala,217020603,,,,,,0,,,
Total,,,,,,,1041,829,1870,2,2,4
185,"Govt Boys Primary School, Dhoray Wala (Comb) (P)",Dhoray Wala,217020301,,,,647,538,1185,2,1,3
Total,,,,,,,647,538,1185,2,1,3
186,"Govt Girls Primary School, Dhoray Wala (Comb) (P)",Dhoray Wala,217020302,,,,595,398,993,1,1,2
Total,,,,,,,595,398,993,1,1,2
187,"Govt Girls Middle School, Kamal pur Jatial (Comb) (P)",Kamal pur Jatial,217020401,,,,387,249,636,2,1,3
187,,Kamal pur Jatial,217020402,,,,302,194,496,,,
Total,,,,,,,689,443,1132,2,1,3
188,"Govt. Boys Elementary School, Kamal pur Jatial NearBasti Sonhary wala (Comb)(P)",Kamal pur Jatial,217020403,,,,732,429,1161,2,2,4
188,,Kamal pur Jatial,217020404,,,,,,0,,,
188,,Kamal pur Jatial,217020405,,,,435,245,680,,,
188,,Kamal pur Jatial,217020406,,,,,,0,,,
189,"Govt Boys Primary School, (Khan wala) Wahi WighaMal (Comb) (P)",Wahi Wigha Mal,217030401,,,,285,199,484,2,1,3
189,,Wahi Wigha Mal,217030402,,,,329,283,612,,,
Total,,,,,,,614,482,1096,2,1,3
190,"Govt Boys Primary School, Wahi Motan Mal (ChakLiaqat Abad) Part-I (Comb) (P)",Wahi Motan Mal,217030403,,,,439,339,778,2,1,3
190,,Wahi Motan Mal,217030405,,,,234,180,414,,,
Total,,,,,,,673,519,1192,2,1,3
191,"Govt Boys Primary School, Wahi Motan Mal (ChakLiaqat Abad) Part-II (Comb) (P)",Wahi Motan Mal,217030404,,,,465,445,910,1,1,2
Total,,,,,,,465,445,910,1,1,2
192,"Govt. Boys High School, Salsadar, Part-I (Comb) (P)",Salsadar,217030201,,,,755,619,1374,2,1,3
192,,Salsadar,217030202,,,,75,40,115,,,
Total,,,,,,,830,659,1489,2,1,3
193,"Govt.Boys High School, Salsadar, Part-II (Comb) (P)",Salsadar,217030203,,,,339,280,619,2,2,4
193,,Salsadar,217030207,,,,468,371,839,,,
Total,,,,,,,807,651,1458,2,2,4
194,"Govt Boys Middle School, Bahmni Wala Part-I (Male)(P)",Salsadar,217030204,,,,1333,0,1333,3,0,3
194,,Salsadar,217030205,,,,,,0,,,
194,,Salsadar,217030206,,,,,,0,,,
Total,,,,,,,1333,0,1333,3,0,3
195,"Govt Boys Middle School, Bahmni Wala  Part-II(Female) (P)",Salsadar,217030204,,,,0,1223,1223,0,3,3
195,,Salsadar,217030205,,,,,,0,,,
195,,Salsadar,217030206,,,,,,0,,,
Total,,,,,,,0,1223,1223,0,3,3
196,"Govt Girls Middle School,Bahmni Wala (Comb) (P)",Salsadar,217030208,,,,895,696,1591,2,2,4
196,,Salsadar,217030209,,,,,,,,,
Total,,,,,,,895,696,1591,2,2,4
197,"Basic Health Centre, Salsadar (Comb) (P)",Salsadar,217030210,,,,492,344,836,1,1,2
197,,Salsadar,217030211,,,,,,0,,,
Total,,,,,,,492,344,836,1,1,2
198,"Govt Boys Primary School, Kath Garh (Comb) (P)",Kath Garh,217030501,,,,320,294,614,2,1,3
198,,Wahi Sikandar pur,217030506,,,,69,46,115,,,
198,,Chak Fateh Muhammad,217030507,,,,11,4,15,,,
198,,Wahi Mullan Fazal,217030508,,,,230,181,411,,,
Total,,,,,,,630,525,1155,2,1,3
199,"Govt. Boys Primary School, Mianpur Mehtam ( Male )(P)",Mianpur Mehtam,217030502,,,,568,0,568,3,0,3
199,,Mianpur Mehtam,217030503,,,,908,0,908,,,
199,,Mianpur Mehtam,217030504,,,,,,0,,,
Total,,,,,,,1476,0,1476,3,0,3
200,"Govt. Girls Primary School, Mianpur Mehtam (Female )(P)",Mianpur Mehtam,217030502,,,,0,502,502,0,3,3
200,,Mianpur Mehtam,217030503,,,,0,803,803,,,
200,,Mianpur Mehtam,217030504,,,,,,0,,,
Total,,,,,,,0,1305,1305,0,3,3
201,"Govt Boys High School, 49/M (Comb) (P)",Wahi Naich Wali,217030505,,,,797,682,1479,2,2,4
Total,,,,,,,797,682,1479,2,2,4
Total,,,,,,,545,492,1037,1,1,2
203,"Govt Boys Elementary School, Wahi Salamat Rai Part-I (Comb) (P)",Wahi Salamat Rai,217030603,,,,369,289,658,1,1,2
Total,,,,,,,369,289,658,1,1,2
204,"Govt Boys Elementary School, Wahi Salamat Rai Part-II (Comb) (P)",Wahi Salamat Rai,217030604,,,,773,589,1362,2,2,4
204,,Wahi Salamat Rai,217030605,,,,,,0,,,
Total,,,,,,,773,589,1362,2,2,4
205,"Govt Girls Primary School, Chand wala Wahi FatuChanner (Comb) (P)",Thalli Wah,217030601,,,,191,163,354,2,2,4
205,,Wahi Fatu Channer,217030606,,,,353,284,637,,,
205,,Wahi Fatu Channer,217030607,,,,466,422,888,,,
Total,,,,,,,1010,869,1879,2,2,4
206,"Govt Girls Elementary School, Millan Hans (Comb) (P)",Wahi Hurian Wali,217030701,,,,334,288,622,1,1,2
206,,Wahi Hurian Wali,217030702,,,,32,14,46,,,
206,,Wahi Ratna Wali,217030704,,,,30,27,57,,,
206,,Chak No.57/M,217030711,,,,114,98,212,,,
206,,Chak No.58/M,217030712,,,,25,23,48,,,
Total,,,,,,,535,450,985,1,1,2
207,"Govt Massjid Maktab School,Millan Hans (Comb) (P)",Millan Hans,217030708,,,,165,126,291,1,1,2
207,,Millan Hans,217030709,,,,192,165,357,,,
207,,Millan Hans,217030710,,,,58,45,103,,,
207,,Wahi Dewan wali,217030703,,,,141,123,264,,,
Total,,,,,,,556,459,1015,1,1,2
208,"Govt Boys Primary School, Sheer pur (Comb) (P)",Sheer pur,217030705,,,,269,185,454,1,1,2
Total,,,,,,,269,185,454,1,1,2
209,"Govt Girls Primary School, Chowk Farooq Azam BachoMoor (Comb)(P)",Sheer pur,217030706,,,,692,556,1248,2,1,3
209,,Sheer pur,217030707,,,,,,0,,,
Total,,,,,,,692,556,1248,2,1,3
210,"Govt.Boys High School, Wahi Ali Arain (Comb) (P)",Wahi Ali Arain,217030802,,,,314,281,595,1,1,2
210,,Chak No.59/M,217030803,,,,78,83,161,,,
Total,,,,,,,392,364,756,1,1,2
211,"Govt Girls Primary School, Wahi Channi Khan BastiChenna (Comb)(P)",Wahi Channi Khan,217030804,,,,376,376,752,2,2,4
211,,Wahi Qazi Abul Khair,217030801,,,,399,364,763,,,
Total,,,,,,,775,740,1515,2,2,4
212,"Govt. Boys Middle School, Band Ali pur Part-I(Comb)(P)",Band Ali pur,217030805,,,,461,469,930,1,1,2
Total,,,,,,,461,469,930,1,1,2
213,"Govt.Boys Middle School, Band Ali pur Part-II (Comb)(P)",Band Ali pur,217030806,,,,680,615,1295,2,2,4
Total,,,,,,,680,615,1295,2,2,4
214,"Govt Model Elementary School, Sadullah Pur MiddlePortion (Male) (P)",Sadullah pur,217030904,,,,501,0,501,4,0,4
214,,Sadullah pur,217030905,,,,633,0,633,,,
214,,Wahi Wariam,217030906,,,,502,0,502,,,
Total,,,,,,,1636,0,1636,4,0,4
215,"Govt Model Elementary School, Sadullah Pur PrimaryPortion (Female) (P)",Sadullah pur,217030904,,,,0,429,429,0,3,3
215,,Sadullah pur,217030905,,,,0,569,569,,,
Total,,,,,,,0,1356,1356,0,3,3
216,"Govt Boys Primary School, Mossay wala Part-I (Male)(P)",Sadullah pur,217030901,,,,467,0,467,4,0,4
216,,Sadullah pur,217030902,,,,528,0,528,,,
216,,Sadullah pur,217030903,,,,520,0,520,,,
Total,,,,,,,1515,0,1515,4,0,4
217,"Govt Boys Primary School, Mossay wala Part-II(Female) (P)",Sadullah pur,217030901,,,,0,420,420,0,3,3
217,,Sadullah pur,217030902,,,,0,474,474,,,
217,,Sadullah pur,217030903,,,,0,427,427,,,
Total,,,,,,,0,1321,1321,0,3,3
218,"Govt Girls Primary Madrasa Maktab Wahi ImamBakhsh (Comb) (P)",Wahi Imam Bakhsh,217031001,,,,643,532,1175,2,1,3
Total,,,,,,,643,532,1175,2,1,3
219,"Govt Boys Middle School, Amray wala, Part-I (Comb)(P)",Chak Godha,217031004,,,,534,373,907,1,1,2
219,,Chak Godha,217031005,,,,,,0,,,
Total,,,,,,,534,373,907,1,1,2
220,"Govt Boys Middle School, Amray wala, Part-II (Comb)(P)",Wahi Daud Khan,217031006,,,,329,293,622,2,1,3
220,,Wahi Daud Khan,217031007,,,,354,253,607,,,
Total,,,,,,,683,546,1229,2,1,3
221,"Govt Boys Primary School, Bumb wala Part-I (Comb)(P)",Kot Pir Sadat,217031002,,,,571,489,1060,1,1,2
Total,,,,,,,571,489,1060,1,1,2
222,"Govt Boys Primary School, Bumb wala Part-II (Comb)(P)",Kot Pir Sadat,217031003,,,,746,635,1381,2,2,4
Total,,,,,,,746,635,1381,2,2,4
223,"Govt Girls Primary School, Kala Wari (Comb) (P)",Kala Wairi,217030125,,,,380,304,684,1,1,2
Total,,,,,,,380,304,684,1,1,2
224,"Govt. Boys Middle School, Basti Rahuja (Comb) (P)",Gogran,217030101,,,,478,383,861,2,2,4
224,,Gogran,217030102,,,,322,263,585,,,
224,,Gogran,217030103,,,,243,202,445,,,
Total,,,,,,,1043,848,1891,2,2,4
225,"Govt. Boys High School, Gogran Part-I (Comb) (P)",Gogran,217030104,,,,504,392,896,2,2,4
225,,Gogran,217030105,,,,338,289,627,,,
225,,Gogran,217030126,,,,,,0,,,
225,,Gogran,217030108,,,,70,39,109,,,
225,,Gogran,217030109,,,,204,140,344,,,
Total,,,,,,,1116,860,1976,2,2,4
226,"Govt. Boys Middle School, Mehar Abad Part-I (Male)(P)",Gogran,217030106,,,,916,0,916,3,0,3
226,,Gogran,217030107,,,,419,0,419,,,
Total,,,,,,,1335,0,1335,3,0,3
227,"Govt. Boys Middle School, Mehar Abad  Part-II(Female) (P)",Gogran,217030106,,,,0,802,802,0,3,3
227,,Gogran,217030107,,,,0,327,327,,,
Total,,,,,,,0,1129,1129,0,3,3
228,"Govt. Girls High School, Gogran Part-I (Comb) (P)",Gogran,217030110,,,,302,264,566,2,2,4
228,,Gogran,217030111,,,,115,103,218,,,
228,,Gogran,217030112,,,,110,70,180,,,
228,,Kot Haji,217030124,,,,263,221,484,,,
229,,Gogran,217030113,,,,225,181,406,2,2,4
229,"Govt. Girls High School, Gogran Part-II (Comb) (P)",Gogran,217030114,,,,109,91,200,,,
229,,Gogran,217030127,,,,,,0,,,
229,,Gogran,217030128,,,,,,0,,,
229,,Gogran,217030115,,,,506,436,942,,,
Total,,,,,,,840,708,1548,2,2,4
230,"Govt.Boys High School, Gogran Part-II (Comb) (P)",Gogran,217030116,,,,225,171,396,2,2,4
230,,Gogran,217030117,,,,279,268,547,,,
230,,Gogran,217030118,,,,219,179,398,,,
Total,,,,,,,723,618,1341,2,2,4
231,"Govt.Boys High School, Gogran Part-III (Comb) (P)",Gogran,217030119,,,,235,189,424,2,1,3
231,,Gogran,217030120,,,,356,317,673,,,
Total,,,,,,,591,506,1097,2,1,3
232,"Rural Health Center, Gogran (Comb) (P)",Gogran,217030121,,,,206,162,368,2,2,4
232,,Gogran,217030122,,,,335,255,590,,,
