"",Sr. No.,No. and Name of Polling Station,In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson the electoralroll in caseelectoral area isbifurcated","Number of voters assigned topolling station",Number of polling  booths,,,,,,
"",,,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
179,"GOVERNMENT GIRLS PRIMARYSCHOOL, ZAINPUR(Female)  (T)",ZAIN PUR,263010901,-,-,,0,174,174,0,3,3
"",,ZAIN PUR,263010902,-,-,,0,160,160,,,
"",,ZAIN PUR,263010903,-,-,,0,195,195,,,
"",,ZAIN PUR,263010904,-,-,,0,347,347,,,
"",,ZAIN PUR,263010905,-,-,,0,187,187,,,
"",,ZAIN PUR,263010906,-,-,,0,270,270,,,
89 Total,,,,-,-,-,0,1333,1333,0,3,3
HAJKA,263010907,-,-,,424,341,765,,,,,
90 Total,,,,-,-,-,514,430,944,1,1,2
181,"GOVERNMENT GIRLS PRIMARYSCHOOL HAJAKA  (T)",HAJKA,263010908,-,-,,482,418,900,2,1,3
"",,HAJKA,263010909,-,-,,222,218,440,,,
91 Total,,,,-,-,-,704,636,1340,2,1,3
182,"GOVERNMENT BOYS PRIMARYSCHOOL, JHAMAT (T)","JHUMAT RANJHIANWALA",263010911,-,-,,165,143,308,1,1,2
"",,"JHUMAT RANJHIANWALA",263010914,-,-,,456,353,809,,,
92 Total,,,,-,-,-,621,496,1117,1,1,2
183,"GOVERNMENT BOYS PRIMARYSCHOOL, RANJHIANWALA  (T)","JHUMAT RANJHIANWALA",263010912,-,-,,621,558,1179,2,2,4
"",,"JHUMAT RANJHIANWALA",263010913,-,-,,468,288,756,,,
93 Total,,,,-,-,-,1089,846,1935,2,2,4
184,"GOVERNMENT BOYS ELEMENTARYSCHOOL, BHOJI KOT (T)",PINDI HATTAR,263010305,-,-,,163,127,290,2,1,3
"",,BHOJIKOT,263011001,-,-,,665,464,1129,,,
94 Total,,,,-,-,-,828,591,1419,2,1,3
185,"GOVERNMENTBOYS PRIMARYSCHOOL, KHERO KOT  (T)",KHEROKOT,263011002,-,-,,502,407,909,2,1,3
"",,KHEROKOT,263011003,-,-,,277,223,500,,,
95 Total,,,,-,-,-,779,630,1409,2,1,3
186,"GOVERNMENTBOYS PRIMARYSCHOOL, SHEIKHPUR KOHNA  (T)",RANG PUR ALLAH YAR,263011004,-,-,,147,107,254,2,2,4
"",,SHEIKH PUR KOHNA,263011005,-,-,,367,315,682,,,
"",,SHEIKH PUR KOHNA,263011009,-,-,,351,293,644,,,
96 Total,,,,-,-,-,865,715,1580,2,2,4
187,"GOVERNMENT MODEL PRIMARYSCHOOL, FATEH GARH (MALE)  (T)",FATEH GARH,263011006,-,-,,0,0,0,0,0,0
"",,FATEH GARH,263011007,-,-,,0,0,0,,,
"",,FATEH GARH,263011008,-,-,,252,0,252,,,
"",,FATEH GARH,263011010,-,-,,323,0,323,,,
97 Total,,,,-,-,-,575,0,575,0,0,0
188,"GOVERNMENT MODEL PRIMARYSCHOOL, FATEH GARH (FEMALE) (T)",FATEH GARH,263011006,-,-,,0,0,0,0,0,0
"",,FATEH GARH,263011007,-,-,,0,0,0,,,
"",,FATEH GARH,263011008,-,-,,0,212,212,,,
"",,FATEH GARH,263011010,-,-,,0,271,271,,,
98 Total,,,,-,-,-,0,483,483,0,0,0
"MUIDH PARAGANAMIANI",263020101,-,-,,689,0,689,,,,,
"MUIDH PARAGANAMIANI",263020102,-,-,,150,0,150,,,,,
"MUIDH PARAGANAMIANI",263020103,-,-,,231,0,231,,,,,
"MUIDH PARAGANAMIANI",263020104,-,-,,241,0,241,,,,,
99 Total,,,,-,-,-,1712,0,1712,4,0,4
190,"GOVERNMENT GIRLS PRIMERYSCHOOL  MIDH PARGANA MANI(Female) (T)","MUIDH PARAGANAMIANI",263020101,-,-,,0,569,569,0,3,3
"",,"MUIDH PARAGANAMIANI",263020102,-,-,,0,100,100,,,
"",,"MUIDH PARAGANAMIANI",263020103,-,-,,0,205,205,,,
"",,"MUIDH PARAGANAMIANI",263020104,-,-,,0,212,212,,,
"",,"MUIDH PARAGANAMIANI",263020105,-,-,,0,327,327,,,
100 Total,,,,-,-,-,0,1413,1413,0,3,3
191,"GOVERNMENT BOYS PRIMARYSCHOOL , CHAL PUR                ( MALE )(T)","MUIDH PARAGANAMIANI",263020106,-,-,,576,0,576,2,0,2
"",,"MUIDH PARAGANAMIANI",263020107,-,-,,534,0,534,,,
101 Total,,,,-,-,-,1110,0,1110,2,0,2
192,"GOVERNMENT GIRLS PRIMARYSCHOOL  NO.2,  CHAL PUR","MUIDH PARAGANAMIANI",263020106,-,-,,0,519,519,0,2,2
"",,"MUIDH PARAGANAMIANI",263020107,-,-,,0,467,467,,,
102 Total,,,,-,-,-,0,986,986,0,2,2
193,"GOVERNMENT BOYS PRIMARYSCHOOL, ISLAMPURA (T)","MUIDH PARAGANAMIANI",263020108,-,-,,441,346,787,2,2,4
"",,"MUIDH PARAGANAMIANI",263020109,-,-,,552,471,1023,,,
103 Total,,,,-,-,-,993,817,1810,2,2,4
194,"GOVERNMENT GIRLS PRIMARYSCHOOL, ISLAMPURA (T)","MUIDH PARAGANAMIANI",263020110,-,-,,364,270,634,2,2,4
"",,"MUIDH PARAGANAMIANI",263020111,-,-,,230,183,413,,,
"",,"MUIDH PARAGANAMIANI",263020112,-,-,,383,306,689,,,
104 Total,,,,-,-,-,977,759,1736,2,2,4
195,"GOVERNMENT MODEL PRIMARYSHOOL,  CHAK NIZAM   (T)",CHAK NIZAM,263020113,-,-,,123,0,123,2,0,2
"",,CHAK NIZAM,263020114,-,-,,682,0,682,,,
"",,RAY PUR,263020310,-,-,,352,0,352,,,
105 Total,,,,-,-,-,1157,0,1157,2,0,2
196,"(176) GOVERNMENT GIRLS PRIMARYSCHOOL CHAK NIZAM",CHAK NIZAM,263020113,-,-,,0,54,54,0,2,2
CHAK NIZAM,263020114,-,-,,0,591,591,,,,,
RAY PUR,263020310,-,-,,0,257,257,,,,,
197,"GOVERNMENT BOYS  PRIMARYSCHOOL,   BOLLA BALA   (T)",BOLLA,263020201,-,-,,484,396,880,1,1,2
107 Total,,,,-,-,-,484,396,880,1,1,2
198,"GOVERNMENT GIRLS ELEMENTRYSCHOOL ,  BOLLA ZAREEN  (T)",BOLLA,263020203,-,-,,475,387,862,2,2,4
"",BOLLA,263020204,-,-,,346,283,629,,,,
108 Total,,,,-,-,-,821,670,1491,2,2,4
199,"GOVERNMENT GIRLS ELEMENTRYSCHOOL ,  BOLLA ZAREEN   (T)",BOLLA,263020202,-,-,,372,288,660,2,1,3
"",BOLLA,263020205,-,-,,351,287,638,,,,
109 Total,,,,-,-,-,723,575,1298,2,1,3
200,"GOVERNMENT GIRLS PRIMARYSCHOOL CHAK SAIDA(NAWANLOKGHARBI)   (T)",CHAK SAIDA,263020301,-,-,,568,0,568,3,0,3
"",CHAK SAIDA,263020302,-,-,,525,0,525,,,,
"",CHAK SAIDA,263020303,-,-,,314,0,314,,,,
110 Total,,,,-,-,-,1407,0,1407,3,0,3
201,"(180) GOVERNMENT GIRLS PRIMARYSCHOOL CHAK SAIDA(NAWANLOKGHARBI)   (T)",CHAK SAIDA,263020301,-,-,,0,449,449,0,2,2
"",CHAK SAIDA,263020302,-,-,,0,430,430,,,,
"",CHAK SAIDA,263020303,-,-,,0,262,262,,,,
111 Total,,,,-,-,-,0,1141,1141,0,2,2
202,"GOVERNMENT BOYS HIGH SCHOOL,CHAK SAIDA (MALE)     (T)",CHAK SAIDA,263020304,-,-,,355,0,355,4,0,4
"",CHAK SAIDA,263020305,-,-,,589,0,589,,,,
"",CHAK SAIDA,263020306,-,-,,403,0,403,,,,
"",CHAK SAIDA,263020307,-,-,,507,0,507,,,,
112 Total,,,,-,-,-,1854,0,1854,4,0,4
203,"GOVERNMENT BOYS HIGH SCHOOL,CHAK SAIDA (FEMALE)    (T)",CHAK SAIDA,263020304,-,-,,0,241,241,0,3,3
"",CHAK SAIDA,263020305,-,-,,0,431,431,,,,
"",CHAK SAIDA,263020306,-,-,,0,217,217,,,,
"",CHAK SAIDA,263020307,-,-,,0,522,522,,,,
113 Total,,,,-,-,-,0,1411,1411,0,3,3
204,"GOVERNMENT BOYS PRIMERYSCHOOL KALAS  (T)",KALAS,263020308,-,-,,355,278,633,2,2,4
"",KALAS,263020309,-,-,,690,581,1271,,,,
114 Total,,,,-,-,-,1045,859,1904,2,2,4
205,"GOVERNMENT GIRLS  ELEMENTRYSCHOOL KALYAN PUR   (T)",KALIAN PUR (ABBASPUR),263020401,-,-,,669,542,1211,2,1,3
115 Total,,,,-,-,-,669,542,1211,2,1,3
206,"GOVERNMENT GIRLS ELEMENTRYSCHOOL KALYAN PUR    (T)",KALIAN PUR (ABBASPUR),263020402,-,-,,729,652,1381,2,2,4
"",DOULAT PUR KHILCHI,263021105,-,-,,202,155,357,,,,
116 Total,,,,-,-,-,931,807,1738,2,2,4
207,"GOVERNMENT BOYS HIGH SCHOOLKALYAN PUR   (T)",KALIAN PUR (ABBASPUR),263020403,-,-,,335,287,622,2,1,3
"",DHEELA,263020404,-,-,,413,354,767,,,,
117 Total,,,,-,-,-,748,641,1389,2,1,3
208,SCHOOL  SIGH BALA  (T),SINGH BALA,263020406,-,-,,613,465,1078,2,2,4
"",,SINGH BALA,263020407,-,-,,188,206,394,,,
118 Total,,,,-,-,-,1054,874,1928,2,2,4
209,"GOVERNMENT BOYS PRIMARYSCHOOL                     BANA MIANWALA(T)",BANNA MIANWALA,263020501,-,-,,606,500,1106,1,1,2
119 Total,,,,-,-,-,606,500,1106,1,1,2
210,"GOVERNMENT MODEL PRIMARYSCHOOL                     JAGAT PURA  (T)",JAGAT PURA,263020502,-,-,,463,0,463,3,0,3
"",,JAGAT PURA,263020503,-,-,,298,0,298,,,
"",,JAGAT PURA,263020504,-,-,,443,0,443,,,
"",,RAKH PAKHUWAL,263020505,-,-,,0,0,0,,,
120 Total,,,,-,-,-,1204,0,1204,3,0,3
211,"(189) GOVERNMENT MODEL PRIMARYSCHOOL                     JAGAT PURA  (T)",JAGAT PURA,263020502,-,-,,0,335,335,0,2,2
"",,JAGAT PURA,263020503,-,-,,0,209,209,,,
"",,JAGAT PURA,263020504,-,-,,0,278,278,,,
"",,RAKH PAKHUWAL,263020505,-,-,,0,0,0,,,
121 Total,,,,-,-,-,0,822,822,0,2,2
212,"GOVERNMENT MODEL PRIMARYSCHOOL   CHAK GULAB PUR  (T)",CHAK PIR SHAH WALA,263020601,-,-,,165,142,307,1,1,2
"",,GULAB PUR,263020602,-,-,,360,269,629,,,
122 Total,,,,-,-,-,525,411,936,1,1,2
213,"GOVERNMENT MODEL PRIMARYSCHOOL                ALLAHABAD  (T)",ALLAH ABAD,263020603,-,-,,332,227,559,2,1,3
"",,ALLAH ABAD,263020604,-,-,,507,377,884,,,
"",,ALLAH ABAD,263020605,-,-,,29,12,41,,,
123 Total,,,,-,-,-,868,616,1484,2,1,3
214,"GOVERNMENT MODEL PRIMARYSCHOOL                RAKH MIANI  (T)",RAKH MIANI,263020701,-,-,,491,356,847,2,1,3
"",,RAKH MIANI,263020702,-,-,,321,249,570,,,
124 Total,,,,-,-,-,812,605,1417,2,1,3
215,"GOVERNMENT BOYS PRIMARYSCHOOL                PAKHUWAL  (T)",AMIRCHAND WALA,263020703,-,-,,202,161,363,2,1,3
"",,HERA GARH,263020704,-,-,,16,18,34,,,
"",,PAKHUWAL,263020708,-,-,,317,222,539,,,
"",,PAKHUWAL,263020709,-,-,,193,139,332,,,
125 Total,,,,-,-,-,728,540,1268,2,1,3
216,"GOVERNMENT BOYS  PRIMARYSCHOOL  JEWAN WAL  (T)",JEWAN WAL,263020705,-,-,,246,202,448,2,2,4
"",,JEWAN WAL,263020706,-,-,,593,460,1053,,,
"",,JEWAN WAL,263020707,-,-,,213,149,362,,,
126 Total,,,,-,-,-,1052,811,1863,2,2,4
217,"GOVERNEMNT BOYS HIGH SCHOOLWEROWAL( MALE) (P)",WEROWAL,263020801,-,-,,445,0,445,3,0,3
"",,WEROWAL,263020802,-,-,,1184,0,1184,,,
127 Total,,,,-,-,-,1629,0,1629,3,0,3
218,"GOVERNMENT BOYS HIGH SCHOOLWEROWAL (Female) ) (P)",WEROWAL,263020801,-,-,,0,336,336,0,3,3
"",,WEROWAL,263020802,-,-,,0,925,925,,,
128 Total,,,,-,-,-,0,1261,1261,0,3,3
KALRI,263020803,-,-,,484,319,803,,,,,
"",WALA)  (T),KOT GULNAWAZ,263020805,-,-,,73,53,126,,,
129 Total,,,,-,-,-,1023,733,1756,2,2,4
220,"GOVERNMENT MODEL PRIMARYSCHOOL             VIJHI  (T)",WIJHI,263020806,-,-,,629,406,1035,2,1,3
"",,WIJHI,263020807,-,-,,124,114,238,,,
130 Total,,,,-,-,-,753,520,1273,2,1,3
221,"GOVERNMENT BOYS PRIMARYSCHOOL KOT AHMED KHAN",KOT AHMED KHAN,263020901,-,-,,360,291,651,2,1,3
"",,KOT AHMED KHAN,263020902,-,-,,359,298,657,,,
131 Total,,,,-,-,-,719,589,1308,2,1,3
222,"GOVERNMENT GIRLS PRIMARYSCHOOL              KOT AHMED KHAN(SUMLAWALA)  (T)",KOT AHMED KHAN,263020903,-,-,,148,125,273,2,2,4
"",,KOT AHMED KHAN,263020904,-,-,,283,274,557,,,
"",,KOT AHMED KHAN,263020905,-,-,,536,383,919,,,
"",,KOT AHMED KHAN,263020906,-,-,,93,72,165,,,
132 Total,,,,-,-,-,1060,854,1914,2,2,4
223,"GOVERNMENT  BOYS PRIMARYSCHOOL     NIMTAS  (T)",NIMTAS,263020907,-,-,,552,442,994,1,1,2
133 Total,,,,-,-,-,552,442,994,1,1,2
224,"GOVERNMENT GIRLS PRIMARYSCHOOL     NIMTAS  (T)",NIMTAS,263020908,-,-,,280,242,522,2,1,3
"",,NIMTAS,263020909,-,-,,428,334,762,,,
"",,CHAH GHUTTI,263020910,-,-,,0,0,0,,,
134 Total,,,,-,-,-,708,576,1284,2,1,3
225,"GOVERNMENT BOYS ELEMENTARYSCHOOL     GOND PUR  (T)",WAIS MOAFI,263020911,-,-,,12,6,18,2,1,3
"",,HATTAR MOAFI,263020912,-,-,,0,0,0,,,
"",,GONDPUR,263021001,-,-,,808,573,1381,,,
135 Total,,,,-,-,-,820,579,1399,2,1,3
226,"GOVERNMENT BOYS PRIMARYSCHOOL  CHHANI SYEDAN  (T)",CHILER,263021002,-,-,,226,192,418,2,2,4
"",,CHAK GOND PUR,263021003,-,-,,0,0,0,,,
"",,ROSHEN PUR,263021004,-,-,,184,139,323,,,
"",,CHHANI SAYEDAN,263021005,-,-,,200,180,380,,,
"",,ICHRAN,263021008,-,-,,284,196,480,,,
136 Total,,,,-,-,-,894,707,1601,2,2,4
227,"GOVERNMENT BOYSPRIMARYSCHOOL, AWAN  (T)",AWAN,263021006,-,-,,445,341,786,1,1,2
"",,GULAB GARH,263021007,-,-,,0,0,0,,,
137 Total,,,,-,-,-,445,341,786,1,1,2
228,"GOVERNMENT MODEL PRIMARYSCHOOL,GHUGHIAT  (T)",GHOGHYAT,263021101,-,-,,253,264,517,2,2,4
"",,GHOGHYAT,263021102,-,-,,318,317,635,,,
"",,GHOGHYAT,263021104,-,-,,164,148,312,,,
138 Total,,,,-,-,-,735,729,1464,2,2,4
229,"GOVERNMENT MODEL PRIMARYSCHOOL,GHUGHIAT  (T)",GHOGHYAT,263021103,-,-,,622,500,1122,1,1,2
139 Total,,,,-,-,-,622,500,1122,1,1,2
KOT MUKARAM,263021106,-,-,,62,46,108,,,,,
140 Total,,,,-,-,-,368,339,707,1,1,2
231,"GOVERNMENT BOYS PRIMARYSCHOOL BHARTH SHARQI  (T)",BHARTH SHARQI,263021108,-,-,,449,374,823,1,1,2
141 Total,,,,-,-,-,449,374,823,1,1,2
277,"GMC PRIMARY SCHOOL NO.2 CHIRICHOWK,BHERA (MALE)  (T)",BHERA M.C.,263030101,-,-,,367,0,367,3,0,3
"",,BHERA M.C.,263030102,-,-,,636,0,636,,,
"",,BHERA M.C.,263030401,-,-,,198,0,198,,,
"",,BHERA M.C.,263030407,-,-,,315,0,315,,,
142 Total,,,,-,-,-,1516,0,1516,3,0,3
278,"GMC PRIMARY SCHOOL NO.2 CHIRICHOWK,BHERA (FEMALE)  (T)",BHERA M.C.,263030101,-,-,,0,329,329,0,3,3
"",,BHERA M.C.,263030102,-,-,,0,540,540,,,
"",,BHERA M.C.,263030401,-,-,,0,240,240,,,
"",,BHERA M.C.,263030407,-,-,,0,245,245,,,
143 Total,,,,-,-,-,0,1354,1354,0,3,3
279,"MUHAMMADIA GHUSIA PRIMARYSCHOOL, BHERA (MALE)  (T)",BHERA M.C.,263030201,-,-,,438,0,438,3,0,3
"",,BHERA M.C.,263030301,-,-,,348,0,348,,,
"",,BHERA M.C.,263030302,-,-,,424,0,424,,,
144 Total,,,,-,-,-,1210,0,1210,3,0,3
280,"MUHAMMADIA GHUSIA PRIMARYSCHOOL, BHERA (FEMALE)  (T)",BHERA M.C.,263030201,-,-,,0,347,347,0,2,2
"",,BHERA M.C.,263030301,-,-,,0,280,280,,,
"",,BHERA M.C.,263030302,-,-,,0,378,378,,,
145 Total,,,,-,-,-,0,1005,1005,0,2,2
281,"MC. GIRLS PRIMARY SCHOOL,MOH:LOHARANWAL (MALE)  (T)",BHERA M.C.,263030103,-,-,,252,0,252,4,0,4
"",,BHERA M.C.,263030104,-,-,,1119,0,1119,,,
"",,BHERA M.C.,263030204,-,-,,493,0,493,,,
"",,BHERA M.C.,263030406,-,-,,55,0,55,,,
146 Total,,,,-,-,-,1919,0,1919,4,0,4
282,"MC. GIRLS PRIMARY SCHOOL,MOH:LOHARANWAL (FEMALE)  (T)",BHERA M.C.,263030103,-,-,,0,200,200,0,4,4
"",,BHERA M.C.,263030104,-,-,,0,1013,1013,,,
"",,BHERA M.C.,263030204,-,-,,0,383,383,,,
"",,BHERA M.C.,263030406,-,-,,0,67,67,,,
147 Total,,,,-,-,-,0,1663,1663,0,4,4
283,"SHOUKAT ISLAMIA PRIMARYSCHOOL,BHERA (MALE)  (T)",BHERA M.C.,263030202,-,-,,454,0,454,3,0,3
"",,BHERA M.C.,263030203,-,-,,417,0,417,,,
"",,BHERA M.C.,263030205,-,-,,485,0,485,,,
148 Total,,,,-,-,-,1356,0,1356,3,0,3
284,"SHOUKAT ISLAMIA PRIMARYSCHOOL,BHERA (FEMALE)  (T)",BHERA M.C.,263030202,-,-,,0,375,375,0,2,2
"",,BHERA M.C.,263030203,-,-,,0,322,322,,,
"",,BHERA M.C.,263030205,-,-,,0,407,407,,,
149 Total,,,,-,-,-,0,1104,1104,0,2,2
BHERA M.C.,263030303,-,-,,349,0,349,,,,,
BHERA M.C.,263030304,-,-,,420,0,420,,,,,
150 Total,,,,-,-,-,1112,0,1112,2,0,2
286,"MC. BOYS PRIMARY SCHOOL RASHIDACADMY,LALOWALA (FEMALE)  (T)",BHERA M.C.,263030303,-,-,,0,324,324,0,2,2
"",,BHERA M.C.,263030304,-,-,,0,369,369,,,
"",,BHERA M.C.,263030306,-,-,,0,314,314,,,
151 Total,,,,-,-,-,0,1007,1007,0,2,2
287,"GOVERNMENT GIRLS PRIMARYSCHOOL IMLIWALA (MALE)  (T)",BHERA M.C.,263030402,-,-,,549,0,549,4,0,4
"",,BHERA M.C.,263030403,-,-,,351,0,351,,,
"",,BHERA M.C.,263030404,-,-,,254,0,254,,,
"",,BHERA M.C.,263030405,-,-,,518,0,518,,,
"",,BHERA M.C.,263030408,-,-,,59,0,59,,,
152 Total,,,,-,-,-,1731,0,1731,4,0,4
288,"GOVERNMENT GIRLS PRIMARYSCHOOL IMLIWALA (FEMALE)  (T)",BHERA M.C.,263030402,-,-,,0,499,499,0,4,4
"",,BHERA M.C.,263030403,-,-,,0,340,340,,,
"",,BHERA M.C.,263030404,-,-,,0,237,237,,,
"",,BHERA M.C.,263030405,-,-,,0,510,510,,,
"",,BHERA M.C.,263030408,-,-,,0,65,65,,,
153 Total,,,,-,-,-,0,1651,1651,0,4,4
289,"GOVERNMENT ISLAMIA BOYS HIGHSCHOOL BHARA (MALE)  (T)",BHERA M.C.,263030501,-,-,,397,0,397,2,0,2
"",,BHERA M.C.,263030601,-,-,,647,0,647,,,
154 Total,,,,-,-,-,1044,0,1044,2,0,2
290,"GOVERNMENT ISLAMIA BOYS HIGHSCHOOL, BHARA (FEMALE) (T)",BHERA M.C.,263030501,-,-,,0,332,332,0,2,2
"",,BHERA M.C.,263030601,-,-,,0,558,558,,,
155 Total,,,,-,-,-,0,890,890,0,2,2
291,"GOVERNMENT GIRLS PRIMAPRYSCHOOL NO.3 BHERA (MALE)  (T)",BHERA M.C.,263030502,-,-,,365,0,365,2,0,2
"",,BHERA M.C.,263030503,-,-,,549,0,549,,,
156 Total,,,,-,-,-,914,0,914,2,0,2
292,"GOVERNMENT GIRLS PRIMAPRYSCHOOL NO.3 BHERA (FEMALE)  (T)",BHERA M.C.,263030502,-,-,,0,348,348,0,2,2
"",,BHERA M.C.,263030503,-,-,,0,452,452,,,
157 Total,,,,-,-,-,0,800,800,0,2,2
293,OFFICE OF M.C. BHERA (MALE) (P),BHERA M.C.,263030504,-,-,,611,0,611,2,0,2
"",,BHERA M.C.,263030602,-,-,,577,0,577,,,
158 Total,,,,-,-,-,1188,0,1188,2,0,2
294,OFFICE OF M.C BHERA (FEMALE) (P),BHERA M.C.,263030504,-,-,,0,539,539,0,2,2
"",,BHERA M.C.,263030602,-,-,,0,470,470,,,
159 Total,,,,-,-,-,0,1009,1009,0,2,2
295,"GOVERNMENT GIRLS HIGHIERSECONDRY SCHOOL, BHERA (MALE) (P)",BHERA M.C.,263030603,-,-,,387,0,387,4,0,4
"",,BHERA M.C.,263030604,-,-,,716,0,716,,,
"",,BHERA M.C.,263030605,-,-,,380,0,380,,,
"",,BHERA M.C.,263030608,-,-,,312,0,312,,,
160 Total,,,,-,-,-,1795,0,1795,4,0,4
BHERA M.C.,263030305,-,-,,465,0,465,,,,,
BHERA M.C.,263030606,-,-,,346,0,346,,,,,
BHERA M.C.,263030607,-,-,,481,0,481,,,,,
161 Total,,,,-,-,-,1624,0,1624,3,0,3
297,"GOVERNMENT GIRLS HIGHIERSECONDRY SCHOOL, BHERA (FEMALE)(P)",BHERA M.C.,263030603,-,-,,0,346,346,0,3,3
"",,BHERA M.C.,263030604,-,-,,0,662,662,,,
"",,BHERA M.C.,263030605,-,-,,0,318,318,,,
"",,BHERA M.C.,263030608,-,-,,0,265,265,,,
162 Total,,,,-,-,-,0,1591,1591,0,3,3
298,"GOVERNMENT MODEL HIGH SCHOOL,BHERA (FEMALE) (P)",BHERA M.C.,263030305,-,-,,0,436,436,0,3,3
"",,BHERA M.C.,263030606,-,-,,0,290,290,,,
"",,BHERA M.C.,263030607,-,-,,0,429,429,,,
"",,BHERA M.C.,263030609,-,-,,0,290,290,,,
163 Total,,,,-,-,-,0,1445,1445,0,3,3
299,"Government  Boys Elementry SchoolMiani  (Male) (P)",MIANI T.C.,263040101,-,-,,216,0,216,3,0,3
"",,MIANI T.C.,263040102,-,-,,254,0,254,,,
"",,MIANI T.C.,263040103,-,-,,681,0,681,,,
"",,MIANI T.C.,263040104,-,-,,345,0,345,,,
164 Total,,,,-,-,-,1496,0,1496,3,0,3
300,"Government  Boys Elementry SchoolMiani  (Female) (P)",MIANI T.C.,263040101,-,-,,0,155,155,0,3,3
"",,MIANI T.C.,263040102,-,-,,0,230,230,,,
"",,MIANI T.C.,263040103,-,-,,0,607,607,,,
"",,MIANI T.C.,263040104,-,-,,0,294,294,,,
165 Total,,,,-,-,-,0,1286,1286,0,3,3
301,"GOVERNMENTGIRLS HIGH SCHOOL,MIANI (MALE) (P)",MIANI T.C.,263040105,-,-,,221,0,221,3,0,3
"",,MIANI T.C.,263040106,-,-,,256,0,256,,,
"",,MIANI T.C.,263040201,-,-,,458,0,458,,,
"",,MIANI T.C.,263040202,-,-,,663,0,663,,,
166 Total,,,,-,-,-,1598,0,1598,3,0,3
302,"GOVERNMENTGIRLS HIGH SCHOOL,MIANI (FEMALE) (P)",MIANI T.C.,263040105,-,-,,0,169,169,0,3,3
"",,MIANI T.C.,263040106,-,-,,0,198,198,,,
"",,MIANI T.C.,263040201,-,-,,0,389,389,,,
"",,MIANI T.C.,263040202,-,-,,0,554,554,,,
167 Total,,,,-,-,-,0,1310,1310,0,3,3
303,"GOVERNMENT BOYS HIGH SCHOOL,MIANI (MALE) (P)",MIANI T.C.,263040203,-,-,,528,0,528,3,0,3
"",,MIANI T.C.,263040204,-,-,,415,0,415,,,
"",,MIANI T.C.,263040205,-,-,,524,0,524,,,
168 Total,,,,-,-,-,1467,0,1467,3,0,3
304,"GOVERNMENT BOYS HIGH SCHOOL,MIANI (FEMALE) (P)",MIANI T.C.,263040203,-,-,,0,459,459,0,3,3
"",,MIANI T.C.,263040204,-,-,,0,339,339,,,
"",,MIANI T.C.,263040205,-,-,,0,425,425,,,
169 Total,,,,-,-,-,0,1223,1223,0,3,3
305,"GOVERNMENT BOYS  DEGREECOLLEGE BHERA ROAD, MIANI (MALE)(P)",MIANI T.C.,263040301,-,-,,507,0,507,2,0,2
"",,MIANI T.C.,263040302,-,-,,250,0,250,,,
"",,MIANI T.C.,263040303,-,-,,317,0,317,,,
170 Total,,,,-,-,-,1074,0,1074,2,0,2
306,"COLLEGE BHERA ROAD, MIANI (MALE)(P)",MIANI T.C.,263040305,-,-,,311,0,311,2,0,2
"",,MIANI T.C.,263040306,-,-,,402,0,402,,,
171 Total,,,,-,-,-,1062,0,1062,2,0,2
307,"GOVERNMENT BOYS DEGREE COLLEGEBHERA ROAD, MIANI (FEMALE) (P)",MIANI T.C.,263040301,-,-,,0,441,441,0,4,4
"",,MIANI T.C.,263040302,-,-,,0,198,198,,,
"",,MIANI T.C.,263040303,-,-,,0,241,241,,,
"",,MIANI T.C.,263040304,-,-,,0,314,314,,,
"",,MIANI T.C.,263040305,-,-,,0,268,268,,,
"",,MIANI T.C.,263040306,-,-,,0,317,317,,,
172 Total,,,,-,-,-,0,1779,1779,0,4,4
"",Sr. No.,No. and Name of Polling Station,In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson the electoralroll in caseelectoral area is",,Number of polling  booths,,,,,,
"",,,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
"",1,2,3,4,5,6,7,8,9,10,11,12,13
"",1,"GOVERNMENT  BOYS MIDDLE SCHOOLCHAK 4/SB (MALE) (P)",CHAK NO 004/SB,135010101,-,-,,745,0,745,3,0,3
"",,,CHAK NO 004/SB,135010102,-,-,,565,0,565,,,
"",1 Total,,,,-,-,-,1310,0,1310,3,0,3
"",2,"GOVERNMENT GIRLS MIDDLE SCHOOLCHAK 4/SB (FEMALE)  (P)",CHAK NO 004/SB,135010101,-,-,,0,658,658,0,2,2
"",,,CHAK NO 004/SB,135010102,-,-,,0,468,468,,,
"",2 Total,,,,-,-,-,0,1126,1126,0,2,2
"",3,"GOVERNMENT BOYS PRIMARYSCHOOL CHAK  NO.5 SB (T)",CHAK NO 005/SB,135010103,-,-,,754,642,1396,2,1,3
"",3 Total,,,,-,-,-,754,642,1396,2,1,3
"",4,"GOVERNMENT GIRLS COMMUNITYMODAL SCHOOL CHAK NO.5 SB (P)",CHAK NO 005/SB,135010104,-,-,,609,486,1095,2,2,4
"",,,CHAK NO 005/SB,135010105,-,-,,314,214,528,,,
"",4 Total,,,,-,-,-,923,700,1623,2,2,4
"",5,"GOVERNMENT BOYS PRIMARYSCHOOL CHAK 6 SB (T)",CHAK NO 006/SB,135010106,-,-,,189,0,189,2,0,2
