"",S. No.,Polling Station Name,In case of Rural Areas,In case of Rural Areas,"Sr. No. of Voterson the ElectoralRoll in caseelectoral Roll isburificated","Number of voters assigned topolling station",Number of Polling Booths,,,,,,
"",,,"Name of ElectoralArea","Census BlockCode","Name of ElectoralArea","Census BlockCode","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",
"",,,,,Mujahid Colony,206130404,,266,0,266,,,
"",,,,,Mujahid Colony,206130408,,488,0,488,,,
"",,,,,,TOTAL,,2188,0,2188,,,
"",93,"Govt. Scool for Special Childern CanalRoad (Male)(P)",,,Mujahid Colony,206130305,,352,0,352,3,0,3
"",,,,,Mujahid Colony,206130306,,275,0,275,,,
"",,,,,Mujahid Colony,206130506,,360,0,360,,,
"",,,,,Mujahid Colony,206130307,,117,0,117,,,
"",,,,,Mujahid Colony,206130308,,73,0,73,,,
"",,,,,Mujahid Colony,206130507,,141,0,141,,,
"",,,,,Mujahid Colony,206130505,,217,0,217,,,
"",,,,,,TOTAL,,1535,0,1535,,,
"",94,"Boys Pry. School Allah Abad Colony(Male)(P)",,,Allah Abad,206130501,,410,0,410,1,0,1
"",,,,,"AllahAbad/MurtazaAbad",206130502,,283,0,283,,,
"",,,,,,TOTAL,,693,0,693,,,
"",95,"Girls Pry. School Allah abad Colony(Female)(P)",,,Allah Abad,206130501,,0,317,317,0,1,1
"",,,,,"AllahAbad/MurtazaAbad",206130502,,0,230,230,,,
"",,,,,,TOTAL,,0,547,547,,,
"",96,"Boys High School No. 2 Azeem Abad(Male)(P)",,,Sadiq Town,206120107,,326,0,326,3,0,3
"",,,,,I Block Civel Line,206120201,,699,0,699,,,
"",,,,,Settlite Town,206120202,,453,0,453,,,
"",,,,,Sadiq Town,206120109,,221,0,221,,,
"",,,,,,TOTAL,,1699,0,1699,,,
"",97,"Boys High School No. 2 Azeem Abad(Male)(P)",,,Dogar Markeet,206120105,,744,0,744,2,0,2
"",,,,,Green Town,206120106,,314,0,314,,,
"",,,,,,TOTAL,,1058,0,1058,,,
"",98,"Boys High School No. 2 Azeem Abad(Male)(P)",,,Shah Faisal Colony,206120103,,367,0,367,2,0,2
"",,,,,Shah Faisal Colony,206120104,,518,0,518,,,
"",,,,,,TOTAL,,885,0,885,,,
"",99,"Girls High School Satellite Town(Female)(P)",,,Sadiq Town,206120107,,0,204,204,0,2,2
"",,I Block Civel Line,206120201,,0,621,621,,,,,,
"",,Settlite Town,206120202,,0,396,396,,,,,,
"",,Sadiq Town,206120109,,0,211,211,,,,,,
"",,,TOTAL,,0,1432,1432,,,,,,
"",,Shah Faisal Colony,206120103,,0,317,317,,,,,,
"",,Shah Faisal Colony,206120104,,0,437,437,,,,,,
"",,Dogar Markeet,206120105,,0,658,658,,,,,,
"",,Green Town,206120106,,0,255,255,,,,,,
"",101,"Girls Elementary School 323/EB(Male)(P)",Chak No. 323/EB,206020208,,,,83,0,83,2,0,2
"",,,Chak No. 323/EB,206020209,,,,679,0,679,,,
"",,,Chak No. 323/EB,206020210,,,,563,0,563,,,
"",,,,TOTAL,,,,1325,0,1325,,,
"",102,"Girls Elementary  School 323/EB(Female)(P)",Chak No. 323/EB,206020208,,,,0,66,455,0,2,2
"",,,Chak No. 323/EB,206020209,,,,0,425,366,,,
"",,,Chak No. 323/EB,206020210,,,,0,387,387,,,
"",,,,TOTAL,,,,0,878,1208,,,
"",103,"Boys H/School 327/EB (Middle(Portion) (Male)(P)",Chak No. 327/EB,206020201,,,,432,0,432,3,0,3
"",,,Chak No. 327/EB,206020202,,,,430,0,430,,,
"",,,Chak No. 327/EB,206020203,,,,525,0,525,,,
"",,,Chak No. 327/EB,206020205,,,,316,0,316,,,
"",,,,TOTAL,,,,1703,0,1703,,,
"",104,Girls High school 327/EB (Female)(P),Chak No. 327/EB,206020201,,,,0,282,282,0,2,2
"",,,Chak No. 327/EB,206020202,,,,0,281,281,,,
"",,,Chak No. 327/EB,206020203,,,,0,374,374,,,
"",,,Chak No. 327/EB,206020205,,,,0,245,245,,,
"",,,,TOTAL,,,,0,1182,1182,,,
"",105,"Boys H/School 327/EB (High(Portion(P)",Chak No. 327/EB,206020204,,,,625,463,1088,1,1,2
"",,,,TOTAL,,,,,,,,,
"",106,Boys Middle School 325/EB(P),Chak No. 325/EB,206020206,,,,727,499,1226,2,1,3
"",,,Chak No. 325/EB,206020207,,,,330,210,540,,,
"",,,,TOTAL,,,,1057,709,1766,,,
"",107,Boys Middle School 463/EB(P),Chak No. 449/EB,206010301,,,,36,18,54,1,1,2
"",,,Chak No. 447/EB,206010401,,,,66,52,118,,,
"",,,Chak No. 463/EB,2  0  6  0  1  0   4  0  6,,,,439,291,730,,,
"",,,,TOTAL,,,,541,361,902,,,
"",108,Boys Middle School 463/EB(P),Chak No. 463/EB,2  0  6  0  1  0   4  0  4,,,,210,135,345,1,1,2
"",,,Chak No. 463/EB,2  0  6  0  1  0   4  0  5,,,,471,368,839,,,
"",,,,TOTAL,,,,681,503,1184,,,
"",109,Girls High School 303/EB (Male)(P),Chak No. 303/EB,206020103,,,,587,0,587,2,0,2
"",,,Chak No. 303/EB,206020104,,,,377,0,377,,,
"",,,Chak No. 303/EB,206020105,,,,566,0,566,,,
"",,,,TOTAL,,,,1530,0,1530,,,
"",110,Boys High School 303/EB (Female)(P),Chak No. 303/EB,206020103,,,,0,491,491,0,2,2
"",,,Chak No. 303/EB,206020104,,,,0,268,268,,,
"",,,Chak No. 303/EB,206020105,,,,0,454,454,,,
"",,,,TOTAL,,,,0,1213,1213,,,
"",111,"Govt. Community Model School303/EB(P)",Chak No. 303/EB,206020102,,,,685,482,1167,1,1,2
"",,,,TOTAL,,,,685,482,1167,,,
"",112,Boys Pry. School 301/EB(P),Chak No. 301/EB,206020106,,,,378,225,603,2,1,3
Chak No. 301/EB,206020107,,,,575,373,948,,,,,,
"",TOTAL,,,,953,598,1551,,,,,,
Chak No. 435/EB,206010103,,,,263,0,263,,,,,,
Chak No. 435/EB,206010107,,,,74,0,74,,,,,,
"",114,"Girls  Pry School, 435/EB(P)",Chak No. 435/EB,206010104,,,,436,294,730,2,1,3
"",,,Chak No. 435/EB,206010105,,,,253,178,431,,,
"",,,Chak No. 435/EB,206010106,,,,322,255,577,,,
"",,,,TOTAL,,,,1011,727,1738,,,
"",115,"Girls Elementary. School 435/EB(Female)(P)",Chak No. 435/EB,206010103,,,,0,204,204,0,1,1
"",,,Chak No. 435/EB,206010107,,,,0,66,66,,,
"",,,,TOTAL,,,,0,270,270,,,
"",116,SDO Canal Office 443/EB (P),Chak No. 443/EB,206010101,,,,422,336,758,2,1,3
"",,,Chak No. 443/EB,206010102,,,,432,312,744,,,
"",,,,TOTAL,,,,854,648,1502,,,
"",117,Boys Pry. School 459/EB(P),Chak No. 459/EB,206010402,,,,586,410,996,1,1,2
"",,,Chak No. 459/EB,206010403,,,,81,50,131,,,
"",,,,TOTAL,,,,667,460,1127,,,
"",118,Boys Middle School 461/EB (Male)(P),Chak No. 461/EB,206010409,,,,277,0,277,2,0,2
"",,,Chak No. 461/EB,206010410,,,,332,0,332,,,
"",,,Chak No. 461/EB,206010411,,,,288,0,288,,,
"",,,,TOTAL,,,,897,0,897,,,
"",119,Boys Middle School 461/EB (Male)(P),Chak No. 461/EB,206010407,,,,492,0,492,2,0,2
"",,,Chak No. 461/EB,206010408,,,,631,0,631,,,
"",,,,TOTAL,,,,1123,0,1123,,,
"",120,Girls Pry. School 461/EB (Female)(P),Chak No. 461/EB,206010407,,,,0,367,367,0,2,2
"",,,Chak No. 461/EB,206010408,,,,0,476,476,,,
"",,,Chak No. 461/EB,206010409,,,,0,219,219,,,
"",,,Chak No. 461/EB,206010410,,,,0,236,236,,,
"",,,Chak No. 461/EB,206010411,,,,0,228,228,,,
"",,,,TOTAL,,,,0,1526,1526,,,
"",121,Girls Middle School 261/EB (Male)(P),Chak No. 261/EB,206010210,,,,898,0,898,3,0,3
"",,,Chak No. 261/EB,206010211,,,,210,0,210,,,
"",,,Chak No. 261/EB,206010212,,,,295,0,295,,,
"",,,Chak No. 261/EB,206010213,,,,298,0,298,,,
"",,,,TOTAL,,,,1701,0,1701,,,
"",122,"Boys Elementary School 261/EB(Female)(P)",Chak No. 261/EB,206010210,,,,0,657,657,0,2,2
"",,,Chak No. 261/EB,206010211,,,,0,184,184,,,
"",,,Chak No. 261/EB,206010212,,,,0,248,248,,,
"",,,Chak No. 261/EB,206010213,,,,0,171,171,,,
"",,,,TOTAL,,,,0,1260,1260,,,
"",123,Boys Pry. School 263/EB(P),Chak No. 263/EB,206010201,,,,549,469,1018,2,2,4
Chak No. 263/EB,206010202,,,,278,293,571,,,,,,
"",206010203,,,,151,86,237,,,,,,
"",TOTAL,,,978,848,1826,,,,,,,
Chak No. 495/EB,206020605,,,,377,0,377,,,,,,
Chak No. 495/EB,206020606,,,,716,0,716,,,,,,
Chak No. 495/EB,206020607,,,,321,0,321,,,,,,
Chak No. 495/EB,206020608,,,,388,0,388,,,,,,
"",125,Boys High School 495/EB (Female)(P),Chak No. 495/EB,206020605,,,,0,296,296,0,2,2
"",,,Chak No. 495/EB,206020606,,,,0,586,586,,,
"",,,Chak No. 495/EB,206020607,,,,0,231,231,,,
"",,,Chak No. 495/EB,206020608,,,,0,270,270,,,
"",,,,TOTAL,,,,0,1383,1383,,,
"",126,Boys Pry. School 493/EB (Male)(P),Chak No. 493/EB,206020601,,,,363,0,363,2,0,2
"",,,Chak No. 493/EB,206020602,,,,207,0,207,,,
"",,,Chak No. 493/EB,206020603,,,,207,0,207,,,
"",,,Chak No. 493/EB,206020604,,,,301,0,301,,,
"",,,,TOTAL,,,,1078,0,1078,,,
"",127,Boys Pry. School 493/EB (Female)(P),Chak No. 493/EB,206020601,,,,0,228,228,0,1,1
"",,,Chak No. 493/EB,206020602,,,,0,145,145,,,
"",,,Chak No. 493/EB,206020603,,,,0,152,152,,,
"",,,Chak No. 493/EB,206020604,,,,0,191,191,,,
"",,,,TOTAL,,,,0,716,716,,,
"",128,Boys Pry. School 469/EB (Male),Chak No. 469/EB,206020401,,,,322,0,322,3,0,3
"",,,Chak No. 469/EB,206020402,,,,489,0,489,,,
"",,,Chak No. 469/EB,206020403,,,,320,0,320,,,
"",,,Chak No. 465/EB,206020406,,,,386,0,386,,,
"",,,Chak No. 467/EB,206020407,,,,144,0,144,,,
"",,,,TOTAL,,,,1661,0,1661,,,
"",129,"Girls Community Model Pry. School469/EB (Female)(P)",Chak No. 469/EB,206020401,,,,0,240,240,0,2,2
"",,,Chak No. 469/EB,206020402,,,,0,308,308,,,
"",,,Chak No. 469/EB,206020403,,,,0,223,223,,,
"",,,Chak No. 465/EB,206020406,,,,0,288,288,,,
"",,,Chak No. 467/EB,206020407,,,,0,114,114,,,
"",,,,TOTAL,,,,0,1173,1173,,,
"",130,Girls Elementary. School 471/EB(P),Chak No. 471/EB,206020404,,,,714,556,1270,2,1,3
"",,,Chak No. 471/EB,206020405,,,,281,188,469,,,
"",,,,TOTAL,,,,995,744,1739,,,
"",131,Girls High School 329/EB(P),Chak No. 329/EB,206020302,,,,181,114,295,1,1,2
"",,,Chak No. 329/EB,206020303,,,,261,181,442,,,
"",,,,TOTAL,,,,442,295,737,,,
"",132,Girls High School 329/EB(P),Chak No. 329/EB,206020301,,,,718,493,1211,1,1,2
"",,,,TOTAL,,,,718,493,1211,,,
"",133,Girls High. School 331/EB (Male)(P),Chak No. 331/EB,2  0  6  0  2  0   3  0  4,,,,726,0,726,2,0,2
"",,,Chak No. 331/EB,2  0  6  0  2  0   3  0  5,,,,474,0,474,,,
"",,,Chak No. 337/EB,206020306,,,,356,0,356,,,
"",,,,TOTAL,,,,1556,0,1556,,,
"",134,Boys High School 331/EB (Female)(P),Chak No. 331/EB,2  0  6  0  2  0   3  0  4,,,,0,543,543,0,2,2
Chak No. 331/EB,2  0  6  0  2  0   3  0  5,,,,0,373,373,,,,,,
Chak No. 337/EB,206020306,,,,0,227,227,,,,,,
"",TOTAL,,,,0,1143,1143,,,,,,
Chak No. 259/EB,206010204,,,,807,0,807,,,,,,
Chak No. 259/EB,206010205,,,,690,0,690,,,,,,
Chak No. 259/EB,206010206,,,,289,0,289,,,,,,
"",136,"Boys Middle School 259/EB (Pry.Portion) (Female)(P)",Chak No. 259/EB,206010207,,,,327,281,608,1,1,2
"",,,Chak No. 259/EB,206010214,,,,126,86,212,,,
"",,,,TOTAL,,,,453,367,820,,,
"",137,"Boys Middle School 259/EB (Pry.Portion) (Female)(P)",Chak No. 259/EB,206010208,,,,378,301,679,1,1,2
"",,,Chak No. 259/EB,206010209,,,,252,176,428,,,
"",,,,TOTAL,,,,630,477,1107,,,
"",138,"Girls Community Model Pry Schol,259/EB (Female)(P)",Chak No. 259/EB,206010204,,,,0,630,630,0,2,2
"",,,Chak No. 259/EB,206010205,,,,0,550,550,,,
"",,,Chak No. 259/EB,206010206,,,,0,227,227,,,
"",,,,TOTAL,,,,0,1407,1407,,,
"",139,Girls Middle. School 335/EB(P),Chak No. 335/EB,206020307,,,,378,271,649,1,1,2
"",,,Chak No. 335/EB,206020308,,,,227,135,362,,,
"",,,,TOTAL,,,,605,406,1011,,,
"",140,Girls Middle. School 489/EB(P),Chak No. 489/EB,206020505,,,,207,140,347,1,1,2
"",,,Chak No. 489/EB,206020506,,,,135,98,233,,,
"",,,Chak No. 489/EB,206020507,,,,275,194,469,,,
"",,,,TOTAL,,,,617,432,1049,,,
"",141,Boys Pry. School 491/EB(P),Chak No. 491/EB,206020501,,,,356,248,604,2,1,3
"",,,Chak No. 491/EB,206020502,,,,196,150,346,,,
"",,,Chak No. 491/EB,206020503,,,,239,152,391,,,
"",,,Chak No. 491/EB,206020504,,,,217,157,374,,,
"",,,,TOTAL,,,,1008,707,1715,,,
"",142,U. C. Office 305/EB(P),Chak No. 305/EB,206020101,,,,783,558,1341,1,1,2
"",,,,TOTAL,,,,783,558,1341,,,
"",143,"Govt Model  pry School 257/EB(Male)(P)",Chak No. 257/EB,206070807,,,,651,0,651,2,0,2
"",,,Chak No. 257/EB,206070808,,,,561,0,561,,,
"",,,,TOTAL,,,,1212,0,1212,,,
"",144,"Govt Model  pry School 257/EB(Female)(P)",Chak No. 257/EB,206070807,,,,0,542,542,0,2,2
"",,,Chak No. 257/EB,206070808,,,,0,506,506,,,
"",,,,TOTAL,,,,0,1048,1048,,,
"",145,"Govt. High School 253/EB MiddlePortion (Male)(P)",Chak No. 253/EB,206070809,,,,680,0,680,2,0,2
"",,,Chak No. 253/EB,206070810,,,,518,0,518,,,
"",,,Chak No. 253/EB,206070811,,,,214,0,214,,,
"",,,,TOTAL,,,,1412,0,1412,,,
"",146,"Boys high School 253/EB Pry. Portion(Female)(P)",Chak No. 253/EB,206070809,,,,0,567,567,0,2,2
Chak No. 253/EB,206070810,,,,0,443,443,,,,,,
Chak No. 253/EB,206070811,,,,0,175,175,,,,,,
"",TOTAL,,,,0,1185,1185,,,,,,
Chak No. 255/EB,206070803,,,,495,0,495,,,,,,
Chak No. 255/EB,206070804,,,,368,0,368,,,,,,
Chak No. 255/EB,206070805,,,,113,0,113,,,,,,
Chak No. 255/EB,206070806,,,,455,0,455,,,,,,
"",148,"Girls High School 255/EB MiddlePortion (Female)(P)",Chak No. 255/EB,206070803,,,,0,404,404,0,2,2
"",,,Chak No. 255/EB,206070804,,,,0,362,362,,,
"",,,Chak No. 255/EB,206070805,,,,0,97,97,,,
"",,,Chak No. 255/EB,206070806,,,,0,392,392,,,
"",,,,TOTAL,,,,0,1255,1255,,,
"",149,Boys High School 255/EB(P),Chak No. 255/EB,206070801,,,,884,660,1544,2,2,4
"",,,Chak No. 255/EB,206070802,,,,196,145,341,,,
"",,,,TOTAL,,,,1080,805,1885,,,
"",150,Boys High School 505/EB (Male)(P),505/EB,206060901,,,,808,0,808,2,0,2
"",,,505/EB,206060902,,,,463,0,463,,,
"",,,505/EB,206060903,,,,325,0,325,,,
"",,,,TOTAL,,,,1596,0,1596,,,
"",151,Boys High School 505/EB (Male)(P),505/EB,206060904,,,,317,307,624,1,1,2
"",,,505/EB,206060905,,,,124,90,214,,,
"",,,505/EB,206060906,,,,17,7,24,,,
"",,,505/EB,206060907,,,,273,229,502,,,
"",,,,TOTAL,,,,731,633,1364,,,
"",152,Girls High School 505/EB Female)(P),505/EB,206060901,,,,0,617,617,0,2,2
"",,,505/EB,206060902,,,,0,348,348,,,
"",,,505/EB,206060903,,,,0,276,276,,,
"",,,,TOTAL,,,,0,1241,1241,,,
"",153,Govt. Girls Pry. School 517/EB(P),517/EB,206060908,,,,591,508,1099,2,1,3
"",,,517/EB,206060909,,,,238,157,395,,,
"",,,,TOTAL,,,,829,665,1494,,,
"",154,Girls Pry. School 451/EB (Male)(P),451/EB,206061301,,,,1190,0,1190,3,0,3
"",,,451/EB,206061302,,,,89,0,89,,,
"",,,451/EB,206061303,,,,353,0,353,,,
"",,,,TOTAL,,,,1632,0,1632,,,
"",155,Boys Pry. School 451/EB (Female)(P),451/EB,206061301,,,,0,878,878,0,2,2
"",,,451/EB,206061302,,,,0,87,87,,,
"",,,451/EB,206061303,,,,0,250,250,,,
"",,,,TOTAL,,,,0,1215,1215,,,
"",156,Girls Middle School 453/EB(P),453/EB,206061201,,,,554,0,554,3,0,3
453/EB,206061202,,,,211,0,211,,,,,,
453/EB,206061203,,,,588,0,588,,,,,,
453/EB,206061204,,,,298,0,298,,,,,,
453/EB,206061205,,,,89,0,89,,,,,,
"",TOTAL,,,,1740,0,1740,,,,,,
453/EB,206061201,,,,0,367,367,,,,,,
453/EB,206061202,,,,0,208,208,,,,,,
453/EB,206061203,,,,0,350,350,,,,,,
453/EB,206061204,,,,0,246,246,,,,,,
453/EB,206061205,,,,0,63,63,,,,,,
"",158,Boys High School 455/EB (Male)(P),455/EB,206061206,,,,251,0,251,2,0,2
"",,,455/EB,206061207,,,,76,0,76,,,
"",,,455/EB,206061208,,,,343,0,343,,,
"",,,455/EB,206061209,,,,455,0,455,,,
"",,,455/EB,206061210,,,,270,0,270,,,
"",,,,TOTAL,,,,1395,0,1395,,,
"",159,Girls Pry. School 455/EB (Female)(P),455/EB,206061206,,,,0,184,184,0,2,2
"",,,455/EB,206061207,,,,0,58,58,,,
"",,,455/EB,206061208,,,,0,246,246,,,
"",,,455/EB,206061209,,,,0,371,371,,,
"",,,455/EB,206061210,,,,0,185,185,,,
"",,,,TOTAL,,,,0,1044,1044,,,
"",160,Boys Pry. School 457/EB (Male)(P),457/EB,206061304,,,,550,0,550,2,0,2
"",,,457/EB,206061305,,,,392,0,392,,,
"",,,457/EB,206061306,,,,502,0,502,,,
"",,,,TOTAL,,,,1444,0,1444,,,
"",161,"Girls Elementary. School 457/EB(Female)(P)",457/EB,206061304,,,,0,480,480,0,2,2
"",,,457/EB,206061305,,,,0,259,259,,,
"",,,457/EB,206061306,,,,0,440,440,,,
"",,,,TOTAL,,,,0,1179,1179,,,
"",162,"Boys Higher Secondary School 187/EB(High Block) (Male)(P)",Chak No. 187/EB,206070101,,,,347,0,347,3,0,3
"",,,Chak No. 187/EB,206070102,,,,500,0,500,,,
"",,,Chak No. 187/EB,206070103,,,,419,0,419,,,
"",,,Chak No. 187/EB,206070104,,,,455,0,455,,,
"",,,,TOTAL,,,,1721,0,1721,,,
"",163,"Boys Higher Secondary School 187/EB(Middle Block) Male(P)",Chak No. 187/EB,206070105,,,,589,0,589,2,0,2
"",,,Chak No. 187/EB,206070106,,,,513,0,513,,,
"",,,Chak No. 187/EB,206070109,,,,213,0,213,,,
"",,,Chak No. 187/EB,206070110,,,,193,0,193,,,
"",,,,TOTAL,,,,1508,0,1508,,,
"",164,"Boys Higher Secondary School 187/EB(Secondary Block) (Male)(P)",Chak No. 187/EB,206070107,,,,586,0,586,2,0,2
"",,,Chak No. 187/EB,206070108,,,,539,0,539,,,
"",,,,TOTAL,,,,1125,0,1125,,,
"",165,"Girls Higher Secondary School 187/EB(High Block) (Female)(P)",Chak No. 187/EB,206070101,,,,0,261,261,0,2,2
"",,,Chak No. 187/EB,206070102,,,,0,366,366,,,
"",,,Chak No. 187/EB,206070103,,,,0,329,329,,,
"",,,Chak No. 187/EB,206070104,,,,0,362,362,,,
"",,,,TOTAL,,,,0,1318,1318,,,
"",166,"Girls Higher Secondary School 187/EB(Secondary Block) (Female)(P)",Chak No. 187/EB,206070105,,,,0,481,481,0,2,2
Chak No. 187/EB,206070106,,,,0,432,432,,,,,,
Chak No. 187/EB,206070109,,,,0,159,159,,,,,,
Chak No. 187/EB,206070110,,,,0,120,120,,,,,,
"",TOTAL,,,,0,1192,1192,,,,,,
Chak No. 187/EB,206070107,,,,0,496,496,,,,,,
Chak No. 187/EB,206070108,,,,0,499,499,,,,,,
"",168,"Girls Pry. School, 189/EB(P)",Chak No. 189/EB,206070301,,,,467,334,801,2,1,3
"",,,Chak No. 189/EB,206070302,,,,348,230,578,,,
"",,,,TOTAL,,,,815,564,1379,,,
"",169,"Girls Community Model Pry. School,191/EB(P)",Chak No. 191/EB,206070303,,,,379,263,642,2,1,3
"",,,Chak No. 191/EB,206070304,,,,421,334,755,,,
"",,,,TOTAL,,,,800,597,1397,,,
"",170,"Boys Elementary. School, 193/EB(Male)(P)",Chak No. 193/EB,206070201,,,,360,0,360,2,0,2
"",,,Chak No. 193/EB,206070202,,,,665,0,665,,,
"",,,Chak No. 193/EB,206070203,,,,332,0,332,,,
"",,,,TOTAL,,,,1357,0,1357,,,
"",171,"Boys Elementary. School, 193/EB(Female)(P)",Chak No. 193/EB,206070201,,,,0,268,268,0,2,2
"",,,Chak No. 193/EB,206070202,,,,0,469,469,,,
"",,,Chak No. 193/EB,206070203,,,,0,252,252,,,
"",,,,TOTAL,,,,0,989,989,,,
"",172,"Boys Pry. School, 195/EB (Male)(P)",Chak No. 195/EB,206070204,,,,782,0,782,2,0,2
"",,,Chak No. 195/EB,206070205,,,,353,0,353,,,
"",,,Chak No. 195/EB,206070206,,,,433,0,433,,,
"",,,,TOTAL,,,,1568,0,1568,,,
"",173,"Girls Pry. School, 195/EB (Female)(P)",Chak No. 195/EB,206070204,,,,0,580,580,0,2,2
"",,,Chak No. 195/EB,206070205,,,,0,269,269,,,
"",,,Chak No. 195/EB,206070206,,,,0,360,360,,,
"",,,,TOTAL,,,,0,1209,1209,,,
"",174,"Boys High School, 197/EB (Male)(P)",Chak No. 197/EB,206070305,,,,592,0,592,2,0,2
"",,,Chak No. 197/EB,206070306,,,,442,0,442,,,
"",,,Chak No. 197/EB,206070307,,,,220,0,220,,,
"",,,,TOTAL,,,,1254,0,1254,,,
"",175,"Girls Elementary. School, 197/EB(Female)(P)",Chak No. 197/EB,206070305,,,,0,463,463,0,2,2
"",,,Chak No. 197/EB,206070306,,,,0,368,368,,,
"",,,Chak No. 197/EB,206070307,,,,0,191,191,,,
"",,,,TOTAL,,,,0,1022,1022,,,
"",176,"Girls Community Model Pry. School,185/EB (Male)(P)",Chak No. 185/EB,206071001,,,,750,0,750,2,0,2
"",,,Chak No. 185/EB,206071002,,,,714,0,714,,,
"",,,,TOTAL,,,,1464,0,1464,,,
"",177,"Boys Pry. School, 185/EB (Female)(P)",Chak No. 185/EB,206071001,,,,0,601,601,0,2,2
"",,,Chak No. 185/EB,206071002,,,,0,550,550,,,
"",,,,TOTAL,,,,0,1151,1151,,,
"",178,"Girls Pry. School, 225/EB(P)",Chak No. 225/EB,206071004,,,,733,608,1341,1,1,2
"",TOTAL,,,,733,608,1341,,,,,,
Chak No. 225/EB,206071003,,,,568,430,998,,,,,,
Chak No. 225/EB,206071005,,,,241,147,388,,,,,,
Chak No. 225/EB,206071010,,,,237,201,438,,,,,,
"",180,"Girls Primary School, BastiMuhammad Pura (Combined)","Chak No. 225/EB,(Basti MuhammadPura)",206071006,,,,477,414,891,2,2,4
"",,,"Chak No. 225/EB,(Basti MuhammadPura)",206071007,,,,526,417,943,,,
"",,,,TOTAL,,,,1003,831,1834,,,
"",181,"Girls Pry. School, 227/EB(P)",Chak No. 227/EB,206071008,,,,646,502,1148,2,1,3
"",,,Chak No. 227/EB,206071009,,,,277,216,493,,,
"",,,,TOTAL,,,,923,718,1641,,,
"",182,"Girls Elementary School, 245/EB(Male)(P)",Chak No. 245/EB,206070901,,,,648,0,648,2,0,2
"",,,Chak No. 245/EB,206070902,,,,460,0,460,,,
"",,,Chak No. 245/EB,206070903,,,,474,0,474,,,
"",,,,TOTAL,,,,1582,0,1582,,,
"",183,"Boys Pry. School, 245/EB (Female)(P)",Chak No. 245/EB,206070901,,,,0,443,443,0,2,2
"",,,Chak No. 245/EB,206070902,,,,0,268,268,,,
"",,,Chak No. 245/EB,206070903,,,,0,296,296,,,
"",,,,TOTAL,,,,0,1007,1007,,,
"",184,"Girls High School 247/EB Pry. Block(Male)(P)",Chak No. 247/EB,206070904,,,,514,0,514,2,0,2
"",,,Chak No. 247/EB,206070905,,,,355,0,355,,,
"",,,,TOTAL,,,,869,0,869,,,
"",185,"Girls High School 247/EB Pry. Block(Male)(P)",Chak No. 247/EB,206070906,,,,471,0,471,2,0,2
"",,,Chak No. 247/EB,206070907,,,,539,0,539,,,
"",,,,TOTAL,,,,1010,0,1010,,,
"",186,"Girls High School 247/EB MiddleBlock (Female)(P)",Chak No. 247/EB,206070904,,,,0,373,373,0,2,2
"",,,Chak No. 247/EB,206070905,,,,0,272,272,,,
"",,,Chak No. 247/EB,206070906,,,,0,314,314,,,
"",,,Chak No. 247/EB,206070907,,,,0,426,426,,,
"",,,,TOTAL,,,,0,1385,1385,,,
"",187,"Boys High School 247/EB Pry. Block(Male)(P)",Chak No. 247/EB,206070908,,,,294,0,294,2,0,2
"",,,Chak No. 247/EB,206070909,,,,522,0,522,,,
"",,,,TOTAL,,,,816,0,816,,,
"",188,"Boys High School 247/EB Pry. Block(Male)(P)",Chak No. 247/EB,206070910,,,,905,0,905,2,0,2
"",,,Chak No. 247/EB,206070911,,,,382,0,382,,,
"",,,,TOTAL,,,,1287,0,1287,,,
"",189,"Boys High School 247/EB MiddleBlock (Female)(P)",Chak No. 247/EB,206070908,,,,0,200,200,0,2,2
"",,,Chak No. 247/EB,206070909,,,,0,363,363,,,
"",,,Chak No. 247/EB,206070910,,,,0,657,657,,,
"",,,Chak No. 247/EB,206070911,,,,0,291,291,,,
"",,,,TOTAL,,,,0,1511,1511,,,
"",190,U. C. Office 223/EB(P),Chak No. 223/EB,206080902,,,,532,412,944,2,1,3
Chak No. 223/EB,206080903,,,,388,270,658,,,,,,
"",TOTAL,,,,920,682,1602,,,,,,
Chak No. 217/EB,206080808,,,,795,613,1408,,,,,,
"",192,"Girls Middle School, 215/EB (Male)(P)",Chak No. 215/EB,206080804,,,,716,0,716,2,0,2
"",,,Chak No. 215/EB,206080805,,,,424,0,424,,,
"",,,Chak No. 215/EB,206080806,,,,163,0,163,,,
"",,,Chak No. 215/EB,206080807,,,,155,0,155,,,
"",,,,TOTAL,,,,1458,0,1458,,,
"",193,"Girls Middle School, 215/EB(Female)(P)",Chak No. 215/EB,206080804,,,,0,555,555,0,2,2
"",,,Chak No. 215/EB,206080805,,,,0,357,357,,,
"",,,Chak No. 215/EB,206080806,,,,0,105,105,,,
"",,,Chak No. 215/EB,206080807,,,,0,120,120,,,
"",,,,TOTAL,,,,0,1137,1137,,,
"",194,Girls Pry. School 179/EB(P),Chak No. 179/EB,206080809,,,,655,365,1020,1,1,2
"",,,,TOTAL,,,,655,365,1020,,,
"",195,"Govt. Elementary  School 213/EB(Male)(P)",Chak No. 213/EB,206080801,,,,582,0,582,2,0,2
"",,,Chak No. 213/EB,206080802,,,,397,0,397,,,
"",,,Chak No. 213/EB,206080803,,,,606,0,606,,,
"",,,,TOTAL,,,,1585,0,1585,,,
