"Sr.No.",No. and Name of the Polling Stations.,In Case of Rural Areas,In Case of Urban Areas,"S.No of Voters onthe Electoral Roll incase Electoral Areais Bifurcated","Number of Votersassigned to PollingStation",No of polling booths,,,,,,
"",,"Name of ElectoralAreas","CensusBlock Code","Name ofElectoral Areas","CensusBlockCode",Male,Female,Total,Male,Female,Total,
Total,,,,,,,455,384,839,1,1,2
110,"Govt Girls Elementry School Mohra BaraHotter",بڑاہوتر,118020509,-,-,,386,331,717,0,0,0
Total,,,,,,,386,331,717,1,1,2
111,"Govt Boys Primary School Lower MeraHotter",بڑاہوتر,118020510,-,-,,445,357,802,0,0,0
Total,,,,,,,445,357,802,1,1,2
112,Govt Boys Primary School Arwari.,ارواڑی,118020511,-,-,,214,179,393,0,0,0
"",,ارواڑی,118020512,-,-,,155,134,289,0,0,0
Total,,,,,,,369,313,682,1,1,2
113,Govt. B. Primary School Bara Hotter Khas.,بڑاہوتر,118020508,-,-,,267,248,515,0,0,0
"",,رکھ بڑا ہوتر,118020522,-,-,,0,0,0,0,0,0
Total,,,,,,,267,248,515,1,1,2
114,Govt Boys High School Phiphril.,پھپھڑیل,118020513,-,-,,317,251,568,0,0,0
"",,پھپھڑیل,118020514,-,-,,130,106,236,0,0,0
"",,پھپھڑیل,118020515,-,-,,187,151,338,0,0,0
"",,رکھ پھپھڑیل,118020523,-,-,,1,2,3,0,0,0
Total,,,,,,,635,510,"1,145",1,1,2
115,Govt Boys Primary School Sumble Bia.,سمبل بیاہ,118020516,-,-,,175,172,347,0,0,0
"",,سمبل بیاہ,118020517,-,-,,169,180,349,0,0,0
"",,سمبل بیاہ,118020525,-,-,,125,118,243,0,0,0
Total,,,,,,,469,470,939,1,1,2
116,Govt Boys Primary School Ghora.,گوہڑہ,118020518,-,-,,475,396,871,0,0,0
"",,گوہڑہ,118020519,-,-,,174,135,309,0,0,0
Total,,,,,,,649,531,"1,180",1,1,2
117,Govt Boys Primary School Sine.,سائن,118020520,-,-,,201,158,359,0,0,0
"",,سائن,118020521,-,-,,275,253,528,0,0,0
Total,,,,,,,476,411,887,1,1,2
118,Govt Girls Primary School Salkheter.,سلکھیتر,118020706,-,-,,527,470,997,0,0,0
"",,سیلہ,118020707,-,-,,16,14,30,0,0,0
"",,رکھ سلکھیتر,118020714,-,-,,0,0,0,0,0,0
Total,,,,,,,543,484,"1,027",1,1,2
119,Govt B. P. School Samli Behramal.,سانمبلی برہ مال,118020612,-,-,,200,166,366,0,0,0
"سانمبلی برہ مال",118020613,-,-,,354,301,655,0,0,0,,
"سانمبلی برہ مال",118020614,-,-,,47,30,77,0,0,0,,
"رکھ کھجٹ",118020619,-,-,,1,0,1,0,0,0,,
"رکھ سانمبلی برہ مل",118020620,-,-,,8,8,16,0,0,0,,
"",,120,,Govt Boys High School Angoori.,,انگوری,,118020701,,-,,-,,,,529,,525,,"1,054",,0,,0,,0,
"",,,,,,جماں,,118020708,,-,,-,,,,256,,191,,447,,0,,0,,0,
"",,,,,,جماں,,118020709,,-,,-,,,,310,,247,,557,,0,,0,,0,
"",,Total,,,,,,,,,,,,,,"1,095",,963,,"2,058",,2,,2,,4,
"",,121,,Govt Boys Primary School Kathar.,,کٹھار,,118020705,,-,,-,,,,435,,379,,814,,0,,0,,0,
"",,,,,,رکھ کٹھار,,118020713,,-,,-,,,,0,,0,,0,,0,,0,,0,
"",,Total,,,,,,,,,,,,,,435,,379,,814,,1,,1,,2,
"",,122,,Govt Boys High School Bhanatti.,,مینگل,,118020801,,-,,-,,,,718,,609,,"1,327",,0,,0,,0,
"",,Total,,,,,,,,,,,,,,718,,609,,"1,327",,2,,1,,3,
"",,123,,Govt Boys High School Chaka Begwal.,,چکہ بیگوال,,118020702,,-,,-,,,,334,,295,,629,,0,,0,,0,
"",,,,,,چکہ بیگوال,,118020703,,-,,-,,,,223,,202,,425,,0,,0,,0,
"",,,,,,چکہ بیگوال,,118020704,,-,,-,,,,305,,251,,556,,0,,0,,0,
"",,,,,,رکھ انگوری,,118020710,,-,,-,,,,0,,0,,0,,0,,0,,0,
"",,,,,,رکھ چکہ بیگوال,,118020711,,-,,-,,,,0,,0,,0,,0,,0,,0,
"",,,,,,رکھ جماں,,118020712,,-,,-,,,,0,,0,,0,,0,,0,,0,
"",,Total,,,,,,,,,,,,,,862,,748,,"1,610",,2,,2,,4,
"",,124,,Govt Boys Primary School Manghal.,,مینگل,,118020802,,-,,-,,,,500,,463,,963,,0,,0,,0,
"",,,,,,رکھ امبانی,,118020803,,-,,-,,,,0,,0,,0,,0,,0,,0,
"",,,,,,رکھ گرتھیاں,,118020804,,-,,-,,,,0,,0,,0,,0,,0,,0,
"",,,,,,چن ریی,,118020807,,-,,-,,,,10,,11,,21,,0,,0,,0,
"",,,,,,گرتھیاں,,118020808,,-,,-,,,,15,,12,,27,,0,,0,,0,
"",,,,,,رکھ مینگل,,118020805,,-,,-,,,,0,,0,,0,,0,,0,,0,
"",,,,,,رکھ ساملی,,118020806,,-,,-,,,,0,,0,,0,,0,,0,,0,
"",,Total,,,,,,,,,,,,,,525,,486,,"1,011",,1,,1,,2,
"",,125,,Govt Boys Primary School Nand Kot.,,نند کوٹ,,118010906,,-,,-,,,,267,,250,,517,,0,,0,,0,
"",,,,,,نند کوٹ,,118010907,,-,,-,,,,194,,135,,329,,0,,0,,0,
"",,,,,,نند کوٹ,,118010908,,-,,-,,,,276,,238,,514,,0,,0,,0,
"",,,,,,رکھ نند کوٹ,,118010917,,-,,-,,,,0,,0,,0,,0,,0,,0,
"",,Total,,,,,,,,,,,,,,737,,623,,"1,360",,2,,1,,3,
"",,126,,"Govt Girls Primary School 22 Mile SaalGarah",,مانگہ,,118011013,,-,,-,,,,375,,320,,695,,0,,0,,0,
"",,,,,,مانگہ,,118011014,,-,,-,,,,183,,144,,327,,0,,0,,0,
"",,,,,,مانگہ,,118011015,,-,,-,,,,290,,207,,497,,0,,0,,0,
"",,Total,,,,,,,,,,,,,,848,,671,,"1,519",,2,,1,,3,
"",,127,,Govt Boys High School Manga.,,مانگہ,,118011016,,-,,-,,,,563,,521,,"1,084",,0,,0,,0,
"",,Total,,,,,,,,,,,,,,563,,521,,"1,084",,1,,1,,2,
"",,128,,Govt Boys High School Manga.,,مانگہ,,118011017,,-,,-,,,,478,,403,,881,,0,,0,,0,
"",,,,,,مانگہ,,118011018,,-,,-,,,,431,,327,,758,,0,,0,,0,
"",,Total,,,,,,,,,,,,,,909,,730,,"1,639",,2,,2,,4,
"",,129,,Govt Boys Primary School Arokas,,آروکس,,118011006,,-,,-,,,,309,,238,,547,,0,,0,,0,
"",آروکس,,118011007,,-,,-,,,,339,,293,,632,,0,,0,,0,,,,,,
130,"Govt. Girls Primary School, Deleh",دلیہ,118011004,-,-,,158,125,283,0,0,0
"",,دلیہ,118011005,-,-,,541,425,966,0,0,0
"",,رکھ دلیہ,118010914,-,-,,0,0,0,0,0,0
Total,,,,,,,699,550,"1,249",1,1,2
131,Govt. Boys Primary School Karloot,کرلوٹ,118011001,-,-,,421,363,784,0,0,0
"",,ہوتراں بے چراغ,118011002,-,-,,7,2,9,0,0,0
"",,بڑوہا,118011003,-,-,,209,136,345,0,0,0
"",,رکھ بڑوہا,118010913,-,-,,0,0,0,0,0,0
"",,رکھ کرلوٹ,118010915,-,-,,0,0,0,0,0,0
Total,,,,,,,637,501,"1,138",1,1,2
132,Govt Boys Primary School Bohar Gran.,سانمبلی تجال,118010901,-,-,,469,420,889,0,0,0
"",,سانمبلی تجال,118010902,-,-,,385,305,690,0,0,0
Total,,,,,,,854,725,"1,579",2,2,4
133,Govt. Boys High School Samli Tajjal.,سانمبلی تجال,118010903,-,-,,243,188,431,0,0,0
"",,سانمبلی تجال,118010904,-,-,,236,164,400,0,0,0
Total,,,,,,,479,352,831,1,1,2
134,Govt. Boys High School Samli Tajjal.,سانمبلی تجال,118010905,-,-,,590,519,"1,109",0,0,0
"",,رکھ خیری باری,118010127,-,-,,0,0,0,0,0,0
Total,,,,,,,590,519,"1,109",1,1,2
135,Union Councal Office Tret,تریٹ,118011008,-,-,,433,307,740,0,0,0
"",,تریٹ,118011009,-,-,,174,133,307,0,0,0
Total,,,,,,,607,440,"1,047",1,1,2
136,Union Councal Office Tret,تریٹ,118011010,-,-,,373,334,707,0,0,0
"",,تریٹ,118011011,-,-,,149,133,282,0,0,0
"",,تریٹ,118011012,-,-,,114,85,199,0,0,0
Total,,,,,,,636,552,"1,188",1,1,2
137,Govt.Boys High School  Manga,مانگہ,118011019,-,-,,65,42,107,0,0,0
"",,رکھ مانگہ,118010916,-,-,,2,0,2,0,0,0
"",,رکھ سالگراں,118010918,-,-,,0,0,0,0,0,0
Total,,,,,,,67,42,109,1,1,2
138,"Govt Boys High School Gulehragali  NewBuilding. (Male)",چارھان,118020301,-,-,,843,0,843,0,0,0
"",,چارھان,118020302,-,-,,388,0,388,0,0,0
"",,چارھان,118020303,-,-,,140,0,140,0,0,0
Total,,,,,,,"1,371",0,"1,371",2,0,2
139,"Govt Boys High School Gulehragali  NewBuilding. (Male)",چارھان,118020304,-,-,,266,0,266,0,0,0
"چارھان",118020322,-,-,,123,0,123,0,0,0,,
"چارھان",118020309,-,-,,197,0,197,0,0,0,,
"چارھان",118020310,-,-,,86,0,86,0,0,0,,
"چارھان",118020311,-,-,,55,0,55,0,0,0,,
"چارھان",118020312,-,-,,131,0,131,0,0,0,,
140,"Govt Boys High School Gulehragali  NewBuilding. (Female)",چارھان,118020301,-,-,,0,717,717,0,0,0
"",,چارھان,118020302,-,-,,0,332,332,0,0,0
"",,چارھان,118020303,-,-,,0,127,127,0,0,0
"",,چارھان,118020304,-,-,,0,237,237,0,0,0
"",,چارھان,118020322,-,-,,0,110,110,0,0,0
"",,چارھان,118020309,-,-,,0,163,163,0,0,0
"",,چارھان,118020310,-,-,,0,68,68,0,0,0
"",,چارھان,118020311,-,-,,0,61,61,0,0,0
"",,چارھان,118020312,-,-,,0,70,70,0,0,0
Total,,,,,,,0,1885,"1,885",0,3,3
141,"Govt Boys High School Gulehragali OldBuilding",چارھان,118020307,-,-,,742,705,"1,447",0,0,0
Total,,,,,,,742,705,"1,447",2,2,4
142,"Govt Boys High School Mohra Saydan.(Male)",چارھان,118020313,-,-,,933,0,933,0,0,0
Total,,,,,,,933,0,933,2,0,2
143,"Govt Boys High School Mohra Saydan.(Male)",پڑہینہ,118020407,-,-,,470,0,470,0,0,0
"",,چارھان,118020314,-,-,,66,0,66,0,0,0
"",,چارھان,118020315,-,-,,444,0,444,0,0,0
Total,,,,,,,980,0,980,2,0,2
144,"Govt Boys High School Mohra Saydan.(Female)",چارھان,118020313,-,-,,0,857,857,0,0,0
"",,پڑہینہ,118020407,-,-,,0,435,435,0,0,0
"",,سنگھ سیری,118020321,-,-,,0,0,0,0,0,0
Total,,,,,,,,1292,1292,0,2,2
145,Govt Girls High School Charhan.,چارھان,118020305,-,-,,477,439,916,0,0,0
"",,رکھ چارھان,118020319,-,-,,0,0,0,0,0,0
Total,,,,,,,477,439,916,1,1,2
146,"Govt Elementry School Bamrot Syedan.(Male)",چارھان,118020306,-,-,,"1,455",0,"1,455",0,0,0
Total,,,,,,,"1,455",0,"1,455",3,0,3
147,"Govt Elementry School Bamrot Syedan.(Female)",چارھان,118020315,-,-,,0,405,405,0,0,0
Total,,,,,,,0,405,405,0,1,1
148,"Govt Elementry School Bamrot Syedan.(Female)",چارھان,118020306,-,-,,0,1438,"1,438",0,0,0
"",,سنگھ سیری,118020321,-,-,,0,0,0,0,0,0
"",,چارھان,118020314,-,-,,0,74,74,0,0,0
Total,,,,,,,,1512,1512,0,3,3
149,"Govt Boys Primary School, Sang Sehri",چارھان,118020316,-,-,,185,175,360,0,0,0
"رکھ بھمروٹ",118020317,-,-,,0,0,0,0,0,0,,
"رکھ بگلہ",118020318,-,-,,0,0,0,0,0,0,,
"رکھ پتریاٹہ",118020320,-,-,,0,0,0,0,0,0,,
150,Govt Boys High School Bun. (Male),پڑہینہ,118020401,-,-,,424,0,424,0,0,0
"",,پڑہینہ,118020402,-,-,,306,0,306,0,0,0
"",,پڑہینہ,118020403,-,-,,563,0,563,0,0,0
Total,,,,,,,"1,293",0,"1,293",2,0,2
151,Govt Boys High School Bun (Female),پڑہینہ,118020401,-,-,,0,386,386,0,0,0
"",,پڑہینہ,118020402,-,-,,0,280,280,0,0,0
"",,پڑہینہ,118020403,-,-,,0,485,485,0,0,0
Total,,,,,,,0,1151,"1,151",0,2,2
152,Govt Boys Primary School Parina.,پڑہینہ,118020404,-,-,,244,242,486,0,0,0
"",,پڑہینہ,118020410,-,-,,317,266,583,0,0,0
"",,پڑہینہ,118020406,-,-,,266,254,520,0,0,0
"",,پڑہینہ,118020411,-,-,,170,158,328,0,0,0
Total,,,,,,,997,920,"1,917",2,2,4
153,Govt Girls Elementry School Sanj.,پڑہینہ,118020405,-,-,,739,620,"1,359",0,0,0
Total,,,,,,,739,620,"1,359",2,1,3
154,Govt Primary School Kamal Abad.,پڑہینہ,118020408,-,-,,211,186,397,0,0,0
Total,,,,,,,211,186,397,1,1,2
155,Govt Elementry School Patriata.,پڑہینہ,118020409,-,-,,450,368,818,0,0,0
Total,,,,,,,450,368,818,1,1,2
156,"Govt Boys Primary School Karl. (Comb)(P)",-,-,درنوئیاں,120020301,,509,457,966,0,0,0
"",,-,-,درنوئیاں,120020304,,102,85,187,0,0,0
"",,-,-,درنوئیاں,120020302,,326,322,648,0,0,0
Total,,,,,,,937,864,"1,801",2,2,4
157,Govt Boys Pri. School Burhad (Male) (P),-,-,برحد,120020106,,579,0,579,0,0,0
"",,-,-,برحد,120020107,,331,0,331,0,0,0
"",,-,-,برحد,120020108,,604,0,604,0,0,0
Total,,,,,,,"1,514",0,"1,514",4,0,4
158,"Govt Boys Primary School Burhad(Female) (P)",-,-,برحد,120020106,,0,539,539,0,0,0
"",,-,-,برحد,120020107,,0,301,301,0,0,0
"",,-,-,برحد,120020108,,0,499,499,0,0,0
Total,,,,,,,0,1339,1339,0,2,2
159,"Govt Boys High School Darnoyan. (Comb)(P)",-,-,درنوئیاں,120020305,,492,459,951,0,0,0
"",,-,-,درنوئیاں,120020306,,467,383,850,0,0,0
Total,,,,,,,959,842,"1,801",2,2,4
"-",-,درنوئیاں,120020303,,816,735,"1,551",0,0,0,,
"-",-,رکھ درنوئیاں,120020307,,0,0,0,0,0,0,,
"رکھ گنواس",120011407,-,-,,0,0,0,0,0,0,,
"رکھ چراہ",120011501,-,-,,0,0,0,0,0,0,,
"رکھ جھلہ",120011502,-,-,,0,0,0,0,0,0,,
"رکھ جنترہ",120011503,-,-,,0,0,0,0,0,0,,
"",,رکھ بھربریاں,120011505,-,-,,0,0,0,0,0,0
"",,رکھ دھلیتر,120011506,-,-,,0,0,0,0,0,0
"",,رکھ دھمنوٹہ,120011507,-,-,,0,0,0,0,0,0
Total,,,,,,,816,735,"1,551",2,2,4
161,Govt Girls Primary School Seri (Comb) (P),دھیر کوٹ ستیاں,120010603,-,-,,333,295,628,0,0,0
Total,,,,,,,333,295,628,1,1,2
162,"Govt. Boys High School,Dir KotSattian.(Comb) (P)",دھیر کوٹ ستیاں,120010602,-,-,,500,449,949,0,0,0
"",,دھیر کوٹ ستیاں,120010601,-,-,,384,338,722,0,0,0
Total,,,,,,,884,787,"1,671",2,2,4
163,"Govt Boys Primary .School Dir KotKhethwalan (Comb) (P)",دھیر کوٹ کیٹھوالاں,120010604,-,-,,294,277,571,0,0,0
"",,دھیر کوٹ کیٹھوالاں,120010605,-,-,,289,278,567,0,0,0
Total,,,,,,,583,555,"1,138",1,1,2
164,"Govt Girls Primary  School Dir KotKhethwalan .(Comb) (P)",دھیر کوٹ کیٹھوالاں,120010606,-,-,,174,148,322,0,0,0
Total,,,,,,,174,148,322,1,1,2
165,"Govt Boys High School Chhlawra.(Comb)(P)",چلاورہ,120010708,-,-,,644,544,"1,188",0,0,0
Total,,,,,,,644,544,"1,188",1,1,2
166,"Govt Boys Primary SchoolDhangran.(Comb) (P)",دھنگراں,120010607,-,-,,289,263,552,0,0,0
"",,دھنگراں,120010608,-,-,,225,211,436,0,0,0
Total,,,,,,,514,474,988,1,1,2
167,"Basic Health Unit Kot Saia Chhalawara(Comb) (P)",چلاورہ,120010707,-,-,,326,287,613,0,0,0
"",,چلاورہ,120010709,-,-,,420,363,783,0,0,0
Total,,,,,,,746,650,"1,396",2,1,3
168,"Govt.Boys Elementary.School Mori Aryari(Comb) (P)",اریاڑی,120010901,-,-,,319,257,576,0,0,0
"",,اریاڑی,120010902,-,-,,212,195,407,0,0,0
"",,اریاڑی,120010903,-,-,,346,297,643,0,0,0
Total,,,,,,,877,749,"1,626",2,2,4
169,"Govt Boys Primary School Dhakian.(Comb) (P)",دکھائن,120011013,-,-,,279,266,545,0,0,0
"",,کرور دکھائن,120011012,-,-,,67,49,116,0,0,0
"",,کرور دھیاری,120011015,-,-,,121,108,229,0,0,0
Total,,,,,,,467,423,890,1,1,2
170,"Govt Girls Primary School MohraMalal.(Comb) (P)",کرور بیسہ,120011011,-,-,,230,219,449,0,0,0
"",,کرور اندریلیاں,120011004,-,-,,261,199,460,0,0,0
"",,باسی انبالی,120011016,-,-,,162,140,302,0,0,0
Total,,,,,,,653,558,"1,211",1,1,2
171,"Govt Boys Primary School Kallan.(Comb)(P)",کلاں بساند,120011006,-,-,,677,612,"1,289",0,0,0
Total,,,,,,,677,612,"1,289",1,1,2
"کاہنی بھلہڑی",120011007,-,-,,232,210,442,0,0,0,,
Total,,,,,,,475,447,922,1,1,2
173,"Forest Rest House  Near Police ChokeeKaror (Comb) (P)",رکھ چاہواں,120011014,-,-,,0,0,0,0,0,0
"",,اریاڑی,120010907,-,-,,45,47,92,0,0,0
Total,,,,,,,0,0,0,1,1,2
174,"Govt. Boys High School, Sorba(Comb) (P)",اریاڑی,120010909,-,-,,574,504,"1,078",0,0,0
Total,,,,,,,574,504,"1,078",1,1,2
175,"Govt. Boys Primary School, Nania(Comb)(P)",کلاں بساند,120011008,-,-,,249,217,466,0,0,0
"",,کلاں بساند,120011009,-,-,,448,416,864,0,0,0
Total,,,,,,,697,633,"1,330",1,1,2
176,"Govt. Boys Primary School, Nania(Comb)(P)",رکھ اریاڑی چاہواں,120010911,-,-,,424,420,844,0,0,0
"",,رکھ اریاڑی,120010912,-,-,,0,0,0,0,0,0
"",,اریاڑی سربا,120010910,-,-,,339,320,659,0,0,0
Total,,,,,,,763,740,"1,503",1,1,2
177,"Govt Boys Primary School SelaSaydian.(Comb) (P)",کرور سیلہ سیداں,120011005,-,-,,311,245,556,0,0,0
"",,باسی انبالی,120011016,-,-,,162,140,302,0,0,0
Total,,,,,,,473,385,858,1,1,2
178,"Govt. Boys Primary School, Aryari(Comb)(P)",اریاڑی,120010906,-,-,,638,519,"1,157",0,0,0
Total,,,,,,,638,519,"1,157",1,1,2
179,Govt Girls High School Karor (Male) (P),کرور,120011001,-,-,,65,0,65,0,0,0
"",,کرور,120011002,-,-,,887,0,887,0,0,0
"",,کرور زیریں,120011003,-,-,,644,0,644,0,0,0
Total,,,,,,,"1,596",0,"1,596",4,0,4
180,Govt Girls High School Karor (Female) (P),کرور,120011002,-,-,,0,799,799,0,0,0
"",,کرور زیریں,120011003,-,-,,0,595,595,0,0,0
"",,کرور,120011001,-,-,,0,78,78,0,0,0
Total,,,,,,,0,1472,1472,0,3,3
181,G.B. Primary School Bani Sari. (Comb) (P),اریاڑی,120010908,-,-,,278,244,522,0,0,0
Total,,,,,,,278,244,522,1,1,2
182,"Govt.Girls  Pry   School,  Arriary (Comb)(P)",اریاڑی,120010905,-,-,,347,302,649,0,0,0
"",,اریاڑی سلور,120010904,-,-,,519,452,971,0,0,0
Total,,,,,,,866,754,"1,620",2,2,4
183,"Govt Girls Elementary School Bhaia(Comb) (P)",بھن,120010503,-,-,,419,390,809,0,0,0
"",,بھن,120010504,-,-,,389,363,752,0,0,0
"",,بھن,120010505,-,-,,223,215,438,0,0,0
Total,,,,,,,"1,031",968,"1,999",2,2,4
"انوالی",120010201,-,-,,719,0,719,0,0,0,,
"انوالی",120010202,-,-,,483,0,483,0,0,0,,
Total,,,,,,,"1,707",0,"1,707",4,0,4
185,"Govt Boys High School Anwali (Female)(P)",انوالی,120010201,-,-,,0,665,665,0,0,0
"",,انوالی,120010202,-,-,,0,469,469,0,0,0
"",,انوالی,120010203,-,-,,0,403,403,0,0,0
Total,,,,,,,0,1537,"1,537",0,4,4
186,"Govt Boys Primary School SanthSaroola.(Comb) (P)",سانٹھ سرولہ,120010304,-,-,,617,589,"1,206",0,0,0
Total,,,,,,,617,589,"1,206",1,1,2
187,"Govt Girls Middle School Khutian.(Comb)(P)",کٹھیاں,120010303,-,-,,723,650,"1,373",0,0,0
Total,,,,,,,723,650,"1,373",2,1,3
188,"Govt Boys Primary School KorinaKalan.(Comb) (P)",کورینہ کلاں,120010301,-,-,,531,458,989,0,0,0
Total,,,,,,,531,458,989,1,1,2
189,"Govt Boys Primary School KorinaKalan.(Comb) (P)",کورینہ کلاں,120010302,-,-,,536,472,"1,008",0,0,0
Total,,,,,,,536,472,"1,008",1,1,2
190,"G. Higher  Seccondary School KotliSattian.(Comb)",-,-,درنوئیاں,120020303,,816,735,"1,551",0,0,0
Total,,,,,,,816,735,"1,551",2,2,4
191,"G. Higher  Seccondary School KotliSattian.(Comb)",-,-,اپرکوٹلی,120020102,,500,452,952,0,0,0
Total,,,,,,,500,452,952,1,1,2
192,"Govt Boys Primary SchoolPerchhan.(Comb)",-,-,پرچھن کوٹلی,120020104,,427,388,815,0,0,0
Total,,,,,,,427,388,815,1,1,2
193,"Govt Boys Primary SchoolPhofandi.(Comb)",-,-,پھوفنڈی,120020201,,574,520,"1,094",0,0,0
"",,-,-,لوئر کوٹلی,120020103,,981,966,"1,947",,,0
Total,,,,,,,"1,555","1,486","3,041",2,2,4
194,"Govt Boys Primary SchoolBadnian.(Comb)",-,-,بدنیاں,120020105,,578,491,"1,069",0,0,0
"",,-,-,رکھ بلاوڑہ,120020204,,367,362,729,0,0,0
"",,-,-,رکھ کوٹلی,120020101,,0,0,0,0,0,0
"",,رکھ تھون,120010412,-,-,,0,0,0,0,0,0
Total,,,,,,,"1,523",1344,"2,867",2,2,4
195,"Govt Boys Primary SchoolBlarawra.(Comb)",-,-,بلاوڑہ,120020203,,497,437,934,0,0,0
"",,-,-,رکھ بلاوڑہ,120020204,,367,362,729,0,0,0
Total,,,,,,,864,799,"1,663",2,2,4
196,"Govt Boys Primary SchoolSarmandal.(Comb)",-,-,سرمنڈل,120020202,,339,288,627,0,0,0
Total,,,,,,,339,288,627,1,1,2
197,PWD Rest House Lehtrar(Comb),لہتراڑ پائیں,120011206,-,-,,695,595,"1,290",0,0,0
Total,,,,,,,695,595,"1,290",1,1,2
"لہتراڑ بالا",120011201,-,-,,749,0,749,0,0,0,,
Total,,,,,,,"1,201",0,"1,201",3,0,3
199,"Govt Boys Higher Secondary SchoolLehtrar Bala(Female).",لہتراڑ بالا,120011201,-,-,,0,751,751,0,0,0
"",,لہتراڑ بالا,120011202,-,-,,0,405,405,0,0,0
Total,,,,,,,0,1156,1156,0,2,2
200,Govt Boys High School Bagga.(Comb),بگا,120011203,-,-,,536,531,"1,067",0,0,0
Total,,,,,,,536,531,"1,067",1,1,2
201,Govt Boys Elementary School Bail.(Comb),بھانگل,120011107,-,-,,428,405,833,0,0,0
"",,بھانگل,120011108,-,-,,274,240,514,0,0,0
Total,,,,,,,702,645,"1,347",2,1,3
202,"G. G.Primary School KamkotHaider.(Comb)",کمکوٹ حیدر,120011106,-,-,,317,267,584,0,0,0
"",,کمکوٹ حیدر,120011109,-,-,,207,206,413,0,0,0
"",,کمکوٹ پیر بخش,120011105,-,-,,182,163,345,0,0,0
Total,,,,,,,706,636,"1,342",2,1,3
203,Govt Boys High School Biaga.(Comb),بیاگہ,120011101,-,-,,475,452,927,0,0,0
"",,بیاگہ,120011102,-,-,,404,373,777,0,0,0
Total,,,,,,,879,825,"1,704",2,2,4
204,Govt Girls Primary School Sangri. (Comb),سانگڑیاں,120011103,-,-,,630,597,"1,227",0,0,0
Total,,,,,,,630,597,"1,227",1,1,2
205,Govt Boys High School Kahuti.(Comb),سانگڑیاں,120011104,-,-,,402,341,743,0,0,0
Total,,,,,,,402,341,743,1,1,2
206,"Govt Boys Elementary SchoolGhonian.(Comb)",گھنوئیاں,120011205,-,-,,536,477,"1,013",0,0,0
"",,چھینٹ,120011204,-,-,,359,314,673,0,0,0
"",,رکھ چھینٹ,120011207,-,-,,0,0,0,0,0,0
Total,,,,,,,895,791,"1,686",2,2,4
207,"Govt Boys High School MalotSattian.(Comb)",ملوٹ ستیاں,120010102,-,-,,265,252,517,0,0,0
Total,,,,,,,265,252,517,1,1,2
208,"Govt Boys High School MalotSattian.(Comb)",ملوٹ ستیاں,120010104,-,-,,307,321,628,0,0,0
"",,ملوٹ ستیاں,120010105,-,-,,493,463,956,0,0,0
Total,,,,,,,800,784,"1,584",2,2,4
209,"Basic Health Unit  Mirza Pur  MalotSattian. (Comb)",ملوٹ ستیاں,120010103,-,-,,603,579,"1,182",0,0,0
Total,,,,,,,603,579,"1,182",1,1,2
210,"G. Boys Primary School Danga Khaitar.(Comb)",ملوٹ ستیاں,120010109,-,-,,443,415,858,0,0,0
"",,ملوٹ ستیاں,120010110,-,-,,202,180,382,0,0,0
Total,,,,,,,645,595,"1,240",1,1,2
211,Govt Girls Middle School Basi  (Comb),ملوٹ ستیاں,120010107,-,-,,255,225,480,0,0,0
"",,ملوٹ ستیاں,120010108,-,-,,393,317,710,0,0,0
Total,,,,,,,648,542,"1,190",1,1,2
212,G. G. Primary School Kenthola (Comp),ملوٹ ستیاں,120010106,-,-,,373,369,742,0,0,0
213,"Govt  Boys Primary School Emina Chajja(Comb)",ملوٹ ستیاں,120010101,-,-,,407,361,768,0,0,0
Total,,,,,,,407,361,768,1,1,2
214,Govt Girls Primary School Jawa.(Comb),جاوہ,120010204,-,-,,401,380,781,0,0,0
"",,رکھ جاوہ,120010111,-,-,,0,0,0,0,0,0
"",,رکھ دھیر کوٹ,120010205,-,-,,1,2,3,0,0,0
Total,,,,,,,402,382,784,1,1,2
215,Govt Boys High School Waghal.(Comb),وگہل,120010701,-,-,,961,799,"1,760",0,0,0
Total,,,,,,,961,799,"1,760",2,2,4
216,Govt Boys High School Waghal.(Comb),وگہل,120010702,-,-,,354,295,649,0,0,0
Total,,,,,,,354,295,649,1,1,2
217,Govt Boys Priamry School Bial.(Comb),وگہل,120010704,-,-,,480,404,884,0,0,0
"",,وگہل,120010706,-,-,,293,267,560,0,0,0
Total,,,,,,,773,671,"1,444",2,1,3
218,"Govt Boys Higher Secondary SchoolDanda.(Comb)",چھجانہ,120010801,-,-,,344,284,628,0,0,0
"",,چھجانہ,120010811,-,-,,194,203,397,0,0,0
"",,چھجانہ,120010802,-,-,,358,275,633,0,0,0
Total,,,,,,,896,762,"1,658",2,2,4
219,Govt Primary School Chajjana (Comb),چھجانہ,120010804,-,-,,103,104,207,0,0,0
"",,چھجانہ,120010812,-,-,,488,418,906,0,0,0
"",,رکھ چھجانہ,120010809,-,-,,26,13,39,0,0,0
"",,چھجانہ,120010810,-,-,,0,1,1,0,0,0
Total,,,,,,,617,536,"1,153",1,1,2
220,"Govt Boys Primary School Dani Biggal(Comb)",چھجانہ,120010803,-,-,,309,248,557,0,0,0
Total,,,,,,,309,248,557,1,1,2
221,"Govt Boys Primary School BarianPathwara(Comb)",چھجانہ,120010807,-,-,,455,389,844,0,0,0
"",,چھجانہ,120010808,-,-,,208,181,389,0,0,0
Total,,,,,,,663,570,"1,233",1,1,2
