"",1,2,3,4,5,6,7,8,9,10,11,12,13,
93,109,"Girls Higher Secondary School, Lalian",-,-,GIRLS DIGRI COLLEGE LALIAN,255060101,,0,631,631,0,3,3,Female
"",,-,-,GHALLA MANDI LALIAN,255060107,,0,515,515,,,,,
"",,-,-,,,,0,1146,1146,,,,,
93,110,"Government Muhammad Hammad Aziz Shaheed Boys HigherSecondary School, Lalian",-,-,"Government Boys HIGHERSECONDERY SCHOOL LALIAN",255060102,,447,0,447,4,0,4,Male
"-",-,"Government Boys HIGHERSECONDERY SCHOOL LALIAN",255060108,,503,0,503,,,,,,,
"-",-,"Government Boys HIGHERSECONDERY SCHOOL LALIAN",255060109,,164,0,164,,,,,,,
"-",-,"MOHALLAH DOCTOR BASHIRLALIAN",255060103,,435,0,435,,,,,,,
"-",-,"MOHALLAH DOCTOR BASHIRLALIAN",255060110,,177,0,177,,,,,,,
"-",-,,,,1726,0,1726,,,,,,,
"-",-,"Government Boys HIGHERSECONDERY SCHOOL LALIAN",255060102,,0,328,328,,,,,,,
"-",-,"Government Boys HIGHERSECONDERY SCHOOL LALIAN",255060108,,0,478,478,,,,,,,
"",,,-,-,"MOHALLAH DOCTOR BASHIRLALIAN",255060103,,0,376,376,,,,
"",,,-,-,"MOHALLAH DOCTOR BASHIRLALIAN",255060110,,0,114,114,,,,
"",,,-,-,,,,0,1425,1425,,,,
93,112,Government Boys Elementary School No.1 Lalian,-,-,"MOHALLAH KOT MUHAMMADYAR LALIAN",255060104,,695,0,695,3,0,3,Male
"",,,-,-,"MOHALLAH KOT MUHAMMADYAR LALIAN",255060111,,300,0,300,,,,
"",,,-,-,MASTAN WALI MASJID LALIAN,255060105,,446,0,446,,,,
"",,,-,-,MASTAN WALI MASJID LALIAN,255060112,,233,0,233,,,,
"",,,-,-,,,,1674,0,1674,,,,
93,113,Government Girls Primary School No.2 Lalian,-,-,"MOHALLAH KOT MUHAMMADYAR LALIAN",255060104,,0,686,686,0,3,3,Female
"",,,-,-,"MOHALLAH KOT MUHAMMADYAR LALIAN",255060111,,0,224,224,,,,
"",,,-,-,MASTAN WALI MASJID LALIAN,255060105,,0,444,444,,,,
