"Sl.No.","Name & Location ofthe Polling Station","Name of ElectoralArea assigned tothe Polling Station",Census Block in Code Number,"Sr. No. of voters on theElectoral Rolls in case ofbifurcation of Electoral Area","No. of Voters Assigned toPolling Station",No. of Polling Booths,,,,
"",,,,,Male,Female,Total,Male,Female,Total
157,"Allied School Mohallah RehmatPura, Noshera Road Gujranwala(Male)","Gala ShaukatRehmaniNoshehra Road",164280103,,160,0,160,3,0,3
"",,"Chowk NathayWala",164280104,,529,0,529,,,
"",,"Gala ShaukatRehmaniNoshehra Road",164280109,,701,0,701,,,
"",,,,,1390,0,1390,,,
158,"Allied School Mohallah RehmatPura, Noshera Road Gujranwala(Female)","Gala ShaukatRehmaniNoshehra Road",164280103,,0,123,123,0,2,2
"",,"Chowk NathayWala",164280104,,0,393,393,,,
"",,"Gala ShaukatRehmaniNoshehra Road",164280109,,0,465,465,,,
"",,,,,0,981,981,,,
159,"Government Model High SchoolGujranwala (Male)","Gala ShaukatRehmaniNoshehra Road",164280105,,509,0,509,3,0,3
"Chowk MeladMustifa",164280106,,184,0,184,,,,,
"Gala ShaukatRehmaniNoshehra Road",164280110,,219,0,219,,,,,
"Chowk MeladMustifa",164280111,,783,0,783,,,,,
"",,,1695,0,1695,,,,,
"Gala ShaukatRehmaniNoshehra Road",164280105,,0,284,284,,,,,
"Chowk MeladMustifa",164280106,,0,116,116,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,"Gala ShaukatRehmaniNoshehra Road",164280110,,0,230,230,,,
"",,"Chowk MeladMustifa",164280111,,0,662,662,,,
"",,,,,0,1292,1292,,,
161,"Govt.Boys Primary SchoolTariqabad Near Darbar ChuraBurcha Gala Taraanwala KalarAbadi Hafizabad (Male)","Tariq AbadRamzan Pura",164280201,,653,0,653,3,0,3
"",,Tariq Abad,164280202,,644,0,644,,,
"",,Tariq Abad,164280205,,821,0,821,,,
"",,,,,2118,0,2118,,,
162,"Govt.Boys Primary SchoolTariqabad Near Darbar ChuraBurcha Gala Taraanwala KalarAbadi Hafizabad  (Female)","Tariq AbadRamzan Pura",164280201,,0,459,459,0,3,3
"",,Tariq Abad,164280202,,0,427,427,,,
"",,Tariq Abad,164280205,,0,516,516,,,
"",,,,,0,1402,1402,,,
163,"Govt.Girls Primary School StreetNo. 7 Near Gala Taraanwala Moh.Sharifpura Hafizabad Road (Male)","Tariq AbadKhalidColony,Mominpura",164280203,,389,0,389,3,0,3
"",,"Khalid Colony/SharifPura",164280204,,415,0,415,,,
"",,"Khalid Colony/SharifPura",164280206,,57,0,57,,,
"",,"Khalid Colony/SharifPura",164290408,,671,0,671,,,
"",,,,,1532,0,1532,,,
164,"Govt.Girls Primary School StreetNo. 7 Near Gala Taraanwala Moh.Sharifpura Hafizabad Road(Female)","Tariq AbadKhalidColony,Mominpura",164280203,,0,259,259,0,2,2
"Khalid Colony/SharifPura",164280204,,0,238,238,,,,,
"Khalid Colony/SharifPura",164280206,,0,45,45,,,,,
"Khalid Colony/SharifPura",164290408,,0,570,570,,,,,
"",,,0,1112,1112,,,,,
"Wasan PuraUmar colony",164270702,,269,0,269,,,,,
"Wasan PuraUmar colony",164270707,,334,0,334,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,"Usman GhaniColonyNoshehra Road",164280302,,463,0,463,,,
"",,,,,1066,0,1066,,,
166,"OPD Model High SchoolGujranwala (Male)","Rehmat Pura /Sui Gass Road",164280301,,343,0,343,2,0,2
"",,"Rehmat Pura /Sui Gass Road",164280305,,720,0,720,,,
"",,,,,1063,0,1063,,,
167,"OPD Model High SchoolGujranwala  (Female)","Wasan PuraUmar colony",164270702,,0,143,143,0,3,3
"",,"Wasan PuraUmar colony",164270707,,0,270,270,,,
"",,"Rehmat Pura /Sui Gass Road",164280301,,0,247,247,,,
"",,"Usman GhaniColonyNoshehra Road",164280302,,0,330,330,,,
"",,"Rehmat Pura /Sui Gass Road",164280305,,0,525,525,,,
"",,,,,0,1515,1515,,,
168,"Government Boys Primary SchoolNaveed Colony  (Male)","Ramzan puraGhorray ShahRoad",164280303,,507,0,507,3,0,3
"",,"Naveed Colonly/SuigassRoad",164280304,,868,0,868,,,
"",,,,,1375,0,1375,,,
169,"Government Boys Primary SchoolNaveed Colony    (Female)","Ramzan puraGhorray ShahRoad",164280303,,0,362,362,0,2,2
"",,"Naveed Colonly/SuigassRoad",164280304,,0,653,653,,,
"",,,,,0,1015,1015,,,
170,"Raza Public School, MadinaColony, Gujranwala (Male)","Shah RukhColony",164280401,,211,0,211,4,0,4
Naveed Colony,164280402,,338,0,338,,,,,
Naveed Colony,164280403,,363,0,363,,,,,
Siraj Pura,164280404,,323,0,323,,,,,
Siraj Pura,164280406,,710,0,710,,,,,
"",,,1945,0,1945,,,,,
"Shah RukhColony",164280401,,0,147,147,,,,,
Naveed Colony,164280402,,0,223,223,,,,,
Naveed Colony,164280403,,0,273,273,,,,,
Siraj Pura,164280404,,0,227,227,,,,,
Siraj Pura,164280406,,0,459,459,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,,,,0,1329,1329,,,
172,"Government Girls Primary SchoolSharif Shaheed Colony(Combined)","Sharif ShaheedColony",164280405,,949,668,1617,2,2,4
"",,"Sharif ShaheedColony",164280407,,213,145,358,,,
"",,,,,1162,813,1975,,,
173,"Huzaifa Foundation High SchoolAsif Colony (Male)","Asif ColonyMadinaColony",164280501,,585,0,585,4,0,4
"",,Ibrahim Town,164280502,,878,0,878,,,
"",,Ghazi Abad,164280503,,645,0,645,,,
"",,,,,2108,0,2108,,,
174,"Huzaifa Foundation High SchoolAsif Colony  (Female)","Asif ColonyMadinaColony",164280501,,0,413,413,0,3,3
"",,Ibrahim Town,164280502,,0,581,581,,,
"",,Ghazi Abad,164280503,,0,420,420,,,
"",,,,,0,1414,1414,,,
175,"Sa Sardar Grammer High SchoolSharif  Shaheed ColonyGujranwala (Male)",Naveed Colony,164280504,,1111,0,1111,3,0,3
"",,Liaqat Colony,164280505,,180,0,180,,,
"",,Naveed Colony,164280506,,332,0,332,,,
"",,Liaqat Colony,164280507,,213,0,213,,,
"",,,,,1836,0,1836,,,
176,"Sa Sardar Grammer High SchoolSharif  Shaheed ColonyGujranwala  (Female)",Naveed Colony,164280504,,0,701,701,0,2,2
"",,Liaqat Colony,164280505,,0,104,104,,,
"",,Naveed Colony,164280506,,0,329,329,,,
"",,Liaqat Colony,164280507,,0,165,165,,,
"",,,,,0,1299,1299,,,
177,"Allied Public School Abadi LalHussain (Male)","Abadi LalHussain",164280602,,461,0,461,3,0,3
"",,"Abadi LalHussain",164280603,,977,0,977,,,
"",,,,,1438,0,1438,,,
178,"Allied Public School Abadi LalHussain  (Female)","Abadi LalHussain",164280602,,0,333,333,0,2,2
"Abadi LalHussain",164280603,,0,775,775,,,,,
"",,,0,1108,1108,,,,,
"Mubarik ColonyHafizAbad Road",164280604,,639,0,639,,,,,
"Mubarik ColonyHafizAbad Road",164280605,,633,0,633,,,,,
"Mubarik ColonyHafizAbad Road",164280606,,47,0,47,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,"Mubarik ColonyHafizAbad Road",164290409,,279,0,279,,,
"",,,,,1598,0,1598,,,
180,"Govt.Girls High School MubarikColony Near Bazar Kartalian  WalaGali Ghari Wali Hafizabad Road(Female)","Mubarik ColonyHafizAbad Road",164280604,,0,462,462,0,2,2
"",,"Mubarik ColonyHafizAbad Road",164280605,,0,575,575,,,
"",,"Mubarik ColonyHafizAbad Road",164280606,,0,15,15,,,
"",,"Mubarik ColonyHafizAbad Road",164290409,,0,238,238,,,
"",,,,,0,1290,1290,,,
181,"Government Boys Primary SchoolShah Rukh Colony Gala NearQabaristan Kallar Abad HafizabadRoad (Male)","Colony HajiGhulamHussain KalarAbadi",164280701,,1009,0,1009,3,0,3
"",,"Bazar GorrayShahHafizabad Road",164280702,,669,0,669,,,
"",,,,,1678,0,1678,,,
182,"Government Boys Primary SchoolShah Rukh Colony Gala NearQabaristan Kallar Abad HafizabadRoad  (Female)","Colony HajiGhulamHussain KalarAbadi",164280701,,0,758,758,0,2,2
"",,"Bazar GorrayShahHafizabad Road",164280702,,0,504,504,,,
"",,,,,0,1262,1262,,,
183,"Zamzam School Hafizabad RoadGhory Shah (Male)","Kalar AbadiGorray ShahRoad",164280703,,993,0,993,3,0,3
"",,"Gorray Shah /GalaHaroon",164280704,,593,0,593,,,
"",,,,,1586,0,1586,,,
184,"Zamzam School Hafizabad RoadGhory Shah (Female)","Kalar AbadiGorray ShahRoad",164280703,,0,754,754,0,2,2
"Gorray Shah /GalaHaroon",164280704,,0,498,498,,,,,
"",,,0,1252,1252,,,,,
"Gali Garh TalianHafiz Abad Road",164280705,,492,361,853,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,"Khalid colonyHafiz abad road",164280706,,409,305,714,,,
"",,,,,901,666,1567,,,
186,"Government Primary School,Rehman Pura, Gujranwala (Male)","Gali No.2,3MohallahRehman Pura",164290101,,470,0,470,4,0,4
"",,"Gali No.1, 2MohallahRehman Pura",164290102,,367,0,367,,,
"",,"Gali No.2,3Kareem Pura",164290103,,582,0,582,,,
"",,"Gali No.1, 2Kareem Pura",164290104,,746,0,746,,,
"",,,,,2165,0,2165,,,
187,"Government Primary School,Rehman Pura, Gujranwala(Female)","Gali No.2,3MohallahRehman Pura",164290101,,0,342,342,0,3,3
"",,"Gali No.1, 2MohallahRehman Pura",164290102,,0,241,241,,,
"",,"Gali No.2,3Kareem Pura",164290103,,0,459,459,,,
"",,"Gali No.1, 2Kareem Pura",164290104,,0,586,586,,,
"",,,,,0,1628,1628,,,
188,"Bait-Ul-Hikmat Academy, Gala Dr.Maqsood Wala, Rehman Pura(Male)",Rehman Pura,164290201,,313,0,313,4,0,4
"",,Sultan Pura,164290204,,421,0,421,,,
"",,Ghulam Pura,164290205,,800,0,800,,,
"",,Sultan Pura,164290208,,377,0,377,,,
"",,,,,1911,0,1911,,,
189,"Quaid-E-Azam Standard PublicSchool, Sultan Pura, Gujranwala(Female)",Rehman Pura,164290201,,0,255,255,0,3,3
"",,Sultan Pura,164290204,,0,322,322,,,
"",,Ghulam Pura,164290205,,0,549,549,,,
"",,Sultan Pura,164290208,,0,268,268,,,
"",,,,,0,1394,1394,,,
190,"Jamia Idreesia High School GalaBarf Khana, Chah Sarafan (Male)",Rehman Pura,164290202,,470,0,470,4,0,4
"",,Sultan Pura,164290203,,578,0,578,,,
"",,Rehman Pura,164290206,,484,0,484,,,
"",,Sultan Pura,164290207,,414,0,414,,,
"",,,,,1946,0,1946,,,
191,"M.C Girls Primary School No.29Mohallah Sultan Pura (Female)",Rehman Pura,164290202,,0,333,333,0,3,3
Sultan Pura,164290203,,0,401,401,,,,,
Rehman Pura,164290206,,0,313,313,,,,,
Sultan Pura,164290207,,0,336,336,,,,,
"",,,0,1383,1383,,,,,
Sultan Pura,164290301,,439,0,439,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,Sultan Pura,164290305,,664,0,664,,,
"",,Sultan Pura,164290309,,536,0,536,,,
"",,,,,1639,0,1639,,,
193,"Government Elementary SchoolNo. 5, Rasool Pura, Gujranwala(Female)",Sultan Pura,164290301,,0,310,310,0,3,3
"",,Sultan Pura,164290305,,0,515,515,,,
"",,Sultan Pura,164290309,,0,354,354,,,
"",,,,,0,1179,1179,,,
194,"Jamia Idreesia High School GalaBarf Khana, Chah Sarafan (Male)",Mehboob ul Haq,164290302,,585,0,585,4,0,4
"",,Chah Sarafan,164290303,,277,0,277,,,
"",,Chah Sarafan,164290304,,853,0,853,,,
"",,Chah Sarafan,164290310,,219,0,219,,,
"",,,,,1934,0,1934,,,
195,"M.C Girls Primary School No.29Mohallah Sultan Pura (Female)",Mehboob ul Haq,164290302,,0,533,533,0,3,3
"",,Chah Sarafan,164290303,,0,196,196,,,
"",,Chah Sarafan,164290304,,0,682,682,,,
"",,Chah Sarafan,164290310,,0,186,186,,,
"",,,,,0,1597,1597,,,
196,"Saint Joseph High SchoolHafizabad  Road (Male)",Sultan Pura,164290306,,471,0,471,3,0,3
"",,Sultan Pura,164290307,,360,0,360,,,
"",,Sultan Pura,164290308,,301,0,301,,,
"",,Sultan Pura,164290311,,414,0,414,,,
"",,,,,1546,0,1546,,,
197,"Government Elementary SchoolNo. 5, Rasool Pura, Gujranwala(Female)",Sultan Pura,164290306,,0,363,363,0,2,2
"",,Sultan Pura,164290307,,0,265,265,,,
"",,Sultan Pura,164290308,,0,216,216,,,
"",,Sultan Pura,164290311,,0,323,323,,,
"",,,,,0,1167,1167,,,
198,"Sirat-Ul-Jannat School, Gala SuiGas, Hafizabad Road , Gujranwala(Male)","Shah RukhColonyHafizabad",164290401,,538,0,538,3,0,3
"Shah RukhColonyHafizabad",164290406,,426,0,426,,,,,
Alam Chowk,164290501,,502,0,502,,,,,
Alam Chowk,164290504,,201,0,201,,,,,
"",,,1667,0,1667,,,,,
"Shah RukhColonyHafizabad",164290401,,0,385,385,,,,,
"Shah RukhColonyHafizabad",164290406,,0,348,348,,,,,
Alam Chowk,164290501,,0,368,368,,,,,
Alam Chowk,164290504,,0,146,146,,,,,
1,2,3,4,5,6,7,8,9,10,11
200,"Sirat-Ul-Jannat School, Gala SuiGas, Hafizabad Road, Gujranwala(Male)","Sharif PuraMubarik colony",164290403,,381,0,381,4,0,4
"",,"Sharif Pura ShahRukh Colony",164290404,,670,0,670,,,
"",,"Sharif Pura ShahRukh Colony",164290405,,544,0,544,,,
"",,"Sharif Pura ShahRukh Colony",164290407,,336,0,336,,,
"",,,,,1931,0,1931,,,
201,"Government Masjid Maktab MiddleSchool, Gujranwala  (Female)","Sharif PuraMubarik colony",164290403,,0,330,330,0,3,3
"",,"Sharif Pura ShahRukh Colony",164290404,,0,477,477,,,
"",,"Sharif Pura ShahRukh Colony",164290405,,0,411,411,,,
"",,"Sharif Pura ShahRukh Colony",164290407,,0,273,273,,,
"",,,,,0,1491,1491,,,
202,"Moon Star School, Shah RukhColony, Gujranwala (Male)","Shah RukhColonyHafizabad Road",164290402,,634,0,634,3,0,3
"",,"Alam Chowk-RozGaurdenMarriage hall",164290503,,438,0,438,,,
"",,"Alam Chowk-RozGaurdenMarriage hall",164290507,,211,0,211,,,
"",,,,,1283,0,1283,,,
203,"London School, Shah RukhaColony, Gujranwala  (Female)","Shah RukhColonyHafizabad Road",164290402,,0,535,535,0,2,2
"",,"Alam Chowk-RozGaurdenMarriage hall",164290503,,0,202,202,,,
"",,"Alam Chowk-RozGaurdenMarriage hall",164290507,,0,259,259,,,
"",,,,,0,996,996,,,
204,"City Standard High School GalaRana Aftab Wala, Gujranwala(Male)",Bilal Road,164290502,,661,0,661,3,0,3
"",,Bilal Road,164290505,,335,0,335,,,
"",,Bilal Road,164290506,,384,0,384,,,
"",,,,,1380,0,1380,,,
205,"City Standard High School GalaRana Aftab Wala, Gujranwala(Female)",Bilal Road,164290502,,0,652,652,0,2,2
Bilal Road,164290505,,0,234,234,,,,,
Bilal Road,164290506,,0,136,136,,,,,
"",,,0,1022,1022,,,,,
Safdar Colony,164290508,,830,601,1431,,,,,
Safdar Colony,164290509,,363,234,597,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,,,,1193,835,2028,,,
207,"Government Islamia College ForBoys College Road (Male)","Norani RoadJadeedBaghbanpura",164300101,,1031,0,1031,4,0,4
"",,Muslim Town,164300106,,494,0,494,,,
"",,Muslim Town,164300108,,462,0,462,,,
"",,,,,1987,0,1987,,,
208,"Government Girls High SchoolNo.1 College Road  (Female)","Norani RoadJadeedBaghbanpura",164300101,,0,750,750,0,2,2
"",,Muslim Town,164300106,,0,339,339,,,
"",,Muslim Town,164300108,,0,342,342,,,
"",,,,,0,1431,1431,,,
209,"Al-Nasr Middle School, LiaqatRoad, Gujranwala (Male)",Norani Road,164300102,,540,0,540,2,0,2
"",,Norani Road,164300103,,715,0,715,,,
"",,,,,1255,0,1255,,,
210,"Government M.C Primary SchoolSchool No.18 Muslim Town,Gujranwala  (Female)",Norani Road,164300102,,0,395,395,0,2,2
"",,Norani Road,164300103,,0,548,548,,,
"",,,,,0,943,943,,,
211,"Government Islamia College ForBoys College Road (Male)",Muslim Town,164300104,,706,0,706,4,0,4
"",,Muslim Town,164300105,,648,0,648,,,
"",,"Muslim TownGali No.10",164300107,,608,0,608,,,
"",,"Muslim TownGali No.10",164300109,,19,0,19,,,
"",,,,,1981,0,1981,,,
212,"Government Girls High SchoolNo.1 College Road  (Female)",Muslim Town,164300104,,0,525,525,0,3,3
"",,Muslim Town,164300105,,0,508,508,,,
"",,"Muslim TownGali No.10",164300107,,0,472,472,,,
"",,"Muslim TownGali No.10",164300109,,0,10,10,,,
"",,,,,0,1515,1515,,,
213,"Government Boys ElementarySchool Garjakh, Gujranwala (Male)",Garjakh Road,164300201,,476,0,476,4,0,4
"Gali BaghwaliGarjakhRoad",164300202,,512,0,512,,,,,
"Gali No.4 MuslimTown",164300203,,333,0,333,,,,,
Garjakh Road,164300208,,693,0,693,,,,,
"",,,2014,0,2014,,,,,
Garjakh Road,164300201,,0,402,402,,,,,
"Gali BaghwaliGarjakhRoad",164300202,,0,475,475,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,Garjakh Road,164300208,,0,520,520,,,
"",,,,,0,1658,1658,,,
215,"Dawn Public School, Gujranwala(Male)",Gali Aray wali,164300204,,807,0,807,4,0,4
"",,"Gali No.6 GalaBerufWala",164300205,,807,0,807,,,
"",,Gali Aray wali,164300209,,329,0,329,,,
"",,,,,1943,0,1943,,,
216,"Government Girls Primary SchoolMohallah Rasool  Pura Gali No.3Silco Millwali Jinnah Road(Female)",Gali Aray wali,164300204,,0,633,633,0,3,3
"",,"Gali No.6 GalaBerufWala",164300205,,0,601,601,,,
"",,Gali Aray wali,164300209,,0,251,251,,,
"",,,,,0,1485,1485,,,
217,"Government Javed Islamia PrimarySchool Mohallah Rasool Pura  GaliNo.6 Gala Berafwala BagbanpuraHafizabad Road (Male)","Gali No.2Baghbanpura",164300206,,829,0,829,2,0,2
"",,"Gali No.3 SchoolWali",164300207,,928,0,928,,,
"",,,,,1757,0,1757,,,
218,"Government Javed Islamia PrimarySchool Mohallah Rasool Pura  GaliNo.6 Gala Berafwala BagbanpuraHafizabad Road  (Female)","Gali No.2Baghbanpura",164300206,,0,695,695,0,2,2
"",,"Gali No.3 SchoolWali",164300207,,0,740,740,,,
"",,,,,0,1435,1435,,,
219,"Dar-E-Arqam School, Guru NanakPura, Gujranwala (Male)","ChowkBaghbanpuraMehr MuzafarRoad",164310101,,594,0,594,3,0,3
"",,"Jinnah Road,Azam Abad",164310102,,845,0,845,,,
"",,,,,1439,0,1439,,,
220,"Government Girls Primary SchoolNo. 29 Guru Nanak Pura  (Female)","ChowkBaghbanpuraMehr MuzafarRoad",164310101,,0,481,481,0,2,2
"",,"Jinnah Road,Azam Abad",164310102,,0,691,691,,,
"",,,,,0,1172,1172,,,
221,"Dar-E-Arqam School, Guru NanakPura, Gujranwala (Male)","Farooq Gunj /KashmeerTown No.2",164310103,,384,0,384,3,0,3
"Farooq GunjLiaqt Road",164310104,,916,0,916,,,,,
"",,,1300,0,1300,,,,,
"Farooq Gunj /KashmeerTown No.2",164310103,,0,317,317,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,,,,0,1084,1084,,,
223,"Government Girls High SchoolShafqat-Ul-Binaat, Gujranwala(Male)","Liaqat RoadGooro NanikPura",164310105,,937,0,937,4,0,4
"",,"Androon BastiDogran",164310204,,859,0,859,,,
"",,,,,1796,0,1796,,,
224,"Government Girls High SchoolShafqat-Ul-Binaat, Gujranwala(Female)","Liaqat RoadGooro NanikPura",164310105,,0,794,794,0,4,4
"",,"Androon BastiDogran",164310204,,0,732,732,,,
"",,,,,0,1526,1526,,,
225,"Government M.C Girls PrimarySchool No. 20, Gala Batool EyeComplex  (Male)",Farooq Gunj,164310201,,899,0,899,3,0,3
"",,"Khand BazarHaji Pura",164310202,,510,0,510,,,
"",,,,,1409,0,1409,,,
226,"Government M.C Girls PrimarySchool No. 20, Gala Batool EyeComplex   (Female)",Farooq Gunj,164310201,,0,777,777,0,2,2
"",,"Khand BazarHaji Pura",164310202,,0,372,372,,,
"",,,,,0,1149,1149,,,
227,"Government M.C Primary SchoolNo. 10, Gujranwala (Combined)",Moh Islam Abad,164310203,,609,488,1097,2,1,3
"",,Moh. Noor Bawa,164310205,,161,151,312,,,
"",,,,,770,639,1409,,,
228,"Government Middle School No 26Islam Pura Dhullay (Male)","Gali Dr. KhadimDhullay",164350101,,785,0,785,3,0,3
"",,"MughalpuraDhullay",164350102,,557,0,557,,,
"",,"Gali DisposalDhullay",164350103,,164,0,164,,,
"",,,,,1506,0,1506,,,
229,"Government Middle School No 26Islam Pura Dhullay  (Female)","Gali Dr. KhadimDhullay",164350101,,0,594,594,0,2,2
"",,"MughalpuraDhullay",164350102,,0,462,462,,,
"",,"Gali DisposalDhullay",164350103,,0,119,119,,,
"",,,,,0,1175,1175,,,
230,"Mg High School, Gali No. 4,Rehmat Pura, Gujranwala (Male)",,,,0,0,0,4,0,4
"",,"Islam PuraDhullay",164350104,,2042,0,2042,,,
"",,,,,2042,0,2042,,,
231,"Mg High School, Gali No. 4,Rehmat Pura, Gujranwala(Female)",,,,0,0,0,0,3,3
"Islam PuraDhullay",164350104,,0,1517,1517,,,,,
"",,,0,1517,1517,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,"Gali MasjidBahar MadinaDhullay",164350202,,0,0,0,,,
"",,"Moh. TotianwalaGarjakh",164350203,,0,0,0,,,
"",,"Gala DipowalaGarjakh",164350301,,0,0,0,,,
"",,"Gala DipowalaGarjakh",164350306,,0,0,0,,,
"",,,,,0,0,0,,,
233,"Noor-E-Mashriq High School,Garjakh, Gujranwala ( Female)","Gali Bhai SattarGarjakh",164350201,,0,220,220,0,3,3
"",,"Gali MasjidBahar MadinaDhullay",164350202,,0,208,208,,,
"",,"Moh. TotianwalaGarjakh",164350203,,0,503,503,,,
"",,"Gala DipowalaGarjakh",164350301,,0,444,444,,,
"",,"Gala DipowalaGarjakh",164350306,,0,356,356,,,
"",,,,,0,1731,1731,,,
234,"Government Boys ElementarySchool Garjakh, Gujranwala (Male)","Jamia MasjidUsmania Garjakh",164350302,,0,0,0,4,0,4
"",,Rehman Pura,164360103,,0,0,0,,,
"",,,,,0,0,0,,,
235,"Government Girls High SchoolGarjakh, Gujranwala  (Female)","Jamia MasjidUsmania Garjakh",164350302,,0,790,790,0,2,2
"",,Rehman Pura,164360103,,0,776,776,,,
"",,,,,0,1566,1566,,,
236,"Government Boys ElementarySchool Garjakh, Gujranwala (Male)","Prince RoadMasjidToheed Garjakh",164350303,,0,0,0,4,0,4
"Prince RoadGarjakh",164350304,,0,0,0,,,,,
"Crown CimanGarjakh",164350305,,0,0,0,,,,,
"Main GarjakhRoad",164360106,,0,0,0,,,,,
"",,,0,0,0,,,,,
"Prince RoadMasjidToheed Garjakh",164350303,,0,360,360,,,,,
"Prince RoadGarjakh",164350304,,0,460,460,,,,,
"Crown CimanGarjakh",164350305,,0,377,377,,,,,
"Main GarjakhRoad",164360106,,0,552,552,,,,,
1,2,3,4,5,6,7,8,9,10,11
238,"Sirat-E-Mustaqeem SchoolSystem, Garjakh, Gujranwala (Male)",Rehman Pura,164360101,,0,0,0,2,0,2
"",,Rehman Pura,164360102,,0,0,0,,,
"",,,,,0,0,0,,,
239,"Al-Raheem Model High SchoolGujranwala  (Female)",Rehman Pura,164360101,,0,423,423,0,2,2
"",,Rehman Pura,164360102,,0,420,420,,,
"",,,,,0,843,843,,,
240,"Munirat-Ul-Islam Model HighSchool Garjakh, Gujranwala (Male)",Rehman Pura,164360104,,0,0,0,3,0,3
"",,Rehman Pura,164360105,,0,0,0,,,
"",,,,,0,0,0,,,
241,"Al-Raheem Model High SchoolGujranwala  (Female)",Rehman Pura,164360104,,0,606,606,0,2,2
"",,Rehman Pura,164360105,,0,306,306,,,
"",,,,,0,912,912,,,
242,"Al-Qudoos High School School,Kareem Pura, Gujranwala (Male)",Rasheed Colony,164360201,,0,0,0,4,0,4
"",,Rasheed Colony,164360202,,0,0,0,,,
"",,Karim Pura,164360203,,0,0,0,,,
"",,Karim Pura,164360204,,0,0,0,,,
"",,Rasheed Colony,164360205,,0,0,0,,,
"",,Rasheed Colony,164360206,,0,0,0,,,
"",,Rasheed Colony,164360303,,0,0,0,,,
"",,,,,0,0,0,,,
243,"Government Girls Primary SchoolRasheed Colony, Gujranwala(Female)",Rasheed Colony,164360201,,0,366,366,0,3,3
"",,Rasheed Colony,164360202,,0,193,193,,,
"",,Karim Pura,164360203,,0,241,241,,,
"",,Karim Pura,164360204,,0,205,205,,,
"",,Rasheed Colony,164360205,,0,157,157,,,
"",,Rasheed Colony,164360206,,0,219,219,,,
"",,Rasheed Colony,164360303,,0,262,262,,,
"",,,,,0,1643,1643,,,
244,"Government Girls ElementarySchool Kotli Rustam, Gujranwala(Male)",Kotli Rustam,164360301,,0,0,0,4,0,4
Rasheed Colony,164360302,,0,0,0,,,,,
Rehman Pura,164360304,,0,0,0,,,,,
Rasheed Colony,164360305,,0,0,0,,,,,
Kotli Rustam,164360306,,0,0,0,,,,,
Kotli Rustam,164360307,,0,0,0,,,,,
Kotli Rustam,164360308,,0,0,0,,,,,
"",,,0,0,0,,,,,
Kotli Rustam,164360301,,0,180,180,,,,,
Rasheed Colony,164360302,,0,405,405,,,,,
Rehman Pura,164360304,,0,369,369,,,,,
Rasheed Colony,164360305,,0,84,84,,,,,
