"","PollingStation",Polling Station Name,Electoral Area,Block Code,"MaleVoters","FemaleVoters","TotalVoters",Male Booths,Female Booths,Total Booths,Booth Type
"",102,"Govt.Boys Primary SchoolChak No.14/D.",Chak No.24/G.H,223090601,322,246,568,2,1,3,Combined
"",,,Chak No.14/D.,2  2  3090603,497,361,858,,,,
"",103,"Govt.Primary SchoolNorth Chak No.15/D.",Chak No.15/D.,223090602,476,305,781,1,1,2,Combined
"",104,"Govt.Girls Middle SchoolChak No.17/D.",Chak No.17/D.,223090604,489,306,795,1,1,2,Combined
"",105,"Govt.Boys Middle SchoolSheikhu pura.",Seikhu Pura,223090703,289,248,537,1,1,2,Combined
"",,,Kot Dewan Sing,223090704,153,98,251,,,,
"",106,"Govt. Girls Pry. School(Station Dara Mehrum)",Chak No 1/K.M,223080601,89,51,140,1,1,2,Combined
"",,,Chak No.2/K.M,223080602,297,198,495,,,,
"",107,"Govt.Boys PrimarySchool,14/Gh",Chak No.14/GH,223090701,380,271,651,2,1,3,Combined
"",,,Chak No.13/GH,223090702,420,257,677,,,,
"",108,"Govt.Girls  HigherSecondary school,HaveliKoranga (1st Portion).",Haveli Koranga,223090802,683,604,1287,1,1,2,Combined
"",109,"Govt.Girls HigherSecondary school,Haveli",Haveli Koranga,223090803,256,167,423,1,1,2,Combined
"",,,Walayat Pur,223090804,337,271,608,,,,
"",110,"Govt.Boys High  SchoolHaveli Koranga.",Haveli Koranga,223090801,530,477,1007,1,1,2,Combined
"",111,"Govt.Boys Pry.SchoolKund Malkani.",Kund Malkani,223090902,511,447,958,2,1,3,Combined
"",,,Kot Gul Muhammad,223090903,140,70,210,,,,
"",112,"Govt.Boys Pry.SchoolSindhu Pura.",Sindhu Pura,223090901,768,557,1325,2,1,3,Combined
"",113,"Govt.Boys Middle SchoolChak No.26/GH",Chak No.26/G.H,223090202,351,307,658,1,1,2,Combined
Chak No.26/G.H,223090203,652,547,1199,,,,,,,
"",115,"Gov.Boys Middle SchoolChak No.27/GH.",Chak No.27/GH.,223090205,522,410,932,1,1,2,Combined
"",116,"Govt. Boys Pry. SchoolChak No. 28/GH",Chak No.28/G.H,223090201,272,262,534,1,1,2,Combined
"",117,"Govt.Boys pry.SchoolChak No.15/GH",Chak No.15/G.H,223090206,239,176,415,1,1,2,Combined
"",118,"Govt.Girls HigherSecondary School Kot",Kot Islam.,223080801,306,211,517,2,1,3,Combined
"",,,Kot Islam.,223080802,563,473,1036,,,,
"",119,"Govt.Girls Primary SchoolKot Islam.",Kot Islam,223080803,405,278,683,2,1,3,Combined
"",,,Jhalar Kot Wali,223080807,352,280,632,,,,
"",120,"Govt.Boys Middle SchoolKot Islam.",Sikandar Pur,223080804,169,99,268,2,1,3,Combined
"",,,Sikandar Pur,223080805,162,129,291,,,,
"",,,Sikandar Pur,223080806,351,348,699,,,,
"",,,Hawali Dewan,223080809,100,53,153,,,,
"",121,"Govt.Boys Pry.SchoolHussi Hiraj.",Hussi Hiraj,223080810,195,112,307,1,1,2,Combined
"",,,Hussi Hiraj,223080811,338,228,566,,,,
"",122,"Govt.Boys Primary SchoolSultan Thiraj.",Jhalar Lukha Singh,223080703,84,69,153,1,1,2,Combined
"",,,Sultan Thiraj,223080808,421,352,773,,,,
"",123,"Govt.Boys Middle DeraMehram.",Daira Mahram,223080701,311,189,500,1,1,2,Combined
"",,,Khan Doultana,223080704,152,118,270,,,,
"",124,"Govt.Girls Middle SchoolDara Mehram.",Daira Mahram,223080702,427,295,722,1,1,2,Combined
"",,,Sasrana,223080706,201,134,335,,,,
"",125,"Govt.Boys Middle SchoolSai Sahu.",Saee Sahu,223080705,407,333,740,2,1,3,Combined
"",,,Tarheli,223080707,430,236,666,,,,
"",126,"Govt.Boys High Schoolchak No.6/D(1st Port)",Chak No.6/D.H,223080301,525,0,525,3,0,3,Male
