ELECTION COMMISSION OF PAKISTAN,,,,,,,,,,,,
FORM-28,,,,,,,,,,,,
"[see rule 50]",,,,,,,,,,,,
LIST OF POLLING STATIONS OF NA-189-DGKHAN-I,,,,,,,,,,,,
Election to the National Assembly of the Punjab,,,,,,,,,,,,
NA-189-DGKHAN-I,,,,,,,,,,,,
"Sl.No.",No & name of polling station,In case of rural areas,In case of urban areas,"Serial No of voters on theElectoral Rolls in case ofbifercation of ElectoralArea","Number of Voters  assigned topolling station",Number of polling Booths.,,,,,,
"",,Name of electoral area,Census block code,Name of electoral area,"Census blockcode",Male,Female,Total,Male,Female,Total,
247,"Boys Primary School Dhagaywar(Combined)",BACHY GEE,226030705,,,,33,30,63,1,1,2
"",,DAGAY WARH,226050204,,,,226,204,430,,,
"",,SANJALI,226050205,,,,68,55,123,,,
"",,Total,,,,,327,289,616,,,
248,"Boys Middle School Haran Bor(Combined)",HARRAN BOR,226050201,,,,213,176,389,1,1,2
"",,KALRACHI,226050202,,,,129,109,238,,,
"",,Total,,,,,342,285,627,,,
249,"Boys Primary School, Hathi Mar(Combined)",DALO DANGO,226050104,,,,239,218,457,1,1,2
"",,HATHI MARH,226050203,,,,223,191,414,,,
"",,Total,,,,,462,409,871,,,
250,"Boys Primary School,Marki(Combined)",BINDER,226050702,,,,187,172,359,1,1,2
"",,GADO,226050703,,,,45,24,69,,,
"",,CHAGHARDI,226050704,,,,124,115,239,,,
"",,ALLI PHARI,226050706,,,,117,79,196,,,
"",,Total,,,,,473,390,863,,,
251,"Boys Primary School, Thalang Bun(Combined)",CHORA,226050306,,,,66,30,96,1,1,2
"",,THALANG BUN,226050307,,,,124,114,238,,,
"",,Total,,,,,190,144,334,,,
252,"Boys Primary School Gawasani Sarbi(Basti Imam Bakhsh Janubi)",GAWASANI SARBAL,226050601,,,,586,508,1094,1,1,2
"",,Total,,,,,586,508,1094,,,
253,"Girls Middle School Fazla Katch(Combined)",FAZLA KATCH,226030101,,,,545,464,1009,1,1,2
"",,Total,,,,,545,464,1009,,,
254,"Boys Primary School Gangayali(Combined)",GANGYALI,226030104,,,,215,181,396,1,1,2
"",,Total,,,,,215,181,396,,,
255,"Office of the Agriculture Department atKorr (Combined)",KORH,226030103,,,,190,160,350,1,1,2
"",,Total,,,,,190,160,350,,,
256,"Girls Primary School, Kalimarr(Combined)",KALIMARH,226030102,,,,279,250,529,1,1,2
"",,THALIL,226030105,,,,366,337,703,,,
"",,WASHEN CHUR,226030603,,,,5,5,10,,,
"",,Total,,,,,650,592,1242,,,
257,"Boys Primary School Chanala(Combined)",CHANALA,226030302,,,,384,336,720,1,1,2
Total,,,,,384,336,720,,,,,
TEH,226030304,,,,107,73,180,,,,,
""
259,"Boys Primary School Qutba(Combined)",QUTABA,226030301,,,,152,123,275,1,1,2
"",,Total,,,,,152,123,275,,,
260,"Boys Primary School Drohi(Combined)",DAROHI,226030305,,,,148,134,282,1,1,2
"",,Total,,,,,148,134,282,,,
261,"Boys Primary School Manka Shumali(Mithwani Qalat) (Combined)",MANKA SHUMALI,226030501,,,,374,337,711,1,1,2
"",,JESA,226030303,,,,106,77,183,,,
"",,Total,,,,,480,414,894,,,
262,"Boys Primary School Subhani Dagar(Combined)",MANKA JANUBI,226030502,,,,297,252,549,1,1,2
"",,BAN DHOLA,226030604,,,,282,225,507,,,
"",,Total,,,,,579,477,1056,,,
263,"Boys Primary School Katchi Wanga(Combined)",KATCHI WANGA,226030201,,,,604,530,1134,1,1,2
"",,GAR,226030205,,,,30,23,53,,,
"",,Total,,,,,634,553,1187,,,
264,"Boys Primary School Khoryali(Combined)",KURYALI,226030602,,,,213,171,384,1,1,2
"",,Total,,,,,213,171,384,,,
265,"Boys Primary School Orao  Jora(Combined)",AORO JURO,226030401,,,,293,205,498,1,1,2
"",,MAHOL-JE,226030402,,,,214,173,387,,,
"",,BAN DO JHAMAK,226030601,,,,137,121,258,,,
"",,Total,,,,,644,499,1143,,,
266,BMP Post Jhandi (Combined),KHANI (JHANDI),226030403,,,,43,19,62,1,1,2
"",,KHANI (JHANDI),226030404,,,,181,118,299,,,
"",,Total,,,,,224,137,361,,,
267,"Boys Primary School Muranj(Combined)",MURANJ,226030203,,,,290,254,544,1,1,2
"",,Total,,,,,290,254,544,,,
268,"Boys Primary School Sameej(Combined)",SEMEJ,226030202,,,,437,427,864,1,1,2
"",,PUTHANI,226030204,,,,76,51,127,,,
"",,Total,,,,,513,478,991,,,
269,Boys Middle School Zain (Combined),ZAIN,226050705,,,,433,308,741,1,1,2
"",,Total,,,,,433,308,741,,,
270,"Boys Primary School Thalla Thokh(Combined)",THALA THOKH,226050701,,,,263,185,448,1,1,2
"",,Total,,,,,263,185,448,,,
271,"Boys Primary School Dahar(Combined)",KIRNI,226050301,,,,151,116,267,1,1,2
JARO,226050302,,,,136,126,262,,,,,
DAHAR,226050303,,,,190,174,364,,,,,
GAZI BAKHARI,226050304,,,,223,139,362,,,,,
SALARI,226050305,,,,17,13,30,,,,,
Total,,,,,717,568,1285,,,,,
G. Total =,,,,187061,147106,334167,363,310,673,,,
ELECTION COMMISSION OF PAKISTAN,,,,,,,,,,,,
FORM-28,,,,,,,,,,,,
""
"[see rule 50]",,,,,,,,,,,,
LIST OF POLLING STATIONS OF NA-190-DGKHAN-II,,,,,,,,,,,,
Election to the National Assembly of the Punjab,,,,,,,,,,,,
NA-190-DGKHAN-II,,,,,,,,,,,,
"Sl.No.",No & name of polling station,In case of rural areas,In case of urban areas,"Serial No of voters on theElectoral Rolls in case ofbifercation of ElectoralArea",Number of Voters  assigned to,Number of polling,,,,,,
"",,Name of electoral area,Census block code,Name of electoral area,"Census blockcode",Male,Female,Total,Male,Female,Total,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,"Boys High School Kot Mohi(Combined)",Kot Mahoyee,225080301,,,,361,247,608,2,2,4
"",,Kot Mahoyee,225080308,,,,349,246,595,,,
"",,Kot Mahoyee,225080302,,,,166,175,341,,,
"",,Kot Mahoyee,225080309,,,,216,86,302,,,
"",,Total,,,,,1092,754,1846,,,
2,"Boys Primary School Thul Pandhi(Combined)",Jhok Masso,225080303,,,,176,136,312,1,1,2
"",,Jhok Yaran,225080304,,,,130,98,228,,,
"",,Thul Pandhi,225080307,,,,162,87,249,,,
"",,Thul Pandhi,225080311,,,,111,75,186,,,
"",,Total,,,,,579,396,975,,,
3,"Boys Primary School Jiani (JhokeRanjha)  (Combined)",Jhok Ranjha 1/2,225080305,,,,332,309,641,2,2,4
"",,Jhok Ranjha 2/2,225080306,,,,267,225,492,,,
"",,Jhok Ranjha 2/2,225080310,,,,211,222,433,,,
"",,Total,,,,,810,756,1566,,,
4,"Boys High School, Sanjar Saidan(Combined)",Basti Pir 1/2,225080401,,,,385,326,711,2,2,4
"",,Basti Pir 1/2,225080402,,,,334,247,581,,,
"",,Basti Pir 2/2,225080403,,,,51,27,78,,,
"",,Basti Pir 1/2,225080408,,,,225,222,447,,,
"",,Total,,,,,995,822,1817,,,
5,"Boys Primary School, Bait Alyani(Combined",Bait Obai,225080404,,,,163,115,278,2,2,4
Chak Sanjar 1/2,225080405,,,,81,42,123,,,,,
Chak Sanjar 2/2,225080406,,,,130,93,223,,,,,
Bait Alyani,225080407,,,,278,204,482,,,,,
