""
No. and name of constituency      NA-77-NWL-I,,,,,,,,,,,,
Sr. No,"No. and name ofpolling station.",In case of rural areas,In case of urban areas,"S.No. ofvoters ontheelectoral",Number of voters assigned to,Number of polling booths.,,,,,,
"",,"Name ofElectoralArea","Censusblockcode",Name of Electoral Area,"Censusblockcode",Male.,Female.,Total.,Male.,Female.,Total.,
1,2,3,4,5,6,7,8,9,10,11,12,13
"",,,,,,,,,,,,
"",,,,,,,,,,,,
208,208-GG E/S Sarjal. (Combined) (P),Sarjal,184020101,,,,557,480,1037,,,
"",,Halan.,184020106,,,,116,86,202,,,
"",,,,,Total:-,,673,566,1239,1,1,2
209,"209-Govt.Boys P/S Taira-Kalan(Combined) (P)","Taira-Katlan",184020102,,,,313,206,519,,,
"","Harar-Khurd",184020107,,,,418,283,701,,,,
"","Harar-Kalan",184020108,,,,196,111,307,,,,
"",,,,,Total:-,,927,600,1527,2,1,3
210,"210-Govt.Girls P/S Kohlian. (Combined)(P)",Sial,184020103,,,,145,95,240,,,
"",Samsial.,184020104,,,,158,99,257,,,,
"",,Kohlian,184020105,,,,316,223,539,,,
"",,Gajgal,184020109,,,,195,124,319,,,
"",,,,,Total:-,,814,541,1355,2,1,3
211,"211-Govt.Girls P/S Tuhana. (Combined)(P)",Amral.,184020201,,,,251,153,404,,,
"",Wadha,184020203,,,,5,3,8,,,,
"",Tuhana,184020804,,,,470,322,792,,,,
"",,"Thakar-pur. BC",184020206,,,,1,2,3,,,
"",,,,,Total:-,,727,480,1207,1,1,2
212,"212-Govt.Girls P/S Purne. (Combined)(P)",Munan.,184020202,,,,333,251,584,,,
"",Porne,184020205,,,,426,281,707,,,,
"",,,,,Total:-,,759,532,1291,2,1,3
213,"Tughal-pur",184020204,,,,290,225,515,,,,
"",,"LambrialBC",184020802,,,,0,0,0,,,
"",Sable,184020803,,,,189,130,319,,,,
"",,,,,Total:-,,949,680,1629,2,1,3
214,"214-Govt. Boys P/S Bhupal-Pur Manjla(Combined) (P)","Bupal-Chakla.",184020401,,,,278,146,424,,,
"","Bupal-Khurd",184020402,,,,91,69,160,,,,
"",,"Bupalpur-Manjla",184020403,,,,374,231,605,,,
"",,,,,Total:-,,743,446,1189,2,1,3
215,"215-Govt.Girls P/S Chak Tela.(Combined) (P)",Aghur,184020404,,,,157,107,264,,,
"","ChakTeela",184020405,,,,303,171,474,,,,
"","ChakTeela",184020406,,,,76,35,111,,,,
"",,"Chak -Kora.",184020705,,,,261,173,434,,,
"",,,,,Total:-,,797,486,1283,2,1,3
216,"216-Govt.Girls P/S Saleh-pur(Combined) (P)",Saleh-Pur,257032001,,,,359,222,581,,,
"",,"Dala-Gujjran.",257032005,,,,315,232,547,,,
"",,,,,Total:-,,674,454,1128,1,1,2
217,"217-Govt.Girls P/S Banhal. (Combined)(P)",Jalal-pur,257032002,,,,366,269,635,,,
"",Banhal,257032007,,,,452,324,776,,,,
"",,,,,Total:-,,818,593,1411,2,1,3
218,"218-Govt.Girls P/S Sahluwali(Combined) (P)",Sahluwali,257032003,,,,334,239,573,,,
"",Jaghal,257032004,,,,411,239,650,,,,
"",Dura-Pur,257032006,,,,65,37,102,,,,
"",,,,,Total:-,,810,515,1325,2,1,3
219,"219-Govt.Girls P/S  Aziz-pur(Combined) (P)",Aziz-pur,257032008,,,,634,409,1043,,,
"",,,,,Total:-,,634,409,1043,1,1,2
220,"220-Govt.Boys P/S Chakre (Combined)(P)",Chakre,257032009,,,,553,459,1012,,,
"",Chakre,257032010,,,,371,271,642,,,,
"",,,,,Total:-,,924,730,1654,2,2,4
221,"221-Govt.Boys P/S Shaikhpur / Chahar(Combined) (P)","Shaikhpur-veran.",257032101,,,,306,206,512,,,
"","Shaikhpur-Abad",257032102,,,,295,216,511,,,,
"",,Chakra.,257032105,,,,349,293,642,,,
"",,,,,Total:-,,950,715,1665,2,2,4
222,222-Govt.H/S Rambari. (Combined) (P),Rambari,257032103,,,,717,556,1273,,,
"",,,,,Total:-,,717,556,1273,1,1,2
"",(Combined) (P),,,,,,,,0,,,
"",,,,,Total:-,,743,597,1340,2,1,3
224,224-Govt.P/S Barwal (Combined) (P),Chahar.,257032106,,,,261,216,477,,,
"",Barwal.,257032107,,,,538,335,873,,,,
"",,,,,Total:-,,799,551,1350,2,1,3
225,"225-Govt.Girls H/S Satheyala(Combined) (P)",Satheyala,257032201,,,,407,286,693,,,
"",Satheyala,257032202,,,,639,435,1074,,,,
"",,,,,Total:-,,1046,721,1767,2,2,4
226,"226-Govt.Boys H/S Satheyala(Combined) (P)",Satheyala,257032203,,,,505,364,869,,,
"",Dhalora,257032208,,,,205,131,336,,,,
"",,,,,Total:-,,710,495,1205,1,1,2
227,227-Govt P/S Dhala (Combined) (P),Dhali,257032204,,,,277,199,476,,,
"",Dhala,257032205,,,,380,270,650,,,,
"",,,,,Total:-,,657,469,1126,1,1,2
228,"228-Govt.Girls P/S Bhagwal.(Combined) (P)",Bhagwal,257032207,,,,368,297,665,,,
"","KotliJeewa",257032206,,,,95,60,155,,,,
"",,,,,Total:-,,463,357,820,1,1,2
229,229-Govt.H/S Jabaal (Combined) (P),Jabal.,257032209,,,,552,407,959,,,
"",,Jabal.,257032210,,,,296,228,524,,,
"",,,,,Total:-,,848,635,1483,1,1,2
230,"230-Govt. Boys H/S Chatrana.(Combined)(P)",Chatrana,184010101,,,,709,469,1178,,,
"",Chatrana,184010102,,,,382,255,637,,,,
"",,,,,Total:-,,1091,724,1815,2,2,4
231,231-G. H/S .Maryal. (Combined)(P),Ghalour,184010103,,,,279,222,501,,,
"",Maryal,184010202,,,,379,356,735,,,,
"",,"FatheyPurKhurd.",184020203,,,,,,,,,
"",,,,,Total:-,,658,578,1236,2,1,3
232,232-GGP/S.Pindi Manna. (Combined)(P),"Fateh purKalan.",184010104,,,,341,245,586,,,
"","PindiManna.",184010201,,,,672,453,1125,,,,
"",,,,,Total:-,,1013,698,1711,2,2,4
233,"233-Govt Boys P/S .Chachara.(Combined)(P)","Japoulota.",184010203,,,,479,352,831,,,
"",Chachara,184010204,,,,333,206,539,,,,
"",,,,,Total:-,,812,558,1370,2,1,3
"",,,,,Total:-,,620,494,1114,1,1,2
235,"235-Govt. Boys E/S Bajar.(Combined)(P)",Bajar.,184010301,,,,465,340,805,,,
"",Bajar.,184010302,,,,399,296,695,,,,
"",,,,,Total:-,,864,636,1500,2,1,3
236,"236-Govt. Boys P/S Banbu(Combined)(P)",Bambu.,184010303,,,,676,530,1206,,,
"",Bharowal,184010309,,,,328,228,556,,,,
"",,,,,Total:-,,1004,758,1762,2,2,4
237,"237-Govt. Boys Elementry School ,Dusri. (Combined)(P)",Dusri,184010304,,,,594,456,1050,,,
"",Dusri,184010305,,,,351,301,652,,,,
"",,,,,Total:-,,945,757,1702,2,2,4
238,"238-Govt. Girls P/S Riba Kalan.(Combined)(P)","RaibaKalan.",184010306,,,,547,372,919,,,
"","RaibaKalan.",184010307,,,,508,363,871,,,,
"",,,,,Total:-,,1055,735,1790,2,2,4
239,"239-Govt. BOYS P/S Kaiyan.(Combined)(P)",Kaiyan,184010308,,,,601,437,1038,,,
"","RibaChakla.",184010310,,,,280,163,443,,,,
"",,,,,Total:-,,881,600,1481,2,1,3
240,"240-Govt. Boys Elementry SchoolKhanowal. (Male)(P)","Khanowal",184010401,,,,460,,460,,,
"","Khanowal",184010402,,,,677,,677,,,,
"",,,,,Total:-,,1137,,1137,2,,2
241,"241-Govt Boys Elementry SchoolKhanowal. (Female)(P)","Khanowal",184010401,,,,,380,380,,,
"","Khanowal",184010402,,,,,503,503,,,,
"",,,,,Total:-,,,883,883,,2,2
242,"242-Govt. Boys P/S Hansowala.(Combined)(P)","Hansowala",184010403,,,,648,427,1075,,,
"","Hansowala",184010404,,,,329,216,545,,,,
"",,,,,Total:-,,977,643,1620,2,1,3
243,"243-Govt. Girls Community ModelSchool  Basra Jala. (Combined)(P)","BasraJala.",184010405,,,,837,546,1383,,,
"","BasraJala.",184010407,,,,96,87,183,,,,
"",,"WeeruWali",184010408,,,,431,307,738,,,
"",,,,,Total:-,,1364,940,2304,2,1,3
244,"244-Govt. Boys  P/S Basra Jala.(Combined)(P)","BasraJala.",184010406,,,,563,381,944,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,563,381,944,1,1,2
245,Phalwari,184010501,,,,560,505,1065,,,,
"",,,,,Total:-,,997,881,1878,2,2,4
246,"246-Govt Girls  P/S Taira Gujran.(Combined)(P)","ChakBeeka.",184010503,,,,285,233,518,,,
"","TairaGujran.",184010504,,,,602,411,1013,,,,
"",,,,,Total:-,,887,644,1531,2,1,3
247,"247-Govt. Girls P/S Jhajwana.(Combined)(P)",Jhajwana,184010505,,,,501,403,904,,,
"","Dheedowal.B.C.",184011003,,,,27,15,42,,,,
"",,,,,Total:-,,528,418,946,1,1,2
248,"248-Govt. Girls P/S shani brahimana.(Combined)(P)","ChhaniBarhamna",184010508,,,,420,293,562,,,
"","JatwalGujran",184010506,,,,309,216,525,,,,
"",,,,Total:-,,729,509,1238,2,1,3,
249,"249-Govt. Girls P/S.Pindi Saniana.(Combined)(P)","PindiSaniana",184010509,,,,602,453,1055,,,
"","PindiSaniana",184010510,,,,345,264,609,,,,
"",,,,,Total:-,,947,717,1664,2,2,4
250,"250-Govt. Boys Elementry SchoolBhatiyan Gujran. (Combined)(P)","BhatiyanGujran.",184010601,,,,514,379,893,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,514,379,893,1,1,2
251,"251-Govt. Girls Primary SchoolManka(Combined)",Manka.,184010607,,,,580,454,1034,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,580,454,1034,1,1,2
252,"252-Boys P/S Motay Kalan.(Combined)(P)","MotayKalan.",184010602,,,,533,402,935,,,
"","PandoriFazal.",184010606,,,,409,349,758,,,,
"",,,,,Total:-,,942,751,1693,2,2,4
253,253-Girls E/S Majra. (Combined)(P),Majra.,184010603,,,,780,609,1389,,,
"",,,,,Total:-,,780,609,1389,2,1,3
254,254-Girls P/S Seekaryali. (Combined)(P),Jatla.,184010604,,,,382,301,683,,,
"","Seekaryali",184010608,,,,478,397,875,,,,
"",,,,,Total:-,,860,698,1558,2,2,4
255,255-Girls P/S Sultan Pur. (Combined)(P),Berowali,184010407,,,,96,87,183,,,
"","SultanPur.",184010605,,,,502,364,866,,,,
"",,,,,Total:-,,598,451,1049,2,1,3
256,"256-Govt.Boys P/S Antowali.(Combined)(P)",Antowali.,184010701,,,,559,426,985,,,
"",Antowali.,184010702,,,,395,286,681,,,,
"",,,,,Total:-,,954,712,1666,2,2,4
257,257-Girls P/S Antowali. (Male)(P),Antowali.,184010703,,,,886,,886,,,
"",Antowali.,184010705,,,,170,,170,,,,
"",Antowali.,184010704,,,,260,,260,,,,
"",,,,,Total:-,,1316,,1316,3,,3
258,258-Girls P/S Antowali. (Female)(P),Antowali.,184010703,,,,,600,600,,,
"",Antowali.,184010705,,,,,154,,,,,
"",Antowali.,184010704,,,,,181,181,,,,
"",,,,,Total:-,,0,935,935,,2,2
259,"259-GIRLS P/S NAWAN BHANGALA(Combined)(P)",Kasraj,184010706,,,,504,396,900,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,504,396,900,1,1,2
260,"260-Govt. Boys Primary SchoolKasraj(Combined)",Kasraj,184010707,,,,481,417,898,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,481,417,898,1,1,2
261,261-GGP/S. MuthI. (Combined)(P),MuthI,184010801,,,,505,378,883,,,
"","Chandowal.",184010803,,,,493,336,829,,,,
"",Shir pur,184010805,,,,249,179,428,,,,
"",,,,,Total:-,,1247,893,2140,2,2,4
262,"262-Boys P/S Chakwal Salahriyan.(Combined)(P)","ChakwalSulaherian",184010802,,,,493,336,829,,,
"","Bahloolpur Bala.",184010804,,,,263,184,447,,,,
"",,,,,Total:-,,756,520,1276,2,1,3
263,"263-Govt. Girls P/S . Dhabwala.(Combined)(P)","Dhabwala.",184010806,,,,630,396,1026,,,
"",,,,,Total:-,,630,396,1026,1,1,2
264,264-Girls P/S Agwal. (Combined)(P),Bhagwal.,184010807,,,,158,116,274,,,
"","BhaloolPur Kotli",184010808,,,,381,249,630,,,,
"",,Agwal,184010809,,,,526,394,920,,,
"",,,,,Total:-,,1065,759,1824,2,2,4
265,"265-GGP/S. Nagrota In-Sarina.(Combined)(P)",Nagrota.,184010901,,,,778,596,1374,,,
"",,,,Total:-,,778,596,1374,2,1,3,
266,"KareelDilo.",184010904,,,,212,123,335,,,,
"",,Daria Pur,184010908,,,,308,196,504,,,
"",,"ChaKwalLalotra.",184010911,,,,292,191,483,,,
"",,,,,Total:-,,919,579,1498,2,1,3
267,267-Boys P/S. Jalal Pur. (Combined)(P),"Jhoumian Kalan.",184010906,,,,242,158,400,,,
"",Jalal Pur,184010907,,,,599,470,1069,,,,
"","DarsoPur",184010909,,,,142,85,227,,,,
"",,,,,Total:-,,983,713,1696,2,1,3
268,268-Girls P/S MorlI. (Combined)(P),"ChakSefaira",184010910,,,,357,275,632,,,
"",MorlI,184020903,,,,428,281,709,,,,
"",,,,,Total:-,,785,556,1341,2,1,3
269,"269-Govt. Girls P/S Amaryal.(Combined)(P)",Amaryal.,184011001,,,,423,342,765,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,423,342,765,1,1,2
270,"270-Govt. Girls P/S Amaryal.(Combined)(P)",Amaryal.,184011002,,,,809,645,1454,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,809,645,1454,2,1,3
271,"271-Govt. Boys High School  Jamwal.(Male) (P)",Jamwal.,184011004,,,,843,,843,,,
"","PanjGraian.",184011007,,,,304,,304,,,,
"",,,,,Total:-,,1147,,1147,2,0,2
272,"272-Govt. Boys High School  Jamwal.(Female) (P)",Jamwal.,184011004,,,,,675,675,,,
"","PanjGraian.",184011007,,,,,254,254,,,,
"",,,,,Total:-,,,929,929,,2,2
273,"273-Girls P/S Khindarian.(Combined)(P)","Khindarian",184011005,,,,524,390,914,,,
"",,Dalyal.,184010507,,,,399,323,722,,,
"",,,,,Total:-,,923,713,1636,2,2,4
274,274-Boys M/S Mardowal. (Combined)(P),Mardowal,184011006,,,,795,590,1385,,,
"",,,,,Total:-,,795,590,1385,2,1,3
275,"275-Govt Pramari School,Sakmal(Combined)","Jhojar(B.C)",184020301,,,,1,0,1,,,
"",Sakmal,184020304,,,,427,264,691,,,,
"",,Sakmal,184020305,,,,162,86,248,,,
"",,,,,Total:-,,590,350,940,1,1,2
276,276-GGP/S Chak Nahra. (Combined)(P),"ChakNahra",184020302,,,,521,349,870,,,
"","ChakNahra",184020303,,,,219,121,340,,,,
"",,,,,Total:-,,740,470,1210,2,1,3
"",,"FeroozPur",184021402,,,,363,,363,,,
"",,,,,Total:-,,1141,0,1141,2,,2
278,278-Govt.Boys P/S Saidpur. (Female)(P),Said Pur,184021401,,,,,607,607,,,
"","FeroozPur",184021402,,,,,221,221,,,,
"",,,,,Total:-,,,828,828,,2,2
279,279-Girls P/S Badwal. (Combined)(P),Banial,184020501,,,,252,215,467,,,
"",Ghyal,184020602,,,,130,74,204,,,,
"",,Badwal.,184020605,,,,441,306,747,,,
"",,,,,Total:-,,823,595,1418,2,1,3
280,280-Girls P/S Fatto Chak (Combined)(P),"FattoChak",184020601,,,,487,321,808,,,
"",,,,,Total:-,,487,321,808,1,1,2
281,281-Girls P/S Gor-sail. (Combined)(P),Gorsial,184020603,,,,209,148,357,,,
"",Gorsial,184020604,,,,659,503,1162,,,,
"",,,,,Total:-,,868,651,1519,2,1,3
282,"282-Girls H/S Bhati-Afghanan.(Combined)(P)","BhathiAfghanan.",184020606,,,,350,280,630,,,
"","BhathiAfghanan.",184020607,,,,384,291,675,,,,
"",,,,,Total:-,,734,571,1305,2,1,3
283,"283-Boys P/S Shah Pur Jhanjhara(Combined)(P)","Shah PurJhanghura.",184021301,,,,511,325,836,,,
"","Shah PurJhanghura.",184021302,,,,348,217,565,,,,
"",,,,,Total:-,,859,542,1401,2,1,3
284,284-Boys H/S Khanah. (Combined)(P),Khanna.,184021303,,,,856,599,1455,,,
"",Khanna.,184021304,,,,127,67,194,,,,
"",,,,,Total:-,,983,666,1649,2,1,3
285,"285-Govt.Girls P/S Kharal-Jawala.(Combined) (P)","Kharal-Jawala.",184020701,,,,601,400,1001,,,
"","Shahbaz-pur",184020703,,,,261,154,415,,,,
"",,Badwal,184020606,,,,350,280,630,,,
"",,,,,Total:-,,1212,834,2046,2,1,3
286,286-Govt.Boys P/S Ghedhar-pur,Khaira.,184020702,,,,412,314,726,,,
"",(Combined) (P),Gidar-pur,184020704,,,,540,425,965,,,
"",,,,,Total:-,,952,739,1691,2,2,4
"",,,,,,,,,0,,,
"",,,,Total:-,,721,507,1228,2,1,3,
288,288-GGM/S .Baran (Combined)(P),"NatllaKhurd.",184020902,,,,472,327,799,,,
"",Baran.,184020908,,,,502,382,884,,,,
"",,,,,Total:-,,974,709,1683,2,2,4
289,289-GBP/S. Chajwal. (Combined)(P),Chajwal,184020904,,,,589,430,1019,,,
"",Dadyal,184020906,,,,418,266,684,,,,
"",,,,,Total:-,,1007,696,1703,2,2,4
290,"290-GGP/S. Tarkhana Mereeda.(Combined)(P)","TarkhanaMereeda",184020905,,,,424,325,749,,,
"",,,,Total:-,,424,325,749,1,1,2,
291,"291-Govt. Girls P/S Tarkhana Budhu(Combined) P","TarkhanaBudhu.",184020907,,,,410,235,645,,,
"",,,,,Total:-,,410,235,645,1,1,2
292,"292-Govt. Girls Primary School ChakJamil (Combined)","ChakJamil",184021001,,,,533,342,875,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,533,342,875,1,1,2
293,"293-Govt. Girls Primary School ChakAmru (Combined)","ChakDarju",184021002,,,,67,46,113,,,
"","ChakAmru",184021004,,,,353,266,619,,,,
"",,,,,Total:-,,420,312,732,1,1,2
294,"294-Girls  H/S . Sukhu Chak.(Combined)(P)","TimbarChak.",184021003,,,,159,97,256,,,
"","SukhuChak",184030102,,,,315,240,555,,,,
"",,"SukhuChak",184030103,,,,234,211,445,,,
"",,,,,Total:-,,708,548,1256,2,1,3
295,295-GGP/S. Chak Amru (Combined)(P),Nagrota.,184010902,,,,358,245,603,,,
"",Nagrota.,184010903,,,,428,281,709,,,,
"",,,,,Total:-,,786,526,1312,2,1,3
296,"296-Govt. Boys High School SukhuChak (Combined)","SukhuChak",184030101,,,,847,619,1466,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,847,619,1466,2,1,3
297,297-Boys P/S Bagolara. (Combined)(P),Bagolara,184030104,,,,500,293,793,,,
"","KarolRanga.",184030506,,,,413,253,666,,,,
"",,,,,Total:-,,913,546,1459,2,1,3
298,Majwal.,184030105,,,,244,143,387,,,,
"",,Sangran.,184030107,,,,718,534,1252,,,
"",,,,,Total:-,,962,679,1641,2,1,3
299,299-Girls E/S Chhamal. (Combined)(P),Hadnal.,184030201,,,,483,271,754,,,
"",,,,,Total:-,,483,271,754,1,1,2
300,"300-Boys High School Chhamal.(Combined)(P)",Chhamal,184030202,,,,281,180,461,,,
"",Chhamal,184030203,,,,700,459,1159,,,,
"",,,,,Total:-,,981,639,1620,2,1,3
301,"301-Boys P/S Ratto Chak.(Combined)(P)","RattoChak.",184030204,,,,290,176,466,,,
"","RattoChak.",184030205,,,,487,353,840,,,,
"",,,,,Total:-,,777,529,1306,2,1,3
302,"302-Girls P/S Jhangarwan.(Combined)(P)","Jhangarwan.",184030301,,,,628,382,1010,,,
"",,,,,,,,0,,,,
"",,,,,Total:-,,628,382,1010,1,1,2
303,"303-Boys H/S Shah Pur Bhangu(Male)(P)","Shah PurBhangu.",184030302,,,,676,,676,,,
"","Shah PurBhangu.",184030303,,,,572,,572,,,,
"",,,,,Total:-,,1248,,1248,2,,2
304,"304-Girls M/S Shah purBhangu(Female)(P)","Shah PurBhangu.",184030302,,,,,453,453,,,
"","Shah PurBhangu.",184030303,,,,,429,429,,,,
"",,,,,Total:-,,,882,882,0,2,2
305,"305-Govt. Girls Elementary SchoolShah Pur Bhangu (Combined)","Shah PurBhangu.",184030304,,,,875,665,1540,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,875,665,1540,2,1,3
306,"306-Boys P/S Thakar Pur Moqam.(Combined)(P)","Thakarpur Moqam",184030401,,,,466,244,710,,,
"","PindiBhomian.",184030408,,,,272,161,433,,,,
"",,,,,Total:-,,738,405,1143,1,1,2
307,Bagarian.,184030402,,,,425,223,648,,,,
"",,,,,Total:-,,789,426,1215,2,1,3
308,"308-Boys H/S Norangabad.(Combined)(P)","JaggatPur.",184030403,,,,232,130,362,,,
"","Norangabad",184030407,,,,267,183,450,,,,
"",,,,,Total:-,,499,313,812,1,1,2
309,"309-Boys P/S Pindi Bukhsha.(Combined)(P)","PindiBukhsha.",184030404,,,,186,134,320,,,
"","ChakBharayan",184030405,,,,106,63,169,,,,
"","ChakBeeka.",184030501,,,,282,203,485,,,,
"",,,,,Total:-,,574,400,974,1,1,2
310,310-Girls P/S Bhoj Pur. (Combined)(P),Bhoj Pur,184030409,,,,445,311,756,,,
"",Jajwal,184030505,,,,234,164,398,,,,
"",,,,,Total:-,,679,475,1154,2,1,3
311,"311- Boys P/S Kharal Kahna.(Combined)(P)","ChakShaman.B.C.",184030502,,,,0,0,0,,,
"","KharalKahna.",184030503,,,,363,257,620,,,,
"","ChakPopu.",184030504,,,,134,91,225,,,,
"",,,,,Total:-,,497,348,845,1,1,2
312,"312-Boys H/S Pindi Umra.(Combined)(P)","PindiUmra.",184030601,,,,344,302,646,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,344,302,646,1,1,2
313,313-Girls P/S Gujrat. (Combined)(P),"TaraChak.",184030602,,,,391,170,561,,,
"",Gujrat.,184030603,,,,287,188,475,,,,
"",,,,,Total:-,,678,358,1036,1,1,2
314,314-BOYS P/S BASHLI Combined)(P),Bachhali,184030801,,,,530,412,942,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,530,412,942,1,1,2
315,"315-Govt. Girls Primary School Hau.(Male)(P)","NadalahGujran.",184030604,,,,289,,289,,,
"",Hau,184030605,,,,575,,575,,,,
"",,Rambra,184030704,,,,269,,269,,,
"",,,,,Total:-,,1133,0,1133,2,,2
316,"316-Govt. Girls Primary School Hau.(Female)(P)","NadalahGujran.",184030604,,,,,212,212,,,
"",Hau,184030605,,,,,405,405,,,,
"",,Rambra,184030704,,,,,245,245,,,
"",,,,,Total:-,,,862,862,,2,2
"",(Combined)(P),,,,,,,,,,,
"",,,,,Total:-,,721,554,1275,2,1,3
318,"318-Govt. Boys P/S Baga.(Combined)(P)",Bagga,184030607,,,,400,276,676,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,400,276,676,1,1,2
319,"319-Govt. Boys Elementary SchoolChhahla. (Male)(P)",Chhahla,184030701,,,,382,,382,,,
"",Chhahla,184030702,,,,336,,336,,,,
"",,Chhahla,184030703,,,,604,,604,,,
"",,,,,Total:-,,1322,,1322,3,,3
320,320-Girls M/S Chhahla. (Female)(P),Chhahla,184030701,,,,,233,233,,,
"",Chhahla,184030702,,,,,200,200,,,,
"",,Chhahla,184030703,,,,,382,382,,,
"",,,,,Total:-,,,815,815,,2,2
321,321-Boys P/S Mihlu. (Combined)(P),Golu.,184030705,,,,253,223,476,,,
"",Hakla,184030706,,,,86,62,148,,,,
"",,Chhangu.,184030707,,,,127,81,208,,,
"",,"Katarian.B.C",184030708,,,,2,0,2,,,
"",,Mihlu,184030711,,,,273,186,459,,,
"",,Ali pur,184030712,,,,255,107,362,,,
"",,,,,Total:-,,996,659,1655,2,1,3
322,322-Boys P/S Paswal. (Combined)(P),Paswal,184030709,,,,507,368,875,,,
"",Dogar,184030805,,,,309,191,500,,,,
"",,Kohliyan,184030710,,,,226,129,257,,,
"",,,,,Total:-,,1042,688,1730,2,2,4
323,323-Girls P/S Kasana. (Combined)(P),"KalyanPur.",184030802,,,,245,138,383,,,
"","Baharwal.",184030803,,,,129,103,232,,,,
"",,Kasana.,184030804,,,,565,386,951,,,
"",,,,,Total:-,,939,627,1566,2,1,3
324,324-Boys H/S Masroor. (Combined)(P),Masroor,184030901,,,,242,214,456,,,
"",Masroor,184030903,,,,415,228,643,,,,
"",,,,,Total:-,,657,442,1099,2,1,3
325,325-Boys H/S Masroor. (Combined)(P),Masroor,184030902,,,,582,355,937,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,582,355,937,1,1,2
326,326-Girls P/S Bhai Pur. (Combined)(P),"ChakBharian.",184030904,,,,525,289,814,,,
"",Bhai Pur.,184031103,,,,305,220,525,,,,
"",,"DinPanah.B.C",184031104,,,,0,0,0,,,
"",,,,,Total:-,,830,509,1339,2,1,3
327,"327-Girls P/S Abyal Dogra.(Combined)(P)","AbyalDogra.",184031001,,,,395,215,610,,,
""
""
"",,"AbyalGujran.B.C.",184031005,,,,0,0,0,,,
"",,,,,Total:-,,395,215,610,1,1,2
328,"328-Govt. Girls P/S Chak Qaziyan(Combined)",Badhan,184031002,,,,296,152,448,,,
"",Sahonti.,184031003,,,,133,66,199,,,,
"",,"ChakQaziyan",184031004,,,,229,129,358,,,
"",,"ChhaniNarotam.B.C.",183031006,,,,0,0,0,,,
"",,Zakria,184031105,,,,57,35,92,,,
"",,,,,Total:-,,715,382,1097,1,1,2
329,"329-Boys P/S Anayat Pur.(Combined)(P)","AnayatPur.",184031101,,,,408,342,750,,,
"",Laliyan,184031102,,,,296,177,473,,,,
"",,,,,Total:-,,704,519,1223,2,1,3
330,330-Girls H/S Ikhlaspur (Male)(P),Ikhlaspur,184031201,,,,886,,886,,,
"",Ikhlaspur,184031202,,,,430,,430,,,,
"",,,,,Total:-,,1316,,1316,2,,2
331,331-Girls H/S Ikhlaspur (Femaale)(P),Ikhlaspur,184031201,,,,,648,648,,,
"",Ikhlaspur,184031202,,,,,350,350,,,,
"",,,,,Total:-,,,998,998,,2,2
332,332-Boys P/S Khanwind (Combined)(P),Khanwind,184031203,,,,499,380,879,,,
"",Damodar,u1r84031304,,,,0,0,0,,,,
"",,,,,Total:-,,499,380,879,1,1,2
333,333-Girls P/S Bhalolpur (Combined)(P),Sammu,184031204,,,,233,202,435,,,
"",Bhalolpur,184031205,,,,307,210,517,,,,
"",,Aduana,184031403,,,,167,116,283,,,
"",,,,,Total:-,,707,528,1235,2,1,3
334,334-Boys P/S Gratooa (Combined)(P),Ghrota,184031301,,,,666,530,1196,,,
"",,,,,Total:-,,666,530,1196,1,1,2
335,Jhangla,184031302,,,,47,25,72,,,,
"","Musa purSanian",184031401,,,,0,0,0,,,,
"","Sahanpur",184031402,,,,238,145,383,,,,
"",Bodla,184031404,,,,307,146,453,,,,
"","GopalPur",184031604,,,,0,0,0,,,,
"",Ramwal,184031605,,,,0,0,0,,,,
"",,"KahnLawari",184031608,,,,0,0,0,,,
"",,Chanial,184031704,,,,95,67,162,,,
"",,"DholahBC",184031706,,,,0,0,0,,,
"",,"BerochakGujran.BC",184031707,,,,0,0,0,,,
"",,"Khamari(B.C)",184031708,,,,0,0,0,,,
"",,"DheengBC",184031709,,,,0,0,0,,,
"",,"Aziz purBC",184040105,,,,0,0,0,,,
"",,,,,Total:-,,687,383,1070,1,1,2
336,336-Boys H/S ikhlaspur (Combined)(P),Mangri,184031502,,,,442,279,721,,,
"","Keeratpur",184031303,,,,545,376,921,,,,
"",,,,,Total:-,,987,655,1642,2,2,4
337,"337-Boys P/S Lodhi Lawari.(Combined)(P)","LodhiLawari",184031501,,,,255,153,408,,,
"",Bhaat,184031602,,,,114,54,168,,,,
"",Naseera,184031504,,,,228,151,379,,,,
"",,,,,Total:-,,597,358,955,1,1,2
338,338-Girls P/S Baharwal (Combined)(P),Baharwal,184031503,,,,486,304,790,,,
