"",Sr. No.,"No. and name of thePolling Station",In case of Rural Areas,In case of Urban Areas,"Serial No. ofvoters on theElectoral Rolls",Number of Voters,No. of Polling,,,,,,
"",,,Name of Electoral Area,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
"",,,Mehmand wali ChakNo.111,202011007,,,,282,161,443,,,
"",,,Mehmand wali ChakNo.111,202011008,,,,786,,786,,,
"",Total,,,,1396,435,1831,3,1,4,,,
"",42,"Govt. B/P/S ChuhoorKotli Chak No.117/RB",Chuhoor Kotli Chak No.117/RB,202010501,,,,538,0,538,1,1,2
"",,,Chuhoor Kotli Chak No.117/RB,202010502,,,,0,602,602,,,
"",Total,,,,538,602,1140,1,1,2,,,
"",43,"Govt. B/P/S ChuhoorKotli Chak No.117/RB",Chuhoor Kotli Chak No.117/RB,202010501,,,,0,402,402,1,2,3
"",,,Chuhoor Kotli Chak No.117/RB,202010502,,,,416,340,756,,,
"",Total,,,,416,742,1158,1,2,3,,,
"",44,"Govt.Girls/P/SChuhoor MughalanChak No.117/RB",Chuhoor Mughalan Chak No.117/RB,202010504,,,,380,295,675,2,2,4
"",,,Chuhoor Mughalan Chak No.117/RB,202010503,,,,570,388,958,,,
"",Total,,,,950,683,1633,2,2,4,,,
"",45,"Govt. B/P/S ChakNo.115 RB",Chak No.115 RB Titran Wala,202010505,,,,360,191,551,1,1,2
"",46,"Govt. Boys P/S NandaChak No. 115/RB",Chak No.115 RB Nanda Chak,202010506,,,,747,476,1223,2,1,3
"",Total,,,,747,476,1223,2,1,3,,,
"",47,"Govt. B/M/S Chak No.112 RB Ali Abad(Male)",Chak No112 RB Ali abad,202011003,,,,273,0,273,2,0,2
"",,,Chak No112 RB Ali abad,202011009,,,,268,0,268,,,
"",,,Chak No112 RB Ali abad,202011004,,,,640,0,640,,,
"",Total,,,,1181,0,1181,2,0,2,,,
"",48,"Govt. B/M/S Chak No.112 RB Ali Abad(Female)",Chak No112 RB Ali abad,202011003,,,,0,192,192,0,2,2
"",,,Chak No112 RB Ali abad,202011009,,,,0,180,180,,,
"",,,Chak No112 RB Ali abad,202011004,,,,0,454,454,,,
"",Total,,,,0,826,826,0,2,2,,,
"",49,"Govt.B/H/S MarhBaloachan  (Male)",Marh Baloachan,202010801,,,,530,0,530,3,0,3
"",,,Marh Baloachan,202010802,,,,225,0,225,,,
"",,,Marh Baloachan,202010803,,,,231,0,231,,,
"",,,Marh Baloachan,202010805,,,,385,0,385,,,
"",Total,,,,1371,0,1371,3,0,3,,,
"",50,"Govt.B/H/S MarhBaloachan  (Female)",Marh Baloachan,202010801,,,,0,402,402,0,2,2
"",,,Marh Baloachan,202010802,,,,0,179,179,,,
"",,,Marh Baloachan,202010803,,,,0,180,180,,,
"",,,Marh Baloachan,202010805,,,,0,293,293,,,
"",Total,,,,0,1054,1054,0,2,2,,,
"",51,"Govt. G/H/S MarhBaloachan  (Male)",Marh Baloachan,202010804,,,,426,0,426,3,0,3
"",,,Marh Baloachan,202010810,,,,581,0,581,,,
"",,,Marh Baloachan,202010806,,,,348,0,348,,,
"",Total,,,,1355,0,1355,3,0,3,,,
"",52,"Govt. G/H/S MarhBaloachan  (Female)",Marh Baloachan,202010804,,,,0,473,473,0,2,2
"",,,Marh Baloachan,202010810,,,,0,298,298,,,
"",,,Marh Baloachan,202010806,,,,0,243,243,,,
"",Total,,,,0,1014,1014,0,2,2,,,
"",53,Govt. P/S Sadkana,sadkana,202010807,,,,226,202,428,1,1,2
"",Total,,,,226,202,428,1,1,2,,,
"",54,"Govt. B/P/S Chak No.110 RB  Hameroki",Chak No. 110 RB Habo Ka,202010808,,,,348,259,607,1,1,2
"",,,Chak No. 110 RB Habo Ka,202010809,,,,38,30,68,,,
"",Total,,,,386,289,675,1,1,2,,,
"",55,"Govt.G/P/S RatianChak No. 5/RB  (Male)",Ratian Chak No. 5/RB,202010902,,,,211,0,211,2,0,2
"",,,Ratian Chak No. 5/RB,202010901,,,,497,0,497,,,
"",,,Ratian Arainian Chak No. 5/RB,202010904,,,,361,0,361,,,
"",Total,,,,1069,0,1069,2,0,2,,,
"",56,"Govt.G/P/S RatianChak No. 5/RB(Female)",Ratian Chak No. 5/RB,202010902,,,,0,156,156,0,2,2
Ratian Chak No. 5/RB,202010901,,,,0,376,376,,,,,,
Ratian Arainian Chak No. 5/RB,202010904,,,,0,243,243,,,,,,
"",57,"Govt. G/E/S RatianSikhan Chak No. 5/RB",Ratian Chak No. 5/RB,202010903,,,,325,265,590,2,1,3
"",,,Ratian Chak No. 5/RB,202010907,,,,401,336,737,,,
"",Total,,,,726,601,1327,2,1,3,,,
"",58,"Govt. G/M/S Ganianwala chak No.21/RB",Ganian wala chak No.21/RB,202010905,,,,306,229,535,2,2,4
"",,,Ganian wala chak No.21/RB,202010906,,,,343,198,541,,,
"",,,Ganian wala chak No.21/RB,202010908,,,,214,218,432,,,
"",Total,,,,863,645,1508,2,2,4,,,
"",59,"Govt. B/P/S ChakNo.40/RB (Male)",Hamraj pura chak No.40/RB,202010401,,,,288,0,288,2,0,2
"",,,Hamraj pura chak No.40/RB,202010402,,,,339,0,339,,,
"",,,Hamraj pura chak No.40/RB,202010403,,,,362,0,362,,,
"",,,Hamraj pura chak No.40/RB,202010411,,,,304,0,304,,,
"",Total,,,,1293,0,1293,2,0,2,,,
"",60,"Govt. Girls M/S ChakNo.40/RB HamrajPura (Female)",Hamraj pura chak No.40/RB,202010401,,,,0,207,207,0,2,2
"",,,Hamraj pura chak No.40/RB,202010402,,,,0,286,286,,,
"",,,Hamraj pura chak No.40/RB,202010403,,,,0,241,241,,,
"",,,Hamraj pura chak No.40/RB,202010411,,,,0,257,257,,,
"",Total,,,,0,991,991,0,2,2,,,
"",61,"Govt. Girls M/S ChakNo.40/RB Hamraj",Hamraj pura chak No.40/RB,202010404,,,,267,225,492,2,1,3
"",,,Hamraj pura chak No.40/RB,202010405,,,,536,373,909,,,
"",Total,,,,803,598,1401,2,1,3,,,
"",62,"Govt. B/H/S BaroiaChak No.36/RB (Male)",Broai Chak No.36/RB,202011201,,,,825,0,825,2,0,2
"",,,Broai Chak No.36/RB,202011202,,,,344,0,344,,,
"",Total,,,,1169,0,1169,2,0,2,,,
"",63,"Govt. B/H/S BaroiaChak No.36/RB",Broai Chak No.36/RB,202011201,,,,0,664,664,0,2,2
"",,,Broai Chak No.36/RB,202011202,,,,0,282,282,,,
"",Total,,,,0,946,946,0,2,2,,,
"",64,"Govt. G/H/S BaroiaChak No.36/RB",Broai Chak No.36/RB,202011203,,,,254,190,444,2,2,4
"",,,Broai Chak No.36/RB,202011204,,,,191,134,325,,,
"",,,Broai Chak No.36/RB,202011211,,,,94,74,168,,,
"",,,Broai Chak No.36/RB,202011205,,,,245,150,395,,,
"",,,Broai Chak No.36/RB,202011212,,,,183,136,319,,,
"",Total,,,,967,684,1651,2,2,4,,,
"",65,"Govt.B/P/S ChakNo.28/RB  (Male)",Longowal Chak No.28/RB,202011206,,,,215,0,215,3,0,3
"",,,Longowal Chak No.28/RB,202011207,,,,328,0,328,,,
"",,,Longowal Chak No.28/RB,202011208,,,,226,0,226,,,
"",,,Longowal Chak No.28/RB,202011209,,,,390,0,390,,,
"",,,Longowal Chak No.28/RB,202011210,,,,230,0,230,,,
"",Total,,,,1389,0,1389,3,0,3,,,
"",66,"Govt.B/P/S ChakNo.28/RB  (Female)",Longowal Chak No.28/RB,202011206,,,,0,196,196,0,2,2
Longowal Chak No.28/RB,202011207,,,,0,208,208,,,,,,
Longowal Chak No.28/RB,202011208,,,,0,159,159,,,,,,
Longowal Chak No.28/RB,202011209,,,,0,287,287,,,,,,
Longowal Chak No.28/RB,202011210,,,,0,150,150,,,,,,
"",67,"Basic Health UnitChak No.22/RB KotRehmat Khan","BHU, Chak No.22/RB Kot RehmatKhan",202011301,,,,515,409,924,1,1,2
"",Total,,,,515,409,924,1,1,2,,,
"",68,"Govt. G/P/S DaraShahbaz",Chak No.291 RB,202011302,,,,603,425,1028,1,1,2
"",Total,,,,603,425,1028,1,1,2,,,
"",69,"Govt. G/P/S Chak No.286 Mahaish Shmali(Male)",Chak No. 286/RB,202011303,,,,794,0,794,3,0,3
"",,,Chak No. 286/RB,202011304,,,,398,0,,,,
"",,,Chak No. 286/RB,202011305,,,,379,0,379,,,
"",Total,,,,1571,0,1173,3,0,3,,,
"",70,"Govt. G/P/S Chak No.286 Mahaish Shmali(Female)",Chak No. 286/RB,202011303,,,,0,622,622,0,2,2
"",,,Chak No. 286/RB,202011304,,,,0,228,228,,,
